Ticker,Name,Exchange,Category Name,Country
BMH.AX,Baumart Holdings Limited,ASX,General Building Materials,Australia
BRK.AX,Brookside Energy Limited,ASX,Independent Oil & Gas,Australia
MTU.AX,M2 Group Ltd,ASX,N/A,Australia
MPX.AX,Mustera Property Group Limited,ASX,Property Management,Australia
GPH.AX,Australian Potash Limited,ASX,N/A,Australia
PRA.AX,Thred Limited,ASX,N/A,Australia
ICG.AX,Inca Minerals Limited,ASX,Industrial Metals & Minerals,Australia
DLS.AX,"Drillsearch Energy, Ltd.",ASX,N/A,Australia
CLA.AX,Celsius Resources Limited,ASX,Industrial Metals & Minerals,Australia
OXXCB.AX,Octanex N.L.,ASX,N/A,Australia
CBS.AX,Cabral Resources Limited,ASX,N/A,Australia
VELCP.AX,Vealls Limited,ASX,Asset Management,Australia
ORG.AX,Origin Energy Limited,ASX,Major Integrated Oil & Gas,Australia
ANZ.AX,Australia and New Zealand Banking Group Limited,ASX,Money Center Banks,Australia
XRF.AX,XRF Scientific Limited,ASX,Diversified Machinery,Australia
WOW.AX,Woolworths Limited,ASX,Grocery Stores,Australia
WAT.AX,Waterco Limited,ASX,Electronic Equipment,Australia
QBE.AX,QBE Insurance Group Limited,ASX,Property & Casualty Insurance,Australia
MDG.AX,Medtech Global Limited,ASX,N/A,Australia
VTX.AX,Wangle Technologies Limited,ASX,N/A,Australia
BXB.AX,Brambles Limited,ASX,Business Services,Australia
BHP.AX,BHP Billiton Limited,ASX,Industrial Metals & Minerals,Australia
WVL.AX,Titanium Sands Limited,ASX,N/A,Australia
WRR.AX,World Reach Limited,ASX,Wireless Communications,Australia
STO.AX,Santos Limited,ASX,N/A,Australia
NHH.AX,Newhaven Hotels Ltd.,ASX,N/A,Australia
NEN.AX,Neon Capital Limited,ASX,N/A,Australia
NDO.AX,Nido Petroleum Limited,ASX,N/A,Australia
MQG.AX,Macquarie Group Limited,ASX,Investment Brokerage - National,Australia
MCX.AX,Mariner Corporation Limited,ASX,Asset Management,Australia
KTE.AX,K2 Energy Limited,ASX,Diversified Utilities,Australia
KIK.AX,Kairiki Energy Limited.,ASX,N/A,Australia
IPT.AX,Impact Minerals Limited,ASX,Industrial Metals & Minerals,Australia
BMP.AX,BuyMyPlace.com.au Limited,ASX,Internet Information Providers,Australia
ZYL.AX,ZYL.AX,ASX,N/A,Australia
WPL.AX,Woodside Petroleum Ltd,ASX,Independent Oil & Gas,Australia
WNS.AX,World.Net Services Ltd.,ASX,N/A,Australia
WHC.AX,Whitehaven Coal Limited,ASX,Industrial Metals & Minerals,Australia
WES.AX,Wesfarmers Limited,ASX,Grocery Stores,Australia
WDS.AX,WDS Limited,ASX,N/A,Australia
WCC.AX,The Waterberg Coal Company Limited,ASX,N/A,Australia
VMS.AX,Venture Minerals Limited,ASX,Copper,Australia
VKA.AX,Viking Mines Limited,ASX,Gold,Australia
UCW.AX,UCW Limited,ASX,Education & Training Services,Australia
TZL.AX,TZ Limited,ASX,Technical & System Software,Australia
TLS.AX,Telstra Corporation Limited,ASX,Wireless Communications,Australia
SXL.AX,Southern Cross Media Group Limited,ASX,Entertainment - Diversified,Australia
REA.AX,REA Group Limited,ASX,Internet Information Providers,Australia
PBD.AX,Tian An Australia Limited,ASX,N/A,Australia
NMS.AX,Neptune Marine Services Limited,ASX,Oil & Gas Equipment & Services,Australia
NME.AX,Nex Metals Explorations Limited,ASX,Gold,Australia
NFE.AX,Northern Iron Limited,ASX,N/A,Australia
NAB.AX,National Australia Bank Limited,ASX,Money Center Banks,Australia
LER.AX,Leaf Resources Limited,ASX,Specialty Chemicals,Australia
LCT.AX,Living Cell Technologies Limited,ASX,Biotechnology,Australia
LAU.AX,Lindsay Australia Limited,ASX,Trucking,Australia
KOV.AX,Korvest Ltd,ASX,Metal Fabrication,Australia
KME.AX,Kip McGrath Education Centres Limited,ASX,Education & Training Services,Australia
KBC.AX,KeyBridge Capital Limited,ASX,Asset Management,Australia
IRI.AX,Integrated Research Limited,ASX,Technical & System Software,Australia
HIL.AX,Hills Limited,ASX,Security & Protection Services,Australia
CPU.AX,Computershare Limited,ASX,Information Technology Services,Australia
CMW.AX,Cromwell Property Group,ASX,REIT - Office,Australia
CBA.AX,Commonwealth Bank of Australia,ASX,Money Center Banks,Australia
BBG.AX,Billabong International Limited,ASX,Apparel Stores,Australia
ANN.AX,Ansell Limited,ASX,Medical Instruments & Supplies,Australia
PNA.AX,PanAust Limited,ASX,N/A,Australia
ZRL.AX,Trek Metals Limited,ASX,N/A,Australia
ZGL.AX,Zicom Group Limited,ASX,Diversified Machinery,Australia
WSA.AX,Western Areas Ltd,ASX,Industrial Metals & Minerals,Australia
WOR.AX,WorleyParsons Limited,ASX,Oil & Gas Equipment & Services,Australia
WEC.AX,White Energy Company Limited,ASX,Industrial Metals & Minerals,Australia
WBC.AX,Westpac Banking Corporation,ASX,Money Center Banks,Australia
WBA.AX,Webster Limited,ASX,Farm Products,Australia
SDL.AX,Sundance Resources Limited,ASX,Industrial Metals & Minerals,Australia
VIP.AX,Voltage IP Limited,ASX,Rubber & Plastics,Australia
VII.AX,Vietnam Industrial Investments Limited,ASX,Steel & Iron,Australia
VIE.AX,Viento Group Limited,ASX,N/A,Australia
UGL.AX,UGL Limited,ASX,N/A,Australia
TPM.AX,TPG Telecom Limited,ASX,Wireless Communications,Australia
TGZ.AX,Teranga Gold Corporation,ASX,Gold,Australia
TGR.AX,Tassal Group Limited,ASX,Confectioners,Australia
TCN.AX,Techniche Ltd.,ASX,Information Technology Services,Australia
TCL.AX,Transurban Group,ASX,Heavy Construction,Australia
SUD.AX,Suda Limited,ASX,Biotechnology,Australia
RRS.AX,Range Resources Limited,ASX,N/A,Australia
RHC.AX,Ramsay Health Care Limited,ASX,Hospitals,Australia
