Ticker,Name,Exchange,Category Name,Country
VBPS.VI,VBPS.VI,VIE,N/A,Austria
CAI.VI,CA Immobilien Anlagen Aktiengesellschaft,VIE,N/A,Austria
ATRS.VI,Atrium European Real Estate Limited,VIE,N/A,Austria
EBS.VI,Erste Group Bank AG,VIE,N/A,Austria
VLA.VI,Valneva SE,VIE,N/A,Austria
VIG.VI,Vienna Insurance Group AG,VIE,N/A,Austria
UQA.VI,UNIQA Insurance Group AG,VIE,N/A,Austria
TEAK.VI,TEAK HOLZ INT. AG,VIE,N/A,Austria
MAN.VI,Josef Manner & Comp. AG,VIE,N/A,Austria
KTCG.VI,Kapsch TrafficCom AG,VIE,N/A,Austria
QCP.VI,QINO CAPITAL PARTNERS AG,VIE,N/A,Austria
VOE.VI,Voestalpine AG,VIE,N/A,Austria
SLBV.VI,Schlumberger Aktiengesellschaft,VIE,N/A,Austria
GAGV.VI,Gurktaler AG,VIE,N/A,Austria
FLU.VI,Flughafen Wien Aktiengesellschaft,VIE,N/A,Austria
SWUT.VI,SW Umwelttechnik Stoiser & Wolschner AG,VIE,N/A,Austria
WIE.VI,Wienerberger AG,VIE,N/A,Austria
ZAG.VI,Zumtobel Group AG,VIE,N/A,Austria
ABE.VI,AB Effectenbeteiligungen AG,VIE,N/A,Austria
AEM.VI,AUSTRIA EMAIL AG,VIE,N/A,Austria
ANDR.VI,Andritz AG,VIE,N/A,Austria
TKA.VI,Telekom Austria Aktiengesellschaft,VIE,N/A,Austria
EVN.VI,EVN AG,VIE,N/A,Austria
ECO.VI,ECO.VI,VIE,N/A,Austria
AGR.VI,AGRANA Beteiligungs-Aktiengesellschaft,VIE,N/A,Austria
KRGS.VI,Kreco Realitaeten AG,VIE,N/A,Austria
BENE.VI,BENE.VI,VIE,N/A,Austria
EAGB.VI,EAG-Beteiligungs Aktiengesellschaft,VIE,N/A,Austria
C8I.VI,C-QUADRAT Investment AG,VIE,N/A,Austria
RHI.VI,RHI AG,VIE,N/A,Austria
WOL.VI,Wolford Aktiengesellschaft,VIE,N/A,Austria
KTM.VI,KTM AG,VIE,N/A,Austria
AGLT.VI,Angel Telecom AG,VIE,N/A,Austria
WPAG.VI,WP AG,VIE,N/A,Austria
UBS.VI,UBM Development AG,VIE,N/A,Austria
VER.VI,VERBUND AG,VIE,N/A,Austria
ATS.VI,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,VIE,N/A,Austria
BHD.VI,Burgenland Holding Aktiengesellschaft,VIE,N/A,Austria
SAC.VI,Sanochemia Pharmazeutika AG,VIE,N/A,Austria
