Ticker,Name,Exchange,Category Name,Country
ABLX.BR,Ablynx NV,BRU,Biotechnology,Belgium
ABI.BR,Anheuser-Busch InBev SA/NV,BRU,Beverages - Brewers,Belgium
AGS.BR,ageas SA/NV,BRU,Property & Casualty Insurance,Belgium
SIP.BR,SociÃ©tÃ© Internationale de Plantations et de Finance,BRU,Farm Products,Belgium
TESB.BR,Tessenderlo Group NV,BRU,Chemicals - Major Diversified,Belgium
SOLB.BR,Solvay SA,BRU,Chemicals - Major Diversified,Belgium
REC.BR,Recticel NV/SA,BRU,Chemicals - Major Diversified,Belgium
KBC.BR,KBC Group NV,BRU,Money Center Banks,Belgium
COLR.BR,Etn. Fr. Colruyt NV,BRU,Grocery Stores,Belgium
FLUX.BR,Fluxys Belgium SA,BRU,Oil & Gas Pipelines,Belgium
UCB.BR,UCB SA,BRU,Biotechnology,Belgium
SOLV.BR,Solvac S.A.,BRU,Chemicals - Major Diversified,Belgium
MOUR.BR,Moury Construct SA,BRU,General Contractors,Belgium
MELE.BR,Melexis NV,BRU,Semiconductor Equipment & Materials,Belgium
KIN.BR,Kinepolis Group NV,BRU,Entertainment - Diversified,Belgium
IBAB.BR,Ion Beam Applications SA,BRU,Medical Appliances & Equipment,Belgium
GLPG.BR,Galapagos NV,BRU,N/A,Belgium
GBLB.BR,Groupe Bruxelles Lambert SA,BRU,Asset Management,Belgium
EVS.BR,EVS Broadcast Equipment S.A.,BRU,Communication Equipment,Belgium
EURN.BR,Euronav NV,BRU,Air Delivery & Freight Services,Belgium
DIE.BR,D'Ieteren SA,BRU,Auto Dealerships,Belgium
COFB.BR,Cofinimmo S.A.,BRU,REIT - Diversified,Belgium
TUB.BR,Financière de Tubize S.A.,BRU,Biotechnology,Belgium
DEXB.BR,Dexia SA,BRU,N/A,Belgium
DELB.BR,"Etablissements Delhaize Frères et Cie ""Le Lion"" (Groupe Delhaize) SA",BRU,N/A,Belgium
WDP.BR,Warehouses De Pauw Comm. VA,BRU,REIT - Industrial,Belgium
PARD.BR,Pairi Daiza SA,BRU,N/A,Belgium
IMMO.BR,IMMOBEL SA,BRU,REIT - Diversified,Belgium
TUBAT.BR,TUBIZE (ATTR),BRU,N/A,Belgium
TNET.BR,Telenet Group Holding NV,BRU,Wireless Communications,Belgium
ONTEX.BR,Ontex Group NV,BRU,Personal Products,Belgium
TIG.BR,TiGenix NV,BRU,Biotechnology,Belgium
THR.BR,ThromboGenics NV,BRU,Biotechnology,Belgium
TERB.BR,Ter Beke NV,BRU,Food - Major Diversified,Belgium
SUCR.BR,Sucraf NV,BRU,Food - Major Diversified,Belgium
SIOE.BR,Sioen Industries NV,BRU,Textile Industrial,Belgium
OPTI.BR,Option NV,BRU,Communication Equipment,Belgium
NYR.BR,Nyrstar NV,BRU,Industrial Metals & Minerals,Belgium
OTCB.BR,Option Trading Company N.V.,BRU,Investment Brokerage - National,Belgium
ELI.BR,Elia System Operator SA,BRU,Electric Utilities,Belgium
QRF.BR,Qrf Comm. VA,BRU,N/A,Belgium
REA.BR,RealDolmen NV,BRU,Technical & System Software,Belgium
UMI.BR,Umicore S.A.,BRU,Waste Management,Belgium
UNITB.BR,"Unitronics (1989) (R""G) Ltd",BRU,N/A,Belgium
VRAP.BR,VRAP.BR,BRU,N/A,Belgium
VGP.BR,VGP NV,BRU,REIT - Diversified,Belgium
WOLS.BR,Woluwe Shopping Center,BRU,Real Estate Development,Belgium
WEB.BR,Warehouses Estates Belgium SCA,BRU,REIT - Industrial,Belgium
XIOR.BR,Xior Student Housing NV,BRU,N/A,Belgium
ZEN.BR,Immo-Zenobe Gramme SA,BRU,Property Management,Belgium
ZENT.BR,Zenitel NV,BRU,Communication Equipment,Belgium
ZTS.BR,Zetes Industries SA,BRU,N/A,Belgium
ABO.BR,ABO-Group Environment NV,BRU,Waste Management,Belgium
ACCB.BR,Accentis N.V.,BRU,Property Management,Belgium
ACKB.BR,Ackermans & Van Haaren NV,BRU,Asset Management,Belgium
AED.BR,Aedifica SA,BRU,REIT - Residential,Belgium
AGFB.BR,Agfa-Gevaert N.V.,BRU,Diversified Machinery,Belgium
ALEMK.BR,Emakina Group SA,BRU,Advertising Agencies,Belgium
ALKKO.BR,KKO International S.A.,BRU,N/A,Belgium
ALEVA.BR,Evadix Sa,BRU,Business Services,Belgium
ALPBS.BR,EuroPubliDis SA,BRU,N/A,Belgium
ANT.BR,Immo-Antares NV,BRU,Property Management,Belgium
KBCA.BR,KBC Ancora SCA,BRU,Asset Management,Belgium
ARGX.BR,argenx SE,BRU,Biotechnology,Belgium
ASC.BR,Ascencio SCA,BRU,REIT - Retail,Belgium
ATEB.BR,Atenor Group,BRU,Property Management,Belgium
AUDB.BR,Communale Place Of Auderghem,BRU,N/A,Belgium
BEAB.BR,Immo-Beaulieu NV,BRU,Property Management,Belgium
BAS.BR,Basilix Cert,BRU,Property Management,Belgium
BAR.BR,Barco NV,BRU,Diversified Electronics,Belgium
LOTB.BR,Lotus Bakeries NV,BRU,Food - Major Diversified,Belgium
BANI.BR,Banimmo S.A.,BRU,Real Estate Development,Belgium
BCART.BR,Biocartis Group NV,BRU,N/A,Belgium
SOF.BR,Sofina Société Anonyme,BRU,Asset Management,Belgium
ICE.BR,Ice Concept SA,BRU,Auto Dealerships,Belgium
SPA.BR,"SociÃ©te de Services,de Participations,de Direction et d'Elaboration",BRU,Beverages - Soft Drinks,Belgium
SAP.BR,Sapec SA,BRU,Farm Products,Belgium
SAB.BR,Société Anonyme Belge de Constructions Aéronautiques,BRU,Aerospace/Defense - Major Diversified,Belgium
RES.BR,Resilux NV,BRU,Packaging & Containers,Belgium
MIKO.BR,Miko NV,BRU,Food Wholesale,Belgium
IEP.BR,"Iep Invest, NV",BRU,N/A,Belgium
GIMB.BR,GIMV NV,BRU,Asset Management,Belgium
FLOB.BR,Floridienne S.A.,BRU,Conglomerates,Belgium
EZBG.BR,Eckert & Ziegler BEBIG S.A.,BRU,N/A,Belgium
ENGB.BR,Rosier SA,BRU,Agricultural Chemicals,Belgium
ECONB.BR,Econocom Group SE,BRU,Information Technology Services,Belgium
DIEG.BR,Immolease Trust NV,BRU,Property Management,Belgium
DECB.BR,Deceuninck NV,BRU,General Building Materials,Belgium
COBH.BR,Brouwerij Handelsmaatschappij NV,BRU,Beverages - Brewers,Belgium
BPOST.BR,bpost SA/NV,BRU,Business Services,Belgium
BELU.BR,Beluga NV,BRU,Asset Management,Belgium
BEKB.BR,NV Bekaert SA,BRU,Metal Fabrication,Belgium
THI.BR,Think Media NV,BRU,N/A,Belgium
UNI.BR,U&I Learning NV,BRU,N/A,Belgium
KEYW.BR,Keyware Technologies NV,BRU,N/A,Belgium
COFP1.BR,Cofinimmo S.A.,BRU,N/A,Belgium
PIC.BR,Picanol NV,BRU,Diversified Machinery,Belgium
EMD.BR,EMD Music SA,BRU,"Recreational Goods, Other",Belgium
ROU.BR,Roularta Media Group NV,BRU,Publishing - Newspapers,Belgium
CMB.BR,CMB NV,BRU,N/A,Belgium
VIO.BR,VIOHALCO S.A.,BRU,Industrial Metals & Minerals,Belgium
SMAR.BR,Smartphoto Group NV,BRU,N/A,Belgium
CONN.BR,Connect Group NV,BRU,Printed Circuit Boards,Belgium
PCBB.BR,PCB NV,BRU,Drug Manufacturers - Major,Belgium
VASTB.BR,Vastned Retail Belgium NV,BRU,N/A,Belgium
SOFT.BR,Softimat S.A.,BRU,N/A,Belgium
DISL.BR,Immobiliere Distri-Land NV,BRU,Property Management,Belgium
NEWT.BR,Newtree S.A.,BRU,Confectioners,Belgium
SVP.BR,Growners,BRU,N/A,Belgium
WEHB.BR,Comm.VA Wereldhave Belgium SCA,BRU,REIT - Diversified,Belgium
RET.BR,Retail Estates nv,BRU,REIT - Retail,Belgium
GRYFO.BR,Greenyard Foods NV,BRU,N/A,Belgium
MITRA.BR,Mithra Pharmaceuticals SA,BRU,N/A,Belgium
COFP2.BR,Cofinimmo S.A.,BRU,N/A,Belgium
FNG.BR,FNG Group NV,BRU,N/A,Belgium
CAMB.BR,Campine NV,BRU,Chemicals - Major Diversified,Belgium
FAGR.BR,Fagron NV,BRU,N/A,Belgium
HOMI.BR,Home Invest Belgium S.A.,BRU,REIT - Residential,Belgium
BHFKB.BR,BHFKB.BR,BRU,N/A,Belgium
HAMO.BR,Hamon & Cie (International) SA,BRU,Diversified Machinery,Belgium
WOLE.BR,Woluwe Extension SA,BRU,Real Estate Development,Belgium
JEN.BR,Jensen-Group NV,BRU,Diversified Machinery,Belgium
NYS.BR,Dalenys,BRU,N/A,Belgium
TINC.BR,TINC Comm. VA,BRU,N/A,Belgium
COMB.BR,Compagnie du Bois Sauvage SA,BRU,Asset Management,Belgium
VIT.BR,Vision IT Group S.A.,BRU,N/A,Belgium
