Ticker,Name,Exchange,Category Name,Country
LAME4.SA,Lojas Americanas S.A.,SAO,Department Stores,Brazil
ABEV3.SA,Ambev S.A.,SAO,Beverages - Brewers,Brazil
VALE5.SA,Vale S.A.,SAO,Industrial Metals & Minerals,Brazil
SBSP3.SA,Companhia de Saneamento BÃ¡sico do Estado de SÃ£o Paulo - SABESP,SAO,Water Utilities,Brazil
VALE3.SA,Vale S.A.,SAO,Industrial Metals & Minerals,Brazil
PETR4.SA,Petróleo Brasileiro S.A. - Petrobras,SAO,Major Integrated Oil & Gas,Brazil
OIBR4.SA,Oi S.A.,SAO,Wireless Communications,Brazil
BBDC4.SA,Banco Bradesco S.A.,SAO,Money Center Banks,Brazil
MRVE3.SA,MRV Engenharia e Participações S.A.,SAO,Residential Construction,Brazil
ITUB4.SA,Itaú Unibanco Holding S.A.,SAO,Money Center Banks,Brazil
EMBR3.SA,Embraer S.A.,SAO,Aerospace/Defense - Major Diversified,Brazil
CYRE3.SA,Cyrela Brazil Realty S.A. Empreendimentos e Participações,SAO,Residential Construction,Brazil
BTOW3.SA,B2W - Companhia Digital,SAO,"Specialty Retail, Other",Brazil
BRKM5.SA,Braskem S.A.,SAO,Chemicals - Major Diversified,Brazil
USIM3.SA,Usinas Siderúrgicas de Minas Gerais S.A.,SAO,Steel & Iron,Brazil
BVMF3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",SAO,Asset Management,Brazil
BBDC3.SA,Banco Bradesco S.A.,SAO,Money Center Banks,Brazil
PRML3.SA,Prumo Logística S.A.,SAO,Shipping,Brazil
MRFG3.SA,Marfrig Global Foods S.A.,SAO,Food - Major Diversified,Brazil
JBSS3.SA,JBS S.A.,SAO,Food - Major Diversified,Brazil
DTEX3.SA,Duratex S.A.,SAO,"Lumber, Wood Production",Brazil
CPLE6.SA,Companhia Paranaense de Energia - COPEL,SAO,Diversified Utilities,Brazil
CPFE3.SA,CPFL Energia S.A.,SAO,Electric Utilities,Brazil
CGAS5.SA,Companhia de GÃ¡s de SÃ£o Paulo - COMGÃS,SAO,Gas Utilities,Brazil
USIM5.SA,Usinas Siderúrgicas de Minas Gerais S.A.,SAO,Steel & Iron,Brazil
TAEE11.SA,Transmissora Aliança de Energia Elétrica S.A.,SAO,Electric Utilities,Brazil
RSID3.SA,Rossi Residencial S.A.,SAO,Residential Construction,Brazil
PFRM3.SA,Profarma Distribuidora de Produtos Farmacêuticos S.A.,SAO,Medical Equipment Wholesale,Brazil
PCAR4.SA,Companhia Brasileira de Distribuição,SAO,Department Stores,Brazil
CESP6.SA,CESP - Companhia Energética de São Paulo,SAO,Diversified Utilities,Brazil
BBAS3.SA,Banco do Brasil S.A.,SAO,Money Center Banks,Brazil
VLID3.SA,Valid Soluções e Serviços de Segurança em Meios de Pagamentos e Identificação S.A.,SAO,Business Services,Brazil
SNSY6.SA,SANSUY PNB,SAO,N/A,Brazil
SNSY3.SA,Sansuy S.A.,SAO,N/A,Brazil
