Ticker,Name,Exchange,Category Name,Country
510010.SS,Bank Of Communications Schroder SSE 180 Fund,SHH,N/A,China
510680.SS,Wanjia SSE 380 Exchange Traded Securities Investment Fund,SHH,N/A,China
510420.SS,Invesco Great Wall SSE 180 Equal Weight Fund,SHH,N/A,China
502000.SS,Western Leadbank CSI 500 Equal Weight Index Graded Securities Fund,SHH,N/A,China
502001.SS,Western Leadbank CSI 500 Equal Weight Index Graded Securities Fund,SHH,N/A,China
512210.SS,Invesco Great Wall CSI 800 Food & Drink Index ETF,SHH,N/A,China
512230.SS,Invesco Great Wall Fund Management Co. Ltd - CSI Medicine Healthcare Fund,SHH,N/A,China
522971.SS,522971.SS,SHH,N/A,China
522975.SS,522975.SS,SHH,N/A,China
501002.SS,CHANG XIN ASSET MA CSI ENERGY I,SHH,N/A,China
502016.SS,CHANG XIN ASSET MA CSI ONE BELT,SHH,N/A,China
523985.SS,523985.SS,SHH,N/A,China
522985.SS,522985.SS,SHH,N/A,China
523971.SS,523971.SS,SHH,N/A,China
523975.SS,523975.SS,SHH,N/A,China
511880.SS,YINHUA FUND MANAGE YINHUA TRADE,SHH,N/A,China
522665.SS,522665.SS,SHH,N/A,China
523664.SS,523664.SS,SHH,N/A,China
522664.SS,522664.SS,SHH,N/A,China
510430.SS,SSE 50 Equal Weight ETF,SHH,N/A,China
523665.SS,523665.SS,SHH,N/A,China
511930.SS,Zhongrong Fund Management Co - Daily Earning Transactional Money Market Fund,SHH,N/A,China
510581.SS,510581.SS,SHH,N/A,China
502032.SS,Zhonghai CSI High-Speed Rail Industry Index Grading Securities Investment Fund,SHH,N/A,China
502031.SS,Zhonghai CSI High-Speed Rail Industry Index Grading Securities Investment Fund,SHH,N/A,China
510880.SS,Huatai-PB SSE Dividend Index ETF,SHH,N/A,China
510170.SS,GTJA Allianz SSE Commodity Equity index ETF Feeder Fund,SHH,N/A,China
510560.SS,China Life AMP CSI 500 ETF Feeder Fund,SHH,N/A,China
519002.SS,HUAAN FUND MANAGEM ANXIN SECT I,SHH,N/A,China
511980.SS,China Universal Tian Fu Tong Money Market Fund,SHH,N/A,China
512500.SS,Chinaamc CSI 500 Index Exchange Traded Fund,SHH,N/A,China
502018.SS,Chang Xin Csi Obaor Thematic Index Grading Securities Investment Fund,SHH,N/A,China
511010.SS,Guotai SSE 5 - Year Treasury Exchange-Traded Securities Investment Fund,SHH,N/A,China
510660.SS,SSE Health Care ETF,SHH,N/A,China
510650.SS,SSE Financials ETF,SHH,N/A,China
502017.SS,Chang Xin Csi Obaor Thematic Index Grading Securities Investment Fund,SHH,N/A,China
510630.SS,SSE Consumer Staples ETF,SHH,N/A,China
518800.SS,Guotai Asset Management Company - Gold Exchange UCITS Fund,SHH,N/A,China
510610.SS,510610.SS,SHH,N/A,China
513100.SS,Guotai Nasdaq-100 Index Fund,SHH,N/A,China
511210.SS,BOSERA ASSET MANAG SSE CORPORAT,SHH,N/A,China
510050.SS,China 50 ETF,SHH,N/A,China
510410.SS,Bosera SSE Natural Resource Index ETF,SHH,N/A,China
510020.SS,Bosera SSE Mega-Cap Index ETF,SHH,N/A,China
500058.SS,Galaxy YinFeng Equity Fund,SHH,N/A,China
513500.SS,Bosera S&P 500 ETF,SHH,N/A,China
519889.SS,CHINA UNIVERSAL AS HUITIANFU EX,SHH,N/A,China
510330.SS,China AMC CSI 300 ETF,SHH,N/A,China
510620.SS,CHINA ASSET MGT CO SSE MATERIAL,SHH,N/A,China
510090.SS,CCB Principal Responsibility ETF,SHH,N/A,China
512990.SS,MSCI China A Share Exchange Traded Open-End Index Securities Investment Fund,SHH,N/A,China
519888.SS,CHINA UNIVERSAL AS HUITIANFU EX,SHH,N/A,China
510230.SS,Guotai Asset Management - Guotai SSE 180 Financial Index ETF,SHH,N/A,China
519801.SS,CHINA ASSET MGT CO HUAXIA MARGI,SHH,N/A,China
519800.SS,CHINA ASSET MGT CO HUAXIA MARGI,SHH,N/A,China
519119.SS,AXA SPDB INVESTMENT MANAGERS CO,SHH,N/A,China
511900.SS,Fullgoal Shou Yi Bao Exchange Traded Money Market Fund,SHH,N/A,China
511960.SS,HARVEST FUND MGMT INSTI EXPRESS,SHH,N/A,China
603919.SS,Jinhui,SHH,N/A,China
512010.SS,E FUND MANAGEMENT E FUND CSI 30,SHH,N/A,China
510510.SS,GF Fund Management - CSI 500 ETF Fund,SHH,N/A,China
510520.SS,Lion CSI 500 Index Fund,SHH,N/A,China
518880.SS,Huaan Yifu Gold Exchange Traded Fund,SHH,N/A,China
511860.SS,Bosera Asset Management Co. - Security Department Real Time Traded Money Market Fund,SHH,N/A,China
510710.SS,Bosera SSE50 Index ETF Fund,SHH,N/A,China
512600.SS,Harvest Fund Management - CSI Consumer Staples Fund,SHH,N/A,China
512220.SS,Invesco Great Wall CSI TMT 150 Index ETF,SHH,N/A,China
511220.SS,"HFT Investment Management Co., Ltd. - SSE Pledge Urban Investment Bond Fund",SHH,N/A,China
513600.SS,China Southern Hang Seng Index Exchange Traded Fund,SHH,N/A,China
505888.SS,Harvest Yuanhe Direct Enclosed Mixed Sponsor Securities Investment Fund,SHH,N/A,China
513660.SS,CHINA SOUTHERN FUN CHINA AMC SH,SHH,N/A,China
502002.SS,Western Leadbank CSI 500 Equal Weight Index Graded Securities Fund,SHH,N/A,China
603066.SS,Inform,SHH,N/A,China
501000.SS,G Fund Xinxin Flexible Disposition Mixed Securities Investment Fund,SHH,N/A,China
502010.SS,E Fund Management - CSI All Share Financial Fund,SHH,N/A,China
502058.SS,GF Fund Managment Co. - CSI Healthcare Index Fund,SHH,N/A,China
502053.SS,Changsheng CSI All-Share Index Securities Companies Index Grading Securities Investment Fund,SHH,N/A,China
502005.SS,E Fund National Defense Industry Index Grading Securities Investment Fund,SHH,N/A,China
502008.SS,E Fund State-Owned Enterprise Reform Index Grading Securities Investment Fund,SHH,N/A,China
502042.SS,Changsheng SSE 50 Index Grading Securities Investment Fund,SHH,N/A,China
502011.SS,E Fund Management - Securities Index Classified Fund,SHH,N/A,China
502022.SS,Guojin General SSE 50 Index Classified Fund,SHH,N/A,China
502020.SS,Guojin General SSE 50 Index Classified Fund,SHH,N/A,China
502012.SS,E Fund Management - Securities Index Classified Fund,SHH,N/A,China
502054.SS,Changsheng CSI All-Share Index Securities Companies Index Grading Securities Investment Fund,SHH,N/A,China
502056.SS,GF Fund Managment Co. - CSI Healthcare Index Fund,SHH,N/A,China
502021.SS,Guojin General SSE 50 Index Classified Fund,SHH,N/A,China
603520.SS,Starry,SHH,N/A,China
502057.SS,GF Fund Managment Co. - CSI Healthcare Index Fund,SHH,N/A,China
601155.SS,Future Land,SHH,N/A,China
501001.SS,Caitong Multi-Strategy Selected Mixed Securities Investment Fund,SHH,N/A,China
502007.SS,E Fund State-Owned Enterprise Reform Index Grading Securities Investment Fund,SHH,N/A,China
502041.SS,Changsheng SSE 50 Index Grading Securities Investment Fund,SHH,N/A,China
502003.SS,E Fund National Defense Industry Index Grading Securities Investment Fund,SHH,N/A,China
502023.SS,Penghua CNI Ferrous Metals Index Grading Securities Investment Fund,SHH,N/A,China
502055.SS,Changsheng CSI All-Share Index Securities Companies Index Grading Securities Investment Fund,SHH,N/A,China
510580.SS,E Fund CSI 500 Exchange Traded Fund,SHH,N/A,China
502024.SS,Penghua CNI Ferrous Metals Index Grading Securities Investment Fund,SHH,N/A,China
502040.SS,Changsheng SSE 50 Index Grading Securities Investment Fund,SHH,N/A,China
502025.SS,Penghua CNI Ferrous Metals Index Grading Securities Investment Fund,SHH,N/A,China
502026.SS,Penghua New Silk Road Index Grading Securities Investment Fund,SHH,N/A,China
502028.SS,Penghua New Silk Road Index Grading Securities Investment Fund,SHH,N/A,China
502004.SS,E Fund National Defense Industry Index Grading Securities Investment Fund,SHH,N/A,China
502027.SS,Penghua New Silk Road Index Grading Securities Investment Fund,SHH,N/A,China
603027.SS,"Qianhe Condiment and Food Co., Ltd.",SHH,N/A,China
511820.SS,Penghua Fund Management Co Ltd - Profit Added Traded Money Market Fund,SHH,N/A,China
502006.SS,E Fund State-Owned Enterprise Reform Index Grading Securities Investment Fund,SHH,N/A,China
512510.SS,Huatai - PineBridge CSI 500 ETF,SHH,N/A,China
502038.SS,Da Cheng CSI Internet Financial Index Grading Securities Investment Fund,SHH,N/A,China
502036.SS,Da Cheng CSI Internet Financial Index Grading Securities Investment Fund,SHH,N/A,China
510360.SS,GF SSE-SZSE 300 Tradable Open-end Index Fund,SHH,N/A,China
502037.SS,Da Cheng CSI Internet Financial Index Grading Securities Investment Fund,SHH,N/A,China
510290.SS,SSE 380 Index ETF,SHH,N/A,China
601988.SS,BANK OF CHINA,SHH,N/A,China
601398.SS,ICBC,SHH,N/A,China
600640.SS,BTH,SHH,N/A,China
600635.SS,DZUG,SHH,N/A,China
600027.SS,HDPI,SHH,N/A,China
900932.SS,LJZ,SHH,N/A,China
601998.SS,CNCB,SHH,N/A,China
601808.SS,COSL,SHH,N/A,China
601006.SS,Daqin Railway,SHH,N/A,China
600809.SS,Shanxi Fen Wine,SHH,N/A,China
600618.SS,SCAC,SHH,N/A,China
600519.SS,KWEICHOW MOUTAI,SHH,N/A,China
600426.SS,Hualu-Hengsheng,SHH,N/A,China
600180.SS,CCS,SHH,N/A,China
600104.SS,SAIC MOTOR,SHH,N/A,China
600079.SS,HWHG,SHH,N/A,China
600036.SS,CMB,SHH,N/A,China
600029.SS,CSN,SHH,N/A,China
600015.SS,HUAXIA BANK,SHH,N/A,China
900930.SS,SHPTE,SHH,N/A,China
900922.SS,SMEG,SHH,N/A,China
900918.SS,SYP,SHH,N/A,China
900915.SS,ZLC,SHH,N/A,China
900907.SS,"PENGQI CO.,LTD",SHH,N/A,China
603838.SS,Sitong,SHH,N/A,China
603729.SS,OBM,SHH,N/A,China
603398.SS,banbao,SHH,N/A,China
603366.SS,SOLAREAST CORPORATION,SHH,N/A,China
603318.SS,Energas,SHH,N/A,China
603268.SS,SONGFA,SHH,N/A,China
603188.SS,Yabang,SHH,N/A,China
603168.SS,SPAS,SHH,N/A,China
603108.SS,Runda Medical,SHH,N/A,China
603003.SS,Shanghai Lonyer,SHH,N/A,China
601996.SS,Fenglin Group,SHH,N/A,China
601939.SS,CCB,SHH,N/A,China
601818.SS,CEB BANK,SHH,N/A,China
601801.SS,WANXIN MEDIA,SHH,N/A,China
601799.SS,"Xingyu Co.,Ltd.",SHH,N/A,China
601788.SS,EBSCN,SHH,N/A,China
601766.SS,CRRC,SHH,N/A,China
