Ticker,Name,Exchange,Category Name,Country
VWS.CO,Vestas Wind Systems A/S,CPH,Diversified Machinery,Denmark
CARL-B.CO,Carlsberg A/S,CPH,N/A,Denmark
DANSKE.CO,Danske Bank A/S,CPH,Money Center Banks,Denmark
GEN.CO,Genmab A/S,CPH,Biotechnology,Denmark
WDH.CO,William Demant Holding A/S,CPH,Medical Appliances & Equipment,Denmark
TRYG.CO,Tryg A/S,CPH,Property & Casualty Insurance,Denmark
PNDORA.CO,Pandora A/S,CPH,Jewelry Stores,Denmark
NOVO-B.CO,Novo Nordisk A/S,CPH,N/A,Denmark
MOLS.CO,Mols-Linien A/S,CPH,N/A,Denmark
MAERSK-B.CO,A.P. Møller - Mærsk A/S,CPH,N/A,Denmark
JYSK.CO,Jyske Bank A/S,CPH,Money Center Banks,Denmark
IC.CO,IC Group A/S,CPH,Textile - Apparel Clothing,Denmark
FASTPC.CO,FastPassCorp A/S,CPH,Technical & System Software,Denmark
DFDS.CO,DFDS A/S,CPH,Shipping,Denmark
CHEMM.CO,CHEMOMETEC A/S,CPH,Scientific & Technical Instruments,Denmark
VIINT.CO,Victor International AS,CPH,N/A,Denmark
TPSL.CO,Cemat A/S,CPH,N/A,Denmark
TOP.CO,Topdanmark A/S,CPH,Property & Casualty Insurance,Denmark
TDC.CO,TDC A/S,CPH,Wireless Communications,Denmark
SYDB.CO,Sydbank A/S,CPH,Money Center Banks,Denmark
SPNO.CO,Spar Nord Bank A/S,CPH,Money Center Banks,Denmark
SALB.CO,Salling Bank A/S,CPH,Money Center Banks,Denmark
RIAS-B.CO,RIAS A/S,CPH,N/A,Denmark
RBREW.CO,Royal Unibrew A/S,CPH,Beverages - Brewers,Denmark
PRIMOF.CO,Prime Office A/S,CPH,Real Estate Development,Denmark
OJBA.CO,Østjydsk Bank A/S,CPH,Money Center Banks,Denmark
NZYM-B.CO,Novozymes A/S,CPH,N/A,Denmark
NRDC.CO,Nordicom A/S,CPH,N/A,Denmark
NNIT.CO,NNIT A/S,CPH,N/A,Denmark
NKT.CO,NKT A/S,CPH,Electronics Wholesale,Denmark
MPI.CO,Medical Prognosis Institute A/S,CPH,N/A,Denmark
LUN.CO,H. Lundbeck A/S,CPH,N/A,Denmark
LL-B.CO,Land & Leisure A/S,CPH,N/A,Denmark
LASP.CO,Lån & Spar Bank A/S,CPH,Money Center Banks,Denmark
JDAN.CO,Jeudan A/S,CPH,Property Management,Denmark
ISS.CO,ISS A/S,CPH,N/A,Denmark
GN.CO,GN Store Nord A/S,CPH,Medical Appliances & Equipment,Denmark
GJ.CO,Glunz & Jensen Holding A/S,CPH,Diversified Machinery,Denmark
GES.CO,Greentech Energy Systems A/S,CPH,Diversified Utilities,Denmark
FLS.CO,FLSmidth & Co. A/S,CPH,N/A,Denmark
EXQ.CO,Exiqon A/S,CPH,N/A,Denmark
ENALYZ.CO,Enalyzer A/S,CPH,Technical & System Software,Denmark
JOBNDX.CO,Jobindex A/S,CPH,Staffing & Outsourcing Services,Denmark
ONXEO.CO,Onxeo SA,CPH,N/A,Denmark
BO.CO,Bang & Olufsen a/s,CPH,Electronic Equipment,Denmark
WIRTEK.CO,WirTek A/S,CPH,Information Technology Services,Denmark
ZEAL.CO,Zealand Pharma A/S,CPH,Biotechnology,Denmark
AAB.CO,Aalborg Boldspilklub A/S,CPH,"Recreational Goods, Other",Denmark
ELITE-B.CO,Aarhus Elite A/S,CPH,N/A,Denmark
PAAL-B.CO,Per Aarsleff Holding A/S,CPH,N/A,Denmark
NDA-DKK.CO,Nordea Bank AB (publ),CPH,N/A,Denmark
SAS-DKK.CO,SAS AB (publ),CPH,N/A,Denmark
ADMCAP-B.CO,Admiral Capital A/S,CPH,N/A,Denmark
VIBHK.CO,Nordic Blue Invest A/S,CPH,N/A,Denmark
RILBA.CO,Ringkjøbing Landbobank A/S,CPH,Money Center Banks,Denmark
SCHO.CO,Aktieselskabet Schouw & Co.,CPH,Conglomerates,Denmark
ALK-B.CO,ALK-Abelló A/S,CPH,N/A,Denmark
ALMB.CO,Alm. Brand A/S,CPH,N/A,Denmark
AM-B.CO,Andersen & Martini A/S,CPH,N/A,Denmark
AMBU-B.CO,Ambu A/S,CPH,N/A,Denmark
DAB.CO,Danske Andelskassers Bank A/S,CPH,N/A,Denmark
AOJ-P.CO,Brødrene A & O Johansen A/S,CPH,N/A,Denmark
ARKIL-B.CO,Arkil Holding A/S,CPH,N/A,Denmark
