Ticker,Name,Exchange,Category Name,Country
NOKIA.HE,Nokia Corporation,HEL,N/A,Finland
YTY1V.HE,YIT Oyj,HEL,N/A,Finland
SAA1V.HE,Sanoma Oyj,HEL,N/A,Finland
PKC1V.HE,PKC Group Oyj,HEL,N/A,Finland
OUT1V.HE,Outokumpu Oyj,HEL,N/A,Finland
NDA1V.HE,Nordea Bank AB (publ),HEL,N/A,Finland
VALMT.HE,Valmet Oyj,HEL,N/A,Finland
KESBV.HE,Kesko Oyj,HEL,N/A,Finland
PKK1V.HE,Pohjois-Karjalan Kirjapaino Oyj,HEL,N/A,Finland
NRE1V.HE,Nokian Renkaat Oyj,HEL,N/A,Finland
TAALB.HE,Taaleri Oyj,HEL,N/A,Finland
SUY1V.HE,Suominen Oyj,HEL,N/A,Finland
STCBV.HE,Stockmann Oyj ABP,HEL,N/A,Finland
SAMAS.HE,Sampo Oyj,HEL,N/A,Finland
METSA.HE,Metsä Board Oyj,HEL,N/A,Finland
LEM1S.HE,Lemminkäinen Oyj,HEL,N/A,Finland
ILK1S.HE,Ilkka-Yhtymä Oyj,HEL,N/A,Finland
FSC1V.HE,F-Secure Oyj,HEL,N/A,Finland
CTY1S.HE,Citycon Oyj,HEL,N/A,Finland
BAS1V.HE,BasWare Oyj,HEL,N/A,Finland
ALN1V.HE,Alma Media Oyj,HEL,N/A,Finland
CONSTI.HE,Consti Yhtiöt Oyj,HEL,N/A,Finland
OKDAV.HE,Oriola Oyj,HEL,N/A,Finland
DETEC.HE,Detection Technology Oyj,HEL,N/A,Finland
LAT1V.HE,Lassila & Tikanoja Oyj,HEL,N/A,Finland
HRTIS.HE,Herantis Pharma Oyj,HEL,N/A,Finland
ORNAV.HE,Orion Oyj,HEL,N/A,Finland
PON1V.HE,Ponsse Oyj,HEL,N/A,Finland
MUNK1.HE,Ahlstrom-Munksjö Oyj,HEL,N/A,Finland
VERK.HE,Verkkokauppa.com Oyj,HEL,N/A,Finland
QPR1V.HE,QPR Software Oyj,HEL,N/A,Finland
RAP1V.HE,Rapala VMC Corporation,HEL,N/A,Finland
WUF1V.HE,Wulff-Yhtiöt Oyj,HEL,N/A,Finland
XNS1V.HE,Ixonos Plc,HEL,N/A,Finland
ILK2S.HE,Ilkka-Yhtymä Oyj,HEL,N/A,Finland
YLEPS.HE,Yleiselektroniikka Oyj,HEL,N/A,Finland
ZEE1V.HE,Zeeland Family Oyj,HEL,N/A,Finland
GLA1V.HE,Glaston Oyj Abp,HEL,N/A,Finland
SSABBH.HE,SSAB AB,HEL,N/A,Finland
SOSI1.HE,Sotkamo Silver AB,HEL,N/A,Finland
STCAS.HE,Stockmann Oyj ABP,HEL,N/A,Finland
ENDOM.HE,Endomines AB (publ),HEL,N/A,Finland
FIS1V.HE,Fiskars Oyj Abp,HEL,N/A,Finland
VIK1V.HE,Viking Line ABP,HEL,N/A,Finland
WRT1V.HE,Wärtsilä Oyj Abp,HEL,N/A,Finland
SSABAH.HE,SSAB AB,HEL,N/A,Finland
ACG1V.HE,Aspocomp Group Oyj,HEL,N/A,Finland
AFE1V.HE,Affecto Oyj,HEL,N/A,Finland
AFAGR.HE,Afarak Group Oyj,HEL,N/A,Finland
AHOLA.HE,Oyj Ahola Transport Abp,HEL,N/A,Finland
AHL1V.HE,Ahlstrom Oyj,HEL,N/A,Finland
