Ticker,Name,Exchange,Category Name,Country
ALU.PA,Alcatel-Lucent,PAR,N/A,France
AI.PA,"Air Liquide, société anonyme",PAR,Chemicals - Major Diversified,France
AIR.PA,Airbus SE,PAR,N/A,France
CS.PA,AXA SA,PAR,Property & Casualty Insurance,France
ALO.PA,Alstom SA,PAR,Diversified Machinery,France
AC.PA,Accor SA,PAR,Lodging,France
AF.PA,Air France-KLM SA,PAR,Major Airlines,France
ALEHT.PA,Diaxonhit,PAR,Biotechnology,France
SIPH.PA,Société Internationale de Plantations d'Hévéas Société Anonyme,PAR,"Lumber, Wood Production",France
OSI.PA,Ausy SA,PAR,N/A,France
MT.PA,MT.PA,PAR,N/A,France
CAFO.PA,Centrale d'Achat Française pour l'Outre-Mer Société Anonyme,PAR,"Specialty Retail, Other",France
RMS.PA,Hermès International Société en commandite par actions,PAR,Jewelry Stores,France
PHM7.DE,"Altria Group, Inc.",FRA,"Tobacco Products, Other",France
MLMAB.PA,Maison Antoine Baud Société Anonyme,PAR,REIT - Office,France
CDA.PA,Compagnie des Alpes SA,PAR,Resorts & Casinos,France
ATO.PA,Atos SE,PAR,Information Technology Services,France
ATA.PA,Atari SA,PAR,Multimedia & Graphics Software,France
AMZ.DE,"Amazon.com, Inc.",FRA,N/A,France
AMG.F,Amgen Inc.,FRA,N/A,France
ALT.PA,Altran Technologies S.A.,PAR,Information Technology Services,France
ALOCT.PA,Octo Technology Société Anonyme,PAR,N/A,France
ALMDG.PA,MGI Digital Technology Société Anonyme,PAR,Business Services,France
ALAST.PA,Astellia S.A.,PAR,Technical & System Software,France
ADP.PA,Aéroports de Paris SA,PAR,"Air Services, Other",France
ZC.PA,Zodiac Aerospace,PAR,Aerospace/Defense - Major Diversified,France
YU4.F,YU4.F,FRA,N/A,France
XIL.PA,Xilam Animation,PAR,Entertainment - Diversified,France
BNP.PA,BNP Paribas SA,PAR,Money Center Banks,France
BN.PA,Danone,PAR,Food - Major Diversified,France
BAIN.PA,Société Anonyme des Bains de Mer et du Cercle des Étrangers à Monaco,PAR,Resorts & Casinos,France
MOBB.BR,Orange Belgium S.A.,ENX,N/A,France
EN.PA,Bouygues SA,PAR,General Contractors,France
ML.PA,Compagnie Générale des Etablissements Michelin,PAR,Rubber & Plastics,France
DSY.PA,Dassault Systèmes SE,PAR,Technical & System Software,France
DP.PA,Groupe IRD SA,PAR,N/A,France
EDF.PA,Electricité de France S.A.,PAR,Diversified Utilities,France
SMTPC.PA,Société Marseillaise du Tunnel Prado Carénage,PAR,Heavy Construction,France
MLFER.PA,Ferco Développement,PAR,N/A,France
EDL.PA,Euro Disney S.C.A.,PAR,N/A,France
VOW3.F,Volkswagen Aktiengesellschaft,FRA,Auto Manufacturers - Major,France
TAM.PA,Etam Developpement SCA,PAR,N/A,France
SOW.F,Software Aktiengesellschaft,FRA,Business Software & Services,France
PUM.F,PUMA SE,FRA,Textile - Apparel Footwear & Accessories,France
PSX.F,Daphne International Holdings Limited,FRA,N/A,France
MLMAI.PA,Maisons D'aujourd'hui,PAR,N/A,France
LHA.F,Deutsche Lufthansa Aktiengesellschaft,FRA,Major Airlines,France
IFX.F,Infineon Technologies AG,FRA,Semiconductor - Broad Line,France
HOT.F,HOCHTIEF Aktiengesellschaft,FRA,General Contractors,France
FME.F,Fresenius Medical Care AG & Co. KGAA,FRA,Hospitals,France
FDR.PA,Fonciere des Regions,PAR,REIT - Diversified,France
EZQ.F,China Mengniu Dairy Company Limited,FRA,N/A,France
EVT.F,Evotec AG,FRA,Drugs - Generic,France
EUZ.F,Eckert & Ziegler Strahlen- und Medizintechnik AG,FRA,Medical Appliances & Equipment,France
DVT.PA,Devoteam S.A.,PAR,Information Technology Services,France
DVB.F,DVB Bank SE,FRA,N/A,France
DPT.PA,S.T. Dupont S.A.,PAR,Textile - Apparel Clothing,France
DGM.PA,Diagnostic Medical Systems S.A.,PAR,Medical Appliances & Equipment,France
DBV.PA,DBV Technologies S.A.,PAR,Biotechnology,France
D7H.F,Commerce Resources Corp.,FRA,N/A,France
CBSM.PA,SociÃ©tÃ© Centrale des Bois et des Scieries de la Manche S.A.,PAR,REIT - Diversified,France
BSD.PA,Bourse Direct Société Anonyme,PAR,Investment Brokerage - National,France
BMW.F,Bayerische Motoren Werke Aktiengesellschaft,FRA,Auto Manufacturers - Major,France
YMO.F,YMOS AG,FRA,N/A,France
XA6.F,Diversa Limited,FRA,N/A,France
WSOK.F,wallstreet:online AG,FRA,N/A,France
WIN.F,Diebold Nixdorf Aktiengesellschaft,FRA,Business Software & Services,France
WDI.F,Wirecard AG,FRA,Business Services,France
WDC.F,Western Digital Corporation,FRA,Data Storage Devices,France
VVV3.F,ÖKOWORLD AG,FRA,Insurance Brokers,France
VOW.F,Volkswagen Aktiengesellschaft,FRA,Auto Manufacturers - Major,France
USE.F,Beate Uhse AG,FRA,"Specialty Retail, Other",France
UMS.F,UMS United Medical Systems International AG,FRA,N/A,France
TXA.F,AmaTech AG,FRA,N/A,France
TUI1.F,TUI AG,FRA,"Recreational Goods, Other",France
TTC.F,Transtec AG,FRA,N/A,France
SY1.F,Symrise AG,FRA,Specialty Chemicals,France
SWA.F,Schloss Wachenheim AG,FRA,Beverages - Wineries & Distillers,France
STR.F,Starwood Waypoint Homes,FRA,N/A,France
STO3.F,Sto SE & Co. KGaA,FRA,General Building Materials,France
SMHN.F,SÜSS MicroTec SE,FRA,Semiconductor Equipment & Materials,France
SIX2.F,Sixt SE,FRA,Rental & Leasing Services,France
SGL.F,SGL Carbon SE,FRA,Chemicals - Major Diversified,France
SAZ.F,STADA Arzneimittel Aktiengesellschaft,FRA,Drugs - Generic,France
S92.F,SMA Solar Technology AG,FRA,Diversified Utilities,France
RY2.F,Dah Sing Banking Group Limited,FRA,N/A,France
R6C3.F,Royal Dutch Shell plc,FRA,Major Integrated Oil & Gas,France
PS4.F,Phoenix Solar Aktiengesellschaft,FRA,Diversified Utilities,France
PPK.F,Next Digital Limited,FRA,N/A,France
PPA.F,PA Power Automation AG,FRA,Technical & System Software,France
PEH.F,PEH Wertpapier AG,FRA,N/A,France
PAH3.F,Porsche Automobil Holding SE,FRA,Auto Manufacturers - Major,France
PA8.F,Paion AG,FRA,Biotechnology,France
ODET.PA,Financière de l'Odet SA,PAR,Conglomerates,France
ODE.F,Odeon Film AG,FRA,N/A,France
O1BC.F,XING AG,FRA,Internet Information Providers,France
NWX.F,Nordwest Handel AG,FRA,N/A,France
NDA.F,Aurubis AG,FRA,Copper,France
MUV2.F,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft,FRA,Property & Casualty Insurance,France
MUT3.F,Mineralbrunnen Überkingen-Teinach GmbH & Co. KGaA,FRA,N/A,France
MUM.F,Mensch und Maschine Software SE,FRA,Business Services,France
MTX.F,MTU Aero Engines AG,FRA,Aerospace/Defense - Major Diversified,France
MPS.F,Mühl Product & Service Aktiengesellschaft,FRA,N/A,France
MLTRA.PA,Compagnie des Tramways de Rouen SA,PAR,Conglomerates,France
MLTED.PA,Telecom Design SA,PAR,Communication Equipment,France
MLSHD.PA,Scandinavian house Development SA,PAR,N/A,France
MLNV.PA,Compagnie Generale DES Etablissements Michelin SCA,PAR,N/A,France
MLLEM.PA,Lecteurs Du Monde,PAR,Business Services,France
MLL.F,Müller - Die lila Logistik AG,FRA,Air Delivery & Freight Services,France
MLHK.PA,H&K AG,PAR,N/A,France
MLEAU.PA,Societe des Eaux de Douai SA,PAR,Water Utilities,France
MLDAM.PA,Damaris SA,PAR,Technical & System Software,France
MLCMB.PA,Compagnie Du Mont-Blanc,PAR,"Recreational Goods, Other",France
MLCFM.PA,CFM Indosuez Wealth,PAR,Money Center Banks,France
MHH.F,Medisana AG,FRA,N/A,France
MFL.F,"Marudai Food Co., Ltd.",FRA,N/A,France
MAN3.F,MAN SE,FRA,Trucks & Other Vehicles,France
MALA.PA,Societe Des Produits Marnier Lapostolle Société Anonyme,PAR,N/A,France
LXS.F,LANXESS Aktiengesellschaft,FRA,Specialty Chemicals,France
LVH1.F,Jackpot Digital Inc.,FRA,N/A,France
LNSX.F,Sixt Leasing SE,FRA,N/A,France
LEG.F,LEG Immobilien AG,FRA,General Building Materials,France
KYW.F,Skyworth Digital Holdings Limited,FRA,N/A,France
KWS.F,KWS Saat SE,FRA,Farm Products,France
KRN.F,Krones AG,FRA,Diversified Machinery,France
KLH.F,Københavns Lufthavne A/S,FRA,N/A,France
KBU.F,TAG Colonia-Immobilien AG,FRA,N/A,France
KBC.F,Kontron AG,FRA,Computer Based Systems,France
JY8.F,Joyou AG,FRA,N/A,France
HUL.F,BHS tabletop AG,FRA,N/A,France
HNR1.F,Hannover Rück SE,FRA,Property & Casualty Insurance,France
HNL.F,Dr. Hönle AG,FRA,Electronic Equipment,France
HEI.F,HeidelbergCement AG,FRA,General Building Materials,France
HDP.PA,Les Hotels De Paris SA,PAR,Lodging,France
HDI.F,"The Home Depot, Inc.",FRA,N/A,France
HDD.F,Heidelberger Druckmaschinen Aktiengesellschaft,FRA,Diversified Machinery,France
HBM.F,Hornbach Baumarkt AG,FRA,Home Furnishings & Fixtures,France
GUYD.PA,Guy Degrenne S.A.,PAR,Personal Products,France
FEV.F,Fortec Elektronik AG,FRA,Electronic Equipment,France
FDM.F,Fresh Del Monte Produce Inc.,FRA,N/A,France
FDL.PA,Foncière Développement Logements,PAR,REIT - Residential,France
FAO2.F,i:FAO Aktiengesellschaft,FRA,N/A,France
EDD3.F,edding AG,FRA,N/A,France
EBK.F,EnBW Energie Baden-Württemberg AG,FRA,Diversified Utilities,France
DZX.F,DZX.F,FRA,N/A,France
SEV.PA,SUEZ SA,PAR,Water Utilities,France
ERF.PA,Eurofins Scientific SE,PAR,Medical Laboratories & Research,France
EO.PA,Faurecia S.A.,PAR,Auto Parts,France
EI.PA,Essilor International Société Anonyme,PAR,Medical Instruments & Supplies,France
CBE.PA,Robertet SA,PAR,Chemicals - Major Diversified,France
SU.PA,Schneider Electric S.E.,PAR,Diversified Machinery,France
ERSC.PA,Eurosic SA,PAR,REIT - Diversified,France
ENGI.PA,ENGIE SA,PAR,N/A,France
ELIOR.PA,Elior Group,PAR,Restaurants,France
ECP.PA,EuropaCorp,PAR,Broadcasting - TV,France
YE5.F,NextSource Materials Inc.,FRA,N/A,France
VIE.PA,Veolia Environnement S.A.,PAR,Waste Management,France
