Ticker,Name,Exchange,Category Name,Country
ALPHA.AT,Alpha Bank A.E.,ATH,Money Center Banks,Greece
DUR.AT,Duros SA,ATH,Textile - Apparel Clothing,Greece
ETE.AT,National Bank of Greece S.A.,ATH,Money Center Banks,Greece
ELPE.AT,Hellenic Petroleum S.A.,ATH,Major Integrated Oil & Gas,Greece
ELBA.AT,Elval Holdings S.A.,ATH,N/A,Greece
MYTIL.AT,Mytilineos Holdings S.A.,ATH,Industrial Metals & Minerals,Greece
VOSYS.AT,Vogiatzoglou Systems S.A.,ATH,Home Furnishings & Fixtures,Greece
TPEIR.AT,Piraeus Bank S.A.,ATH,Money Center Banks,Greece
TELL.AT,Bank of Greece A.E.,ATH,Money Center Banks,Greece
PRESD.AT,Geke S.A.,ATH,Lodging,Greece
SATOK.AT,Sato office and Houseware supplies SA,ATH,Business Equipment,Greece
MPP.AT,J. Boutaris & Son Holding S.A.,ATH,N/A,Greece
AVAX.AT,J&P-Avax S.A.,ATH,General Contractors,Greece
KYRI.AT,Kiriacoulis Mediterranean Cruises Shipping S.A,ATH,"Recreational Goods, Other",Greece
KYLO.AT,Loulis Mills S.A.,ATH,Food - Major Diversified,Greece
KRI.AT,Kri Kri S.A.,ATH,Food - Major Diversified,Greece
KLM.AT,I.Kloukinas-I.Lappas S.A.,ATH,General Contractors,Greece
KLEM.AT,Kleemann Hellas Mechanical Constructions Societe Anonyme Industrial Trading Company S.A.,ATH,N/A,Greece
KEKR.AT,Kekrops S.A.,ATH,Property Management,Greece
KARE.AT,Karelia Tobacco Company Inc,ATH,"Tobacco Products, Other",Greece
KANAK.AT,"Stelios Kanakis, Industrial and Commercial SA, Raw Materials for Confectionary, Bakery and Ice-Cream",ATH,Confectioners,Greece
ANEPO.AT,Anonimi Naftiliaki Etareia Kritis S.A.,ATH,Shipping,Greece
KOUM.AT,KOYMBAS SYNERGY GROUP (CR),ATH,N/A,Greece
OTOEL.AT,Autohellas SA,ATH,Rental & Leasing Services,Greece
OPAP.AT,Greek Organization of Football Prognostics S.A.,ATH,Gaming Activities,Greece
QUEST.AT,Quest Holdings S.A.,ATH,Information Technology Services,Greece
QUAL.AT,Quality & Reliability A.B.E.E,ATH,Technical & System Software,Greece
TRASTOR.AT,Trastor Real Estate Investment Company SA,ATH,REIT - Diversified,Greece
BIOSK.AT,Unibios Holdings S.A.,ATH,Pollution & Treatment Controls,Greece
VIDAVO.AT,Vidavo S.A.,ATH,Healthcare Information Services,Greece
VARG.AT,Varangis Avepe S.A.,ATH,Home Furnishings & Fixtures,Greece
XYLEP.AT,Interwood-Xylemporia A.T.E.N.E.,ATH,N/A,Greece
XYLEK.AT,Interwood-Xylemporia A.T.E.N.E.,ATH,"Lumber, Wood Production",Greece
XAKO.AT,Halcor Metal Works S.A.,ATH,Metal Fabrication,Greece
TEGO.AT,TEGO.AT,ATH,N/A,Greece
YALCO.AT,YALCO - Socrates D. Constantinou & Son S.A.,ATH,Personal Products,Greece
AAAK.AT,Wool Industry Tria Alfa S.A.,ATH,Textile Industrial,Greece
AAAP.AT,Wool Industry Tria Alfa S.A.,ATH,Textile Industrial,Greece
AEGN.AT,Aegean Airlines S.A.,ATH,Major Airlines,Greece
CENTR.AT,Centric Holdings S.A.,ATH,Gaming Activities,Greece
AEGEK.AT,AEGEK S.A.,ATH,N/A,Greece
ATE.AT,ATE.AT,ATH,N/A,Greece
EEE.AT,Coca-Cola HBC AG,ATH,Beverages - Soft Drinks,Greece
AGRI.AT,Alpha Grissin Power and Environmental Control Systems S.A.,ATH,N/A,Greece
AIOLC.AT,Aeolian Investment Fund S.A.,ATH,N/A,Greece
AKRIT.AT,Akritas S.A.,ATH,General Building Materials,Greece
ALMY.AT,Alumil Aluminium Industry S.A.,ATH,Aluminum,Greece
ATRUST.AT,Alpha Trust Mutual Fund and Alternative Investment Fund Management S.A.,ATH,Asset Management,Greece
ALKA.AT,Nexans Hellas S.A.,ATH,Electronics Wholesale,Greece
ASTAK.AT,Alpha Astika Akinita S.A.,ATH,Property Management,Greece
ALSIN.AT,ALSINCO S.A (CR),ATH,N/A,Greece
ALCO.AT,Alco Hellas Aluminium Industrial and Trading Company S.A.,ATH,N/A,Greece
ALTEC.AT,ALTEC Holdings S.A. IT and Communication Systems,ATH,N/A,Greece
FORTH.AT,Hellenic Company for Telecommunications and Telematic Applications S.A.,ATH,Wireless Communications,Greece
INKAT.AT,Intracom Constructions Societe Anonyme Technical and Steel Constructions,ATH,Heavy Construction,Greece
ANEK.AT,Anonimi Naftiliaki Etareia Kritis S.A.,ATH,Shipping,Greece
FLEXO.AT,Flexopack Société Anonyme Commercial and Industrial Plastics Company,ATH,Packaging & Containers,Greece
ANEP.AT,Anonimi Naftiliaki Etareia Kritis S.A.,ATH,N/A,Greece
ANEMOS.AT,Elliniki Technodomiki Anemos S.A. Production of Electrical Energy,ATH,Diversified Utilities,Greece
DIFF.AT,DIAS A/C (CR),ATH,N/A,Greece
ASTIR.AT,Astir Palace Vouliagmeni S.A.,ATH,N/A,Greece
ASCO.AT,AS Company S.A.,ATH,"Recreational Goods, Other",Greece
TATT.AT,Attica Bank S.A.,ATH,Money Center Banks,Greece
ELATH.AT,ELATH.AT,ATH,N/A,Greece
ATTIK.AT,Atti-Kat S.A.,ATH,N/A,Greece
ATTICA.AT,Attica Holdings S.A.,ATH,Shipping,Greece
ATEK.AT,Attica Publications S.A.,ATH,Publishing - Newspapers,Greece
ATHINA.AT,ATHENA S.A.,ATH,General Contractors,Greece
AVE.AT,Audio Visual Enterprises S.A.,ATH,Entertainment - Diversified,Greece
AVENIR.AT,AVENIR.AT,ATH,N/A,Greece
AXON.AT,Axon Holdings S.A.,ATH,N/A,Greece
BELA.AT,Jumbo S.A.,ATH,"Recreational Goods, Other",Greece
VIO.AT,VIOHALCO S.A.,ATH,Industrial Metals & Minerals,Greece
BIOKA.AT,Biokarpet S.A.,ATH,Textile Industrial,Greece
BIOT.AT,Bioter S.A.,ATH,General Contractors,Greece
BOC.AT,Bank of Cyprus Holdings Public Limited Company,ATH,N/A,Greece
BYTE.AT,Byte Computer SA,ATH,Information Technology Services,Greece
CPI.AT,CPI Computer Peripherals International,ATH,Information Technology Services,Greece
CRETA.AT,Creta Farm S.A.,ATH,Food - Major Diversified,Greece
DAIOS.AT,Daios Plastics SA,ATH,Rubber & Plastics,Greece
DION.AT,Dionic S.A.,ATH,Industrial Equipment Wholesale,Greece
GED.AT,G.E. Dimitriou Commercial Company S.A.,ATH,Personal Products,Greece
DOMIK.AT,Domiki Kritis S.A.,ATH,Heavy Construction,Greece
DOPPLER.AT,Doppler S.A.,ATH,Diversified Machinery,Greece
DROME.AT,Dromeas SA,ATH,Home Furnishings & Fixtures,Greece
DROUK.AT,Druckfarben Hellas A.E.B.E.,ATH,Specialty Chemicals,Greece
EDRA.AT,EDRASIS - C. PSALLIDAS SA (CR),ATH,N/A,Greece
EKTER.AT,Ekter SA,ATH,General Contractors,Greece
ELBIO.AT,Elviemek Land Development - Logistics Parks - Energy - Recycling S.A.,ATH,Property Management,Greece
ELIN.AT,Elinoil Hellenic Petroleum Company S.A.,ATH,Oil & Gas Refining & Marketing,Greece
ELFIS.AT,Hellenic FishFarming SA,ATH,N/A,Greece
ELYF.AT,HELLENIC FABRICS SA (CR),ATH,N/A,Greece
ELSTR.AT,Elastron S.A.,ATH,Steel & Iron,Greece
ELLAKTOR.AT,ELLAKTOR SA,ATH,N/A,Greece
ELKA.AT,Hellenic Cables Holdings S.A.,ATH,N/A,Greece
ELTRK.AT,Eltrak S.A.,ATH,Industrial Equipment Wholesale,Greece
ELTON.AT,Elton International Trading Company S.A.,ATH,Chemicals - Major Diversified,Greece
ELBE.AT,Elve S.A.,ATH,Textile - Apparel Clothing,Greece
ELGEK.AT,Elgeka S.A.,ATH,Food Wholesale,Greece
ENVI.AT,Envitec S.A. - Technical & Environmental Projects,ATH,Waste Management,Greece
ENTER.AT,Entersoft S.A.,ATH,Technical & System Software,Greece
EPSIL.AT,Epsilon Net S.A.,ATH,Technical & System Software,Greece
EPIL.AT,Selected Textiles S.A.,ATH,Textile Industrial,Greece
EUROB.AT,Eurobank Ergasias S.A.,ATH,Money Center Banks,Greece
GRIV.AT,Grivalia Properties Real Estate Investment Company S.A.,ATH,REIT - Diversified,Greece
MIGRE.AT,NBG Pangaea Real Estate Investment Company,ATH,N/A,Greece
PANGAEA.AT,NBG Pangaea Real Estate Investment Company,ATH,REIT - Office,Greece
EUBRK.AT,Eurobrokers S.A.,ATH,N/A,Greece
EUPIC.AT,European Reliance General Insurance Company S.A.,ATH,Property & Casualty Insurance,Greece
EUROM.AT,Euromedica S.A.,ATH,Hospitals,Greece
EUROC.AT,Euroconsultants S.A.,ATH,Information Technology Services,Greece
FGE.AT,F.G. Europe S.A.,ATH,Electronics Wholesale,Greece
EX.AT,Euroxx Securities S.A.,ATH,Asset Management,Greece
EVROF.AT,Evrofarma SA,ATH,Food Wholesale,Greece
EXAE.AT,Hellenic Exchanges - Athens Stock Exchange SA,ATH,Asset Management,Greece
EYDAP.AT,Athens Water Supply and Sewerage Company S.A.,ATH,Water Utilities,Greece
EYAPS.AT,Thessaloniki Water Supply & Sewerage Co. S.A.,ATH,Water Utilities,Greece
FFGRP.AT,Folli-Follie Commercial Manufacturing and Technical Societe Anonyme,ATH,Jewelry Stores,Greece
FIER.AT,Fieratex S.A.,ATH,Textile Industrial,Greece
FOODL.AT,Foodlink A.E.,ATH,Air Delivery & Freight Services,Greece
FOYRK.AT,Fourlis Holdings S.A.,ATH,"Specialty Retail, Other",Greece
FRIGO.AT,Frigoglass S.A.I.C.,ATH,Diversified Machinery,Greece
GEKTERNA.AT,"GEK TERNA Holding, Real Estate, Construction S.A.",ATH,General Contractors,Greece
GEBKA.AT,General Commercial & Industrial S.A.,ATH,Industrial Equipment Wholesale,Greece
GMF.AT,Galaxidi Marine Farm S.A.,ATH,Farm Products,Greece
INLOT.AT,Intralot S.A.,ATH,Gaming Activities,Greece
TITK.AT,Titan Cement Company S.A.,ATH,General Building Materials,Greece
SELO.AT,Selonda Aquaculture S.A.,ATH,Farm Products,Greece
PPC.AT,Public Power Corporation S.A.,ATH,Electric Utilities,Greece
PERS.AT,Perseus SA,ATH,Farm Products,Greece
PEGAS.AT,Pegasus Publishing S.A.,ATH,Publishing - Newspapers,Greece
NAYP.AT,Nafpaktos Textile Industry S.A.,ATH,Textile Industrial,Greece
NAKAS.AT,Philippos Nakas S.A.,ATH,"Specialty Retail, Other",Greece
NAFT.AT,Naytemporiki Publishing S.A.,ATH,Publishing - Newspapers,Greece
MOTO.AT,Emporiki Eisagogiki Aftokiniton Ditrohon kai Mihanon Thalassis Societe Anonyme,ATH,Auto Dealerships,Greece
MINOA.AT,Minoan Lines Shipping S.A.,ATH,Shipping,Greece
MEVA.AT,Mevaco S.A.,ATH,Conglomerates,Greece
METKK.AT,Metka Industrial-Construction S.A.,ATH,N/A,Greece
MARAC.AT,MARAC Electronics S.A.,ATH,Wireless Communications,Greece
LYK.AT,Inform P. Lykos S.A.,ATH,Business Services,Greece
LOGISMOS.AT,Logismos Information Systems S.A.,ATH,Technical & System Software,Greece
LIVAN.AT,Livanis Publications SA,ATH,Publishing - Newspapers,Greece
LEBEP.AT,N. Leventeris S.A.,ATH,Diversified Electronics,Greece
LAVI.AT,Lavipharm S.A.,ATH,Drug Manufacturers - Major,Greece
IOKA.AT,Ionian Hotel Enterprises S.A.,ATH,N/A,Greece
IATR.AT,Athens Medical Center S.A.,ATH,Health Care Plans,Greece
HYGEIA.AT,Diagnostic and Therapeutic Center of Athens Hygeia SA,ATH,Hospitals,Greece
HTO.AT,Hellenic Telecommunications Organization S.A.,ATH,Wireless Communications,Greece
HATZK.AT,XATZIOANNOU (CR),ATH,N/A,Greece
HAIDE.AT,Haidemenos S.A.,ATH,Business Services,Greece
TT.AT,TT HELLENIC POSTBANK (CR),ATH,N/A,Greece
SPACE.AT,Space Hellas S.A.,ATH,Technical & System Software,Greece
MEDIC.AT,Medicon Hellas S.A,ATH,Scientific & Technical Instruments,Greece
NEWS.AT,Newsphone Hellas SA,ATH,Business Services,Greece
