Ticker,Name,Exchange,Category Name,Country
0522.HK,ASM PACIFIC,HKG,Semiconductor Equipment & Materials,Hong Kong
0104.HK,ASIA COMM HOLD,HKG,"Specialty Retail, Other",Hong Kong
0933.HK,Brightoil Petroleum (Holdings) Limited,HKG,Oil & Gas Drilling & Exploration,Hong Kong
0180.HK,Kader Holdings Company Limited,HKG,Diversified Machinery,Hong Kong
6388.HK,COACH-DRS-RS,HKG,N/A,Hong Kong
0718.HK,Tai United Holdings Limited,HKG,Rubber & Plastics,Hong Kong
0494.HK,Li & Fung Limited,HKG,Air Delivery & Freight Services,Hong Kong
0316.HK,Orient Overseas (International) Limited,HKG,Shipping,Hong Kong
0233.HK,MY MEDICARE,HKG,N/A,Hong Kong
0055.HK,Neway Group Holdings Limited,HKG,Conglomerates,Hong Kong
0524.HK,E-KONG GROUP,HKG,Wireless Communications,Hong Kong
0703.HK,FUTURE BRIGHT,HKG,"Recreational Goods, Other",Hong Kong
0005.HK,HSBC HOLDINGS,HKG,Money Center Banks,Hong Kong
2888.HK,STANCHART,HKG,Money Center Banks,Hong Kong
1222.HK,WANG ON GROUP,HKG,Real Estate Development,Hong Kong
0992.HK,LENOVO GROUP,HKG,Computer Based Systems,Hong Kong
0293.HK,CATHAY PAC AIR,HKG,Major Airlines,Hong Kong
0388.HK,HKEX,HKG,Mortgage Investment,Hong Kong
0017.HK,NEW WORLD DEV,HKG,Real Estate Development,Hong Kong
0941.HK,CHINA MOBILE,HKG,Wireless Communications,Hong Kong
0688.HK,CHINA OVERSEAS,HKG,Asset Management,Hong Kong
0291.HK,CHINA RES BEER,HKG,Conglomerates,Hong Kong
0027.HK,GALAXY ENT,HKG,Resorts & Casinos,Hong Kong
0242.HK,SHUN TAK HOLD,HKG,Conglomerates,Hong Kong
0011.HK,HANG SENG BANK,HKG,Money Center Banks,Hong Kong
0006.HK,POWER ASSETS,HKG,Diversified Utilities,Hong Kong
0004.HK,WHARF HOLDINGS,HKG,Property Management,Hong Kong
0003.HK,HK & CHINA GAS,HKG,Gas Utilities,Hong Kong
3377.HK,SINO-OCEAN GP,HKG,Real Estate Development,Hong Kong
2388.HK,BOC HONG KONG,HKG,Money Center Banks,Hong Kong
1299.HK,AIA,HKG,Life Insurance,Hong Kong
0883.HK,CNOOC,HKG,Independent Oil & Gas,Hong Kong
0817.HK,CHINA JINMAO,HKG,Real Estate Development,Hong Kong
0762.HK,CHINA UNICOM,HKG,Wireless Communications,Hong Kong
0392.HK,BEIJING ENT,HKG,Conglomerates,Hong Kong
0257.HK,CHINA EB INT'L,HKG,Waste Management,Hong Kong
0252.HK,SE ASIA PPT,HKG,Conglomerates,Hong Kong
1668.HK,CHINASOUTHCITY,HKG,Property Management,Hong Kong
0900.HK,AEON CREDIT,HKG,Savings & Loans,Hong Kong
0808.HK,PROSPERITY REIT,HKG,REIT - Office,Hong Kong
0716.HK,SINGAMAS CONT,HKG,Diversified Machinery,Hong Kong
0705.HK,DINGHE MINING,HKG,Industrial Metals & Minerals,Hong Kong
0669.HK,TECHTRONIC IND,HKG,Electronic Equipment,Hong Kong
0656.HK,FOSUN INTL,HKG,Conglomerates,Hong Kong
0619.HK,SOUTH CHINA FIN,HKG,Investment Brokerage - National,Hong Kong
0363.HK,SHANGHAI IND H,HKG,Business Services,Hong Kong
0303.HK,VTECH HOLDINGS,HKG,Communication Equipment,Hong Kong
0267.HK,CITIC,HKG,Steel & Iron,Hong Kong
0245.HK,CN MINSHENG FIN,HKG,Department Stores,Hong Kong
0184.HK,KECK SENG INV,HKG,Real Estate Development,Hong Kong
0144.HK,CHINA MER PORT,HKG,Shipping,Hong Kong
0105.HK,ASSO INT HOTELS,HKG,Lodging,Hong Kong
0083.HK,SINO LAND,HKG,Real Estate Development,Hong Kong
0071.HK,MIRAMAR HOTEL,HKG,Lodging,Hong Kong
0045.HK,HK&S HOTELS,HKG,Lodging,Hong Kong
0020.HK,WHEELOCK,HKG,Real Estate Development,Hong Kong
0016.HK,SHK PPT,HKG,Real Estate Development,Hong Kong
0008.HK,PCCW,HKG,Wireless Communications,Hong Kong
8022.HK,EVERSHINE GP,HKG,Trucking,Hong Kong
2380.HK,CHINA POWER,HKG,Electric Utilities,Hong Kong
1972.HK,SWIREPROPERTIES,HKG,N/A,Hong Kong
1360.HK,MEGAEXPO HLDG,HKG,N/A,Hong Kong
1208.HK,MMG,HKG,Industrial Metals & Minerals,Hong Kong
1029.HK,IRC,HKG,Industrial Metals & Minerals,Hong Kong
0984.HK,"AEON Stores (Hong Kong) Co., Limited",HKG,Department Stores,Hong Kong
0966.HK,China Taiping Insurance Holdings Company Limited,HKG,Life Insurance,Hong Kong
0887.HK,Emperor Watch & Jewellery Limited,HKG,Jewelry Stores,Hong Kong
0882.HK,Tianjin Development Holdings Limited,HKG,Diversified Utilities,Hong Kong
0836.HK,China Resources Power Holdings Company Limited,HKG,Diversified Utilities,Hong Kong
0708.HK,Evergrande Health Industry Group Limited,HKG,Publishing - Newspapers,Hong Kong
0639.HK,Shougang Fushan Resources Group Limited,HKG,Industrial Metals & Minerals,Hong Kong
0450.HK,Hung Hing Printing Group Limited,HKG,Paper & Paper Products,Hong Kong
0375.HK,YGM Trading Limited,HKG,Textile - Apparel Clothing,Hong Kong
0308.HK,China Travel International Investment Hong Kong Limited,HKG,"Air Services, Other",Hong Kong
0295.HK,Kong Sun Holdings Limited,HKG,Asset Management,Hong Kong
0294.HK,Yangtzekiang Garment Limited,HKG,Textile - Apparel Clothing,Hong Kong
0285.HK,BYD Electronic (International) Company Limited,HKG,Communication Equipment,Hong Kong
0273.HK,Mason Group Holdings Limited,HKG,Asset Management,Hong Kong
0271.HK,Asiasec Properties Limited,HKG,Asset Management,Hong Kong
0254.HK,NUR HOLDINGS,HKG,N/A,Hong Kong
0247.HK,Tsim Sha Tsui Properties Limited,HKG,Conglomerates,Hong Kong
0244.HK,"The Sincere Company, Limited",HKG,Department Stores,Hong Kong
0202.HK,EverChina Int'l Holdings Company Limited,HKG,Pollution & Treatment Controls,Hong Kong
0137.HK,Jinhui Holdings Company Limited,HKG,Shipping,Hong Kong
0131.HK,CHEUK NANG HOLD,HKG,Property Management,Hong Kong
0123.HK,YUEXIU PROPERTY,HKG,Real Estate Development,Hong Kong
0101.HK,HANG LUNG PPT,HKG,N/A,Hong Kong
0086.HK,SUN HUNG KAI CO,HKG,Real Estate Development,Hong Kong
