Ticker,Name,Exchange,Category Name,Country
VOICE.IC,Fjarskipti hf,ICE,N/A,Iceland
VIS.IC,Vátryggingafélag Íslands hf.,ICE,N/A,Iceland
BNORDIK.IC,BankNordik P/F,ICE,N/A,Iceland
EIM.IC,Eimskipafélag Íslands hf.,ICE,N/A,Iceland
EIK.IC,Eik Fasteignafélag Hf,ICE,N/A,Iceland
REITIR.IC,Reitir Fasteignafélag hf.,ICE,N/A,Iceland
HAMP.IC,Hampidjan Hf.,ICE,N/A,Iceland
HAGA.IC,Hagar hf,ICE,N/A,Iceland
GRND.IC,HB Grandi hf.,ICE,N/A,Iceland
NYHR.IC,Nýherji hf.,ICE,N/A,Iceland
TM.IC,Tryggingamiðstöðin hf.,ICE,N/A,Iceland
SJOVA.IC,Sjóvá-Almennar tryggingar hf.,ICE,N/A,Iceland
REGINN.IC,Reginn hf.,ICE,N/A,Iceland
N1.IC,N1 Hf,ICE,N/A,Iceland
MARL.IC,Marel hf,ICE,N/A,Iceland
OSSRU.IC,Össur hf.,ICE,N/A,Iceland
ICEAIR.IC,Icelandair Group hf.,ICE,N/A,Iceland
SIMINN.IC,Síminn hf.,ICE,N/A,Iceland
SFSB.IC,Slaturfelag Sudurlands Svf,ICE,N/A,Iceland
