Ticker,Name,Exchange,Category Name,Country
BHARTIARTL.NS,Bharti Airtel Limited,NSI,Wireless Communications,India
ASHOKLEY.NS,Ashok Leyland Limited,NSI,Auto Manufacturers - Major,India
AUROPHARMA.NS,Aurobindo Pharma Limited,NSI,Drugs - Generic,India
AREXMIS.BO,Arex Industries Ltd.,BSE,N/A,India
SANWARIA.NS,Sanwaria Agro Oils Limited,NSI,Farm Products,India
ALMONDZ.NS,Almondz Global Securities Limited,NSI,Investment Brokerage - National,India
ADINATH.BO,Adinath Textiles Ltd,BSE,N/A,India
SBIN.NS,State Bank of India,NSI,Money Center Banks,India
BPCL.NS,Bharat Petroleum Corporation Limited,NSI,Oil & Gas Refining & Marketing,India
MBECL.NS,McNally Bharat Engineering Company Limited,NSI,General Contractors,India
MAHABANK.NS,Bank of Maharashtra,NSI,Money Center Banks,India
DBCORP.BO,D. B. Corp Limited,BSE,N/A,India
BOSCHLTD.NS,Bosch Limited,NSI,Auto Parts,India
BHEL.BO,Bharat Heavy Electricals Ltd.,BSE,N/A,India
IDBI.NS,IDBI Bank Limited,NSI,Money Center Banks,India
IRB.BO,IRB Infrastructure Developers Limited,BSE,N/A,India
DABUR.NS,Dabur India Limited,NSI,Personal Products,India
TCIDEVELOP.NS,TCI Developers Limited,NSI,Real Estate Development,India
NDTV.BO,New Delhi Television Limited,BSE,N/A,India
ISHITADR.BO,Ishita Drugs & Industries Ltd,BSE,N/A,India
GDL.BO,Gateway Distriparks Limited,BSE,N/A,India
DRREDDY.NS,Dr. Reddy's Laboratories Limited,NSI,Drugs - Generic,India
DPSCLTD.NS,India Power Corporation Limited,NSI,Electric Utilities,India
DLF.BO,DLF Limited,BSE,N/A,India
DEEPAKSP.BO,Deepak Spinners Limited,BSE,N/A,India
DANLAW.BO,Danlaw Technologies India Limited,BSE,N/A,India
VIPULDYE.BO,Vipul Dye Chem Ltd.,BSE,N/A,India
VADIDAI.BO,Vadilal Dairy International Ltd.,BSE,N/A,India
TRIMURTHI.BO,Trimurthi Limited,BSE,N/A,India
THAKDEV.BO,Thakkers Developers Ltd,BSE,N/A,India
TATAMTRDVR.BO,TATA MOTORS LTD - DVR,BSE,N/A,India
SUPDF.BO,SUPERSTAR DISTILLERIES & FOODS,BSE,N/A,India
SHRIDINE.BO,Shri Dinesh Mills Limited,BSE,N/A,India
RADHEDE.BO,Radhe Developers (India) Ltd.,BSE,N/A,India
PROTODEV.BO,Proto Developers & Technologies Limited,BSE,N/A,India
PRABHAT.NS,Prabhat Dairy Limited,NSI,Food - Major Diversified,India
NDMETAL.BO,ND Metal Industries Ltd,BSE,N/A,India
MDRNSUT-B.BO,MODERN DENIM LTD.,BSE,N/A,India
MANGALAM.BO,Mangalam Drugs & Organics Limited,BSE,N/A,India
MAHLIFE.NS,Mahindra Lifespace Developers Limited,NSI,Real Estate Development,India
LPDC.NS,Landmark Property Development Company Limited,NSI,Real Estate Development,India
KAUSHALYA.NS,Kaushalya Infrastructure Development Corporation Limited,NSI,General Contractors,India
IRB.NS,IRB Infrastructure Developers Limited,NSI,Heavy Construction,India
INTERDIGI.BO,Interworld Digital Ltd.,BSE,N/A,India
INDTONER.BO,Indian Toners & Developers Ltd.,BSE,N/A,India
INDLEASE.BO,India Lease Development Limited,BSE,N/A,India
HDIL.NS,Housing Development and Infrastructure Limited,NSI,Real Estate Development,India
HDIL.BO,Housing Development & Infrastructure Limited,BSE,N/A,India
HDFC.NS,Housing Development Finance Corporation Limited,NSI,Mortgage Investment,India
HDFC.BO,Housing Development Finance Corporation Limited,BSE,N/A,India
GOLKUNDIA.BO,Golkunda Diamonds & Jewellery Limited,BSE,N/A,India
GOENKA.NS,Goenka Diamond and Jewels Limited,NSI,Jewelry Stores,India
ESSDEE.BO,Ess Dee Aluminium Limited,BSE,N/A,India
ENERGYDEV.NS,Energy Development Company Limited,NSI,Electric Utilities,India
EIDPARRY.BO,E.I.D.- Parry (India) Limited,BSE,N/A,India
KELENRG.BO,Keltech Energies Limited,BSE,N/A,India
SCHNEIDER.NS,Schneider Electric Infrastructure Limited,NSI,Diversified Machinery,India
EASTSILK.BO,Eastern Silk Industries Ltd.,BSE,N/A,India
TATAELXSI.NS,Tata Elxsi Limited,NSI,Technical & System Software,India
SWARAJENG.NS,Swaraj Engines Limited,NSI,Auto Parts,India
STEERINTER.BO,Sterling International Enterprises Ltd.,BSE,N/A,India
SEQUELE.BO,Sequel e-Routers Ltd.,BSE,N/A,India
RECLTD.NS,Rural Electrification Corporation Limited,NSI,Credit Services,India
PEL.NS,Piramal Enterprises Limited,NSI,Drug Manufacturers - Major,India
MKEXIM.BO,M.K. Exim (India) Limited,BSE,N/A,India
JAYTEX.BO,Jaybharat Textiles And Real Estate Limited,BSE,N/A,India
IBREALEST.BO,Indiabulls Real Estate Limited,BSE,N/A,India
EVERONN.NS,Everonn Education Limited,NSI,N/A,India
ESSELPACK.NS,Essel Propack Limited,NSI,N/A,India
ENTEGRA.NS,Entegra Limited,NSI,N/A,India
EMMESSA.BO,Emmessar Biotech & Nutrition Limited,BSE,N/A,India
ECOM.BO,E.com Infotech India Ltd.,BSE,N/A,India
BEL.BO,Bharat Electronics Limited,BSE,N/A,India
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,NSI,Shipping,India
ZICOM.BO,Zicom Electronic Security Systems Limited,BSE,N/A,India
ZANUKCOM.BO,Anukaran Commercial Enterprises Ltd.,BSE,N/A,India
OFSS.NS,Oracle Financial Services Software Limited,NSI,Business Software & Services,India
LICHSGFIN.NS,LIC Housing Finance Limited,NSI,Mortgage Investment,India
FORTUNEF.BO,Fortune Financial Services (India) Limited,BSE,N/A,India
SUNDRMFAST.BO,Sundram Fasteners Limited,BSE,N/A,India
SUNDARMFIN.BO,Sundaram Finance Limited,BSE,N/A,India
SITASHREE.NS,Sita Shree Food Products Limited,NSI,Farm Products,India
RELAXO.BO,Relaxo Footwears Limited,BSE,N/A,India
RCF.BO,Rashtriya Chemicals And Fertilizers Limited,BSE,N/A,India
PFS.NS,PTC India Financial Services Limited,NSI,Mortgage Investment,India
PFC.NS,Power Finance Corporation Limited,NSI,Credit Services,India
NIKKIGL.BO,Nikki Global Finance Limited,BSE,N/A,India
MUTHOOTFIN.NS,Muthoot Finance Limited,NSI,Credit Services,India
MAX.NS,Max Financial Services Limited,NSI,N/A,India
MAGMA.NS,Magma Fincorp Limited,NSI,Credit Services,India
KZLFIN.BO,KZ Leasing & Finance Ltd.,BSE,N/A,India
IFSL.BO,Integrated Financial Services Limited,BSE,N/A,India
HNDFDS.BO,Hindustan Foods Limited,BSE,N/A,India
HILTON.BO,Hilton Metal Forging Limitied,BSE,N/A,India
GOWRALE.BO,Gowra Leasing & Finance Ltd.,BSE,N/A,India
GEEFC.BO,Geefcee Finance Limited,BSE,N/A,India
FORCEMOT.BO,Force Motors Ltd.,BSE,N/A,India
FOODSIN.BO,Foods & Inns Ltd.,BSE,N/A,India
FILME.BO,Filmcity Media Ltd.,BSE,N/A,India
FFPL.BO,Foundry Fuel Products Ltd.,BSE,N/A,India
FACT.NS,The Fertilisers And Chemicals Travancore Limited,NSI,Agricultural Chemicals,India
ARORAFIB.BO,Arora Fibres,BSE,N/A,India
AJWAFUN.BO,Ajwa Fun World & Resort Ltd,BSE,N/A,India
ADMANUM.BO,Ad-Manum Finance Ltd,BSE,N/A,India
ZSUBWAYF.BO,"Subway Finance & Investment Co., Ltd.",BSE,N/A,India
ZSIYARPO.BO,SIYARAM PODDAR FINANCE & TRADI,BSE,N/A,India
ZSHERAPR.BO,SHERATON PROPERTIES & FINANCE,BSE,N/A,India
ZSAMPKTR.BO,SAMPARK TRADING & FINANCE LTD.,BSE,N/A,India
ZNIVEMER.BO,Nivedita Mercantile & Financing Ltd.,BSE,N/A,India
WSFIN.BO,Wall Street Finance Ltd.,BSE,N/A,India
WEIZFOREX.NS,Weizmann Forex Limited,NSI,Investment Brokerage - National,India
WEIZFOREX.BO,WEIZMANN FOREX LTD.,BSE,N/A,India
WALLFORT.BO,Wallfort Financial Services Limited,BSE,N/A,India
VOITHPAPR.BO,Voith Paper Fabrics India Limited,BSE,N/A,India
VBCFERROQ.BO,VBC Ferro Alloys Limited,BSE,N/A,India
VAXHS.BO,Vax Housing Finance Corporation Ltd.,BSE,N/A,India
UPASAFN.BO,Upasana Finance Ltd,BSE,N/A,India
TIRFOAM.BO,Tirupati Foam Limited,BSE,N/A,India
GSPL.NS,Gujarat State Petronet Limited,NSI,Gas Utilities,India
GAYAPROJ.BO,Gayatri Projects Limited,BSE,N/A,India
GAIL.NS,GAIL (India) Limited,NSI,Gas Utilities,India
TAJGVK.BO,TAJGVK Hotels & Resorts Limited,BSE,N/A,India
POWERGRID.NS,Power Grid Corporation of India Limited,NSI,Electric Utilities,India
ONGC.BO,Oil and Natural Gas Corp. Ltd.,BSE,N/A,India
VHL.NS,Vardhman Holdings Limited,NSI,Credit Services,India
HINDUNILVR.NS,Hindustan Unilever Limited,NSI,Personal Products,India
HINDPETRO.NS,Hindustan Petroleum Corporation Limited,NSI,N/A,India
HCC.NS,Hindustan Construction Company Limited,NSI,General Contractors,India
PAPERPROD.BO,Huhtamaki PPL Limited,BSE,N/A,India
ITHL.BO,International Travel House Limited,BSE,N/A,India
HIRECT.NS,Hind Rectifiers Limited,NSI,Diversified Electronics,India
HESTERBIO.BO,Hester Biosciences Ltd,BSE,N/A,India
HCC.BO,Hindustan Construction Company Limited,BSE,N/A,India
GUJHOTE.BO,Gujarat Hotels Ltd.,BSE,N/A,India
GRAVISSHO.BO,Graviss Hospitality Limited,BSE,N/A,India
BENARAS.BO,Benares Hotels Limited,BSE,N/A,India
ZENITHHE.BO,Zenith Healthcare Ltd,BSE,N/A,India
WONDERLA.BO,WONDERLA HOLIDAYS LTD,BSE,N/A,India
WHBRADY.BO,WH Brady & Company Limited,BSE,N/A,India
THEBYKE.BO,THE BYKE HOSPITALITY LTD.,BSE,N/A,India
SYNCOM.NS,Syncom Healthcare Limited,NSI,Drugs - Generic,India
SUNILHITEC.BO,Sunil Hitech Engineers Ltd.,BSE,N/A,India
STERLINH6.BO,STERLINH6.BO,BSE,N/A,India
STERLINH.BO,Sterling Holiday Resorts (India) Limited,BSE,N/A,India
SHHARICH.BO,Shree Hari Chemicals Export Limited,BSE,N/A,India
SGJHL.BO,Shree Ganesh Jewellery House (I) Limited,BSE,N/A,India
ROHLTD.NS,Royal Orchid Hotels Limited,NSI,Lodging,India
ROHLTD.BO,Royal Orchid Hotels Limited,BSE,N/A,India
JUBLINDS.NS,Jubilant Industries Limited,NSI,Rubber & Plastics,India
JKIL.BO,J.Kumar Infraprojects Limited,BSE,N/A,India
JVLAGRO.BO,JVL Agro Industries Ltd,BSE,N/A,India
JISLJALEQS.NS,Jain Irrigation Systems Limited,NSI,Farm & Construction Machinery,India
JAIBALAJI.BO,Jai Balaji Industries Ltd.,BSE,N/A,India
ZODJRDMKJ.NS,Zodiac-JRD-MKJ Limited,NSI,Jewelry Stores,India
SBBJ.NS,State Bank of Bikaner & Jaipur,NSI,N/A,India
SBBJ.BO,State Bank of Bikaner & Jaipur,BSE,N/A,India
PCJEWELLER-EQ.NS,PC JEWELLER LIMITE INR10,NSI,N/A,India
JYOTI.BO,Jyoti Ltd.,BSE,N/A,India
JYOTHYLAB.NS,Jyothy Laboratories Limited,NSI,Personal Products,India
JUBLFOOD.NS,Jubilant FoodWorks Limited,NSI,Restaurants,India
JUBLFOOD.BO,Jubilant FoodWorks Limited,BSE,N/A,India
JUBILANT.NS,Jubilant Life Sciences Limited,NSI,Drug Manufacturers - Major,India
JSWSTEEL.NS,JSW Steel Limited,NSI,N/A,India
JSWSTEEL.BO,JSW STEEL LTD.,BSE,N/A,India
JSWENERGY.BO,JSW Energy Limited,BSE,N/A,India
JPTSEC.BO,JPT Securities Ltd.,BSE,N/A,India
JPPOWER.NS,Jaiprakash Power Ventures Limited,NSI,Diversified Utilities,India
JPPOWER.BO,Jaiprakash Power Ventures Limited,BSE,N/A,India
JPOLYINVST.NS,Jindal Poly Investment and Finance Company Limited,NSI,Asset Management,India
JPINFRATEC.BO,Jaypee Infratech Limited,BSE,N/A,India
JKTYRE.NS,JK Tyre & Industries Limited,NSI,N/A,India
JKPAPER.NS,JK Paper Limited,NSI,Paper & Paper Products,India
JISLDVREQS.NS,Jain Irrigation Systems Limited,NSI,Farm & Construction Machinery,India
JINDCOT.NS,Jindal Cotex Limited,NSI,Textile Industrial,India
JINDALSAW.NS,Jindal Saw Limited,NSI,Steel & Iron,India
JETKINGQ.BO,Jetking Infotrain Limited,BSE,N/A,India
JETAIRWAYS.BO,Jet Airways (India) Ltd.,BSE,N/A,India
JCTLTD.BO,JCT Ltd.,BSE,N/A,India
JBFIND.NS,JBF Industries Limited,NSI,Textile Industrial,India
JAMESWARREN.BO,JAMES WARREN TEA LTD,BSE,N/A,India
JAIHINDPRO.NS,Jaihind Projects Limited,NSI,General Contractors,India
JAGSONFI.BO,Jagsonpal Finance & Leasing Ltd,BSE,N/A,India
JAGRAN.NS,Jagran Prakashan Limited,NSI,Publishing - Newspapers,India
JMFINANCIL-EQ.NS,JM FINANCIAL INR1,NSI,N/A,India
DIVYAJYQ.BO,Divya Jyoti Industries Ltd,BSE,N/A,India
BJDUP.BO,B.J.DUPLEX BOARDS LTD.,BSE,N/A,India
JAGSNPHARM-EQ.NS,JAGSONPAL PHARMACE INR5,NSI,N/A,India
JAMNAAUTO.NS,Jamna Auto Industries Limited,NSI,Auto Parts,India
JAICORPLTD.NS,Jai Corp Limited,NSI,Rubber & Plastics,India
JAIMI.BO,JAI MATA INDUSTRIES LTD.,BSE,N/A,India
JMA.NS,Jullundur Motor Agency (Delhi) Limited,NSI,Auto Parts,India
JYOTISTRUC-EQ.NS,JYOTI STRUCTURES INR2,NSI,N/A,India
JYOTIRES.BO,Jyoti Resins & Adhesives Ltd.,BSE,N/A,India
JUPITERIN.BO,JUPITER INFOMEDIA LTD.,BSE,N/A,India
JENSONICOL.BO,JENSON & NICHOLSON (INDIA) LTD,BSE,N/A,India
JKLAKBBPH.BO,JKLAKSHMI*,BSE,N/A,India
JUSTDIAL.NS,Just Dial Limited,NSI,N/A,India
JARITEX.BO,Kintech Renewables Limited,BSE,N/A,India
JAYENGY.BO,JAY ENERGY AND S.ENERGIES LTD.,BSE,N/A,India
JKIL.NS,J. Kumar Infraprojects Limited,NSI,General Contractors,India
JAYATMA.BO,Jayatma Spinners Limited,BSE,N/A,India
JAYAMEL.BO,Jayant Mercantile Co. Ltd.,BSE,N/A,India
RJBIOTECH.BO,R J BIO-TECH LTD,BSE,N/A,India
JINDWORLD.BO,JINDAL WORLDWIDE LTD.,BSE,N/A,India
J&KBANK.NS,The Jammu and Kashmir Bank Limited,NSI,Money Center Banks,India
JINDALSTEL.BO,JINDAL STEEL & POWER LTD.,BSE,N/A,India
JINDALPOLY.BO,JINDAL POLY FILMS LTD.,BSE,N/A,India
JPASSOCIAT.BO,JAIPRAKASH ASSOCIATES LTD.,BSE,N/A,India
JINDONL.BO,Kashyap Tele-Medicines Limited,BSE,N/A,India
JAGPRO.BO,VERONICA PRODUCTION LTD,BSE,N/A,India
JUSTDIAL-EQ.NS,JUST DIAL LTD INR10,NSI,N/A,India
JISLDVREQS.BO,JAIN IRRIGATION SYSTEMS LTD.,BSE,N/A,India
JPASSOCIAT6.BO,JPASSOCIAT6.BO,BSE,N/A,India
JSTL.BO,Jeevan Scientific Technology L,BSE,N/A,India
JKAGRI.BO,Florence Investech Limited,BSE,N/A,India
J&KBANK-EQ.NS,THE JAMMU & KASHMIR BANK LIMITE,NSI,N/A,India
JAMEHOT.BO,James Hotels Ltd,BSE,N/A,India
JETINFRA.BO,Jet Infraventure Limited,BSE,N/A,India
JINDALSAW.BO,JINDAL SAW LTD.,BSE,N/A,India
JAMNAAUTO-EQ.NS,JAMNA AUTO INDUSTRIES LIMITED,NSI,N/A,India
JSWSTEEL-P2.NS,JSW STEEL LTD 0.01% PRF 15/03/1,NSI,N/A,India
JENBURPH.BO,Jenburkt Pharmaceuticals Ltd.,BSE,N/A,India
CJGEL.BO,C.J. Gelatine Products Ltd.,BSE,N/A,India
JCTEL-EQ.NS,JCT ELECTRONICS INR1.00,NSI,N/A,India
JLMORI.BO,J. L. Morison (India) Limited,BSE,N/A,India
PCJEWELLER.NS,PC Jeweller Limited,NSI,Jewelry Stores,India
JATTAINDUS.BO,JATTASHANKAR INDUSTIES LTD.,BSE,N/A,India
JSWHL-EQ.NS,JSW HOLDINGS LIMIT INR10,NSI,N/A,India
JAYKAY.BO,JAYKAY ENTERPRISES LTD.,BSE,N/A,India
JSL.BO,Jindal Stainless Limited,BSE,N/A,India
JAYSYN.BO,Jaysynth Dyestuff India Ltd.,BSE,N/A,India
JMCPROJECT.BO,JMC PROJECTS (INDIA) LTD.,BSE,N/A,India
JTLINFRA.BO,JTL INFRA LTD.,BSE,N/A,India
NARBADA.BO,Narbada Gems And Jewellery Ltd,BSE,N/A,India
TARAJEWELS.NS,Tara Jewels Limited,NSI,Jewelry Stores,India
JAYUSH.BO,Jay Ushin Limited,BSE,N/A,India
JSWENERGY.NS,JSW Energy Limited,NSI,Diversified Utilities,India
JAYNECOIND-EQ.NS,JAYASWAL NECO IND INR10,NSI,N/A,India
JUMBO.BO,JUMBO BAG LTD.,BSE,N/A,India
SAIJEEV.BO,SAI JEEVADHARA FINANCE LIMITED,BSE,N/A,India
JUMBFNL.BO,JUMBO FINANCE LTD.,BSE,N/A,India
JBFIND.BO,JBF Industries Limited,BSE,N/A,India
JKCEMENT.NS,J.K. Cement Limited,NSI,General Building Materials,India
JUMBO-BZ.NS,JUMBO-BZ.NS,NSI,N/A,India
JKPAPER-EQ.NS,JK PAPER LIMITED,NSI,N/A,India
JINDHOT.BO,Jindal Hotels Ltd,BSE,N/A,India
JSL6.BO,JSL6.BO,BSE,N/A,India
JUNIORBEES.NS,Goldman Sachs Junior BeES ETF,NSI,N/A,India
JAGSONAI.BO,Jagson Airlines Ltd.,BSE,N/A,India
JINDCOT-EQ.NS,JINDAL COTEX LIMITED,NSI,N/A,India
JAICORPLTD6.BO,JAICORPLTD6.BO,BSE,N/A,India
AJBRO.BO,A.J.BROTHERS LTD.,BSE,N/A,India
JIKIND.BO,JIK INDUSTRIES LTD.,BSE,N/A,India
LYPSAGEMS.BO,LYPSA GEMS & JEWELLERY LTD,BSE,N/A,India
JOSTS.BO,Josts Engineering Company Ltd,BSE,N/A,India
JINDALPHOT.NS,Jindal Photo Limited,NSI,"Recreational Goods, Other",India
JAIBALAJI-EQ.NS,JAI BALAJI INDUSTRIES LIMITED,NSI,N/A,India
JAIHINDS.BO,Jaihind Synthetics Limited,BSE,N/A,India
AJIL.BO,ATLAS JEWELLERY INDIA LIMITED,BSE,N/A,India
JKTYRE.BO,JK TYRE & INDUSTRIES LTD.,BSE,N/A,India
JAGSNPHARM.BO,JAGSONPAL PHARMACEUTICALS LTD.,BSE,N/A,India
JMDTELEFILM.BO,JMD Ventures Limited,BSE,N/A,India
JAYBARMARU.BO,JAY BHARAT MARUTI LTD.,BSE,N/A,India
JAGDAMD.BO,JAGDAMD.BO,BSE,N/A,India
JOYREALTY.BO,Joy Realty Ltd,BSE,N/A,India
JMPCAST.BO,JMP CASTINGS LTD.,BSE,N/A,India
