Ticker,Name,Exchange,Category Name,Country
AALI.JK,PT Astra Agro Lestari Tbk,JKT,N/A,Indonesia
ANTM.JK,Perusahaan Perseroan (Persero) PT Aneka Tambang Tbk,JKT,N/A,Indonesia
ASII.JK,PT Astra International Tbk,JKT,N/A,Indonesia
AKRA.JK,PT AKR Corporindo Tbk,JKT,N/A,Indonesia
BBCA.JK,PT Bank Central Asia Tbk,JKT,N/A,Indonesia
APIC.JK,PT Pacific Strategic Financial Tbk,JKT,N/A,Indonesia
ADMF.JK,PT Adira Dinamika Multi Finance Tbk,JKT,N/A,Indonesia
ADHI.JK,PT Adhi Karya (Persero) Tbk,JKT,N/A,Indonesia
ADES.JK,PT Akasha Wira International Tbk,JKT,N/A,Indonesia
INPC.JK,PT Bank Artha Graha Internasional Tbk,JKT,N/A,Indonesia
APLN.JK,PT Agung Podomoro Land Tbk,JKT,N/A,Indonesia
ADRO.JK,PT Adaro Energy Tbk,JKT,N/A,Indonesia
PTBA.JK,PT Bukit Asam (Persero) Tbk,JKT,N/A,Indonesia
BNII.JK,PT Bank Maybank Indonesia Tbk,JKT,N/A,Indonesia
BNGA.JK,PT Bank CIMB Niaga Tbk,JKT,N/A,Indonesia
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk,JKT,N/A,Indonesia
MAYA.JK,PT Bank Mayapada Internasional Tbk,JKT,N/A,Indonesia
BNLI.JK,PT Bank Permata Tbk,JKT,N/A,Indonesia
SDRA.JK,PT Bank Woori Saudara Indonesia 1906 Tbk,JKT,N/A,Indonesia
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk,JKT,N/A,Indonesia
BMRI.JK,PT Bank Mandiri (Persero) Tbk,JKT,N/A,Indonesia
BFIN.JK,PT BFI Finance Indonesia Tbk,JKT,N/A,Indonesia
PNBN.JK,P.T. Bank Pan Indonesia Tbk,JKT,N/A,Indonesia
BKSW.JK,PT Bank QNB Indonesia Tbk,JKT,N/A,Indonesia
BCAP.JK,PT MNC Kapital Indonesia Tbk,JKT,N/A,Indonesia
BJBR.JK,PT Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,JKT,N/A,Indonesia
NISP.JK,PT Bank OCBC NISP Tbk,JKT,N/A,Indonesia
BSDE.JK,PT Bumi Serpong Damai Tbk,JKT,N/A,Indonesia
BRMS.JK,PT Bumi Resources Minerals Tbk,JKT,N/A,Indonesia
BKSL.JK,PT Sentul City Tbk,JKT,N/A,Indonesia
BDMN.JK,PT Bank Danamon Indonesia Tbk,JKT,N/A,Indonesia
BABP.JK,PT Bank MNC Internasional Tbk,JKT,N/A,Indonesia
MEGA.JK,PT Bank Mega Tbk,JKT,N/A,Indonesia
DSFI.JK,PT Dharma Samudera Fishing Industries Tbk,JKT,N/A,Indonesia
ELTY.JK,PT Bakrieland Development Tbk,JKT,N/A,Indonesia
ABDA.JK,PT Asuransi Bina Dana Arta Tbk,JKT,N/A,Indonesia
SMDM.JK,PT Suryamas Dutamakmur Tbk,JKT,N/A,Indonesia
PDES.JK,PT Destinasi Tirta Nusantara Tbk,JKT,N/A,Indonesia
LPPF.JK,PT Matahari Department Store Tbk,JKT,N/A,Indonesia
MEDC.JK,PT Medco Energi Internasional Tbk,JKT,N/A,Indonesia
ERAA.JK,PT Erajaya Swasembada Tbk,JKT,N/A,Indonesia
MTDL.JK,P.T. Metrodata Electronics Tbk,JKT,N/A,Indonesia
ENRG.JK,PT Energi Mega Persada Tbk,JKT,N/A,Indonesia
KLBF.JK,PT Kalbe Farma Tbk.,JKT,N/A,Indonesia
PNLF.JK,PT Panin Financial Tbk,JKT,N/A,Indonesia
CFIN.JK,PT. Clipan Finance Indonesia Tbk,JKT,N/A,Indonesia
KBLV.JK,PT First Media Tbk,JKT,N/A,Indonesia
FORU.JK,"PT Fortune Indonesia, Tbk",JKT,N/A,Indonesia
KAEF.JK,PT Kimia Farma (Persero) Tbk,JKT,N/A,Indonesia
AISA.JK,PT Tiga Pilar Sejahtera Food Tbk,JKT,N/A,Indonesia
GIAA.JK,PT. Garuda Indonesia (Persero) Tbk,JKT,N/A,Indonesia
KREN.JK,PT Kresna Graha Investama Tbk,JKT,N/A,Indonesia
BMTR.JK,PT. Global Mediacom Tbk,JKT,N/A,Indonesia
SULI.JK,PT SLJ Global Tbk,JKT,N/A,Indonesia
PGAS.JK,PT Perusahaan Gas Negara (Persero) Tbk,JKT,N/A,Indonesia
SILO.JK,PT Siloam International Hospitals Tbk,JKT,N/A,Indonesia
MYRX.JK,PT Hanson International Tbk,JKT,N/A,Indonesia
HERO.JK,PT Hero Supermarket Tbk,JKT,N/A,Indonesia
AHAP.JK,PT Asuransi Harta Aman Pratama Tbk,JKT,N/A,Indonesia
ACES.JK,PT Ace Hardware Indonesia Tbk,JKT,N/A,Indonesia
YPAS.JK,PT Yanaprima Hastapersada Tbk,JKT,N/A,Indonesia
SMCB.JK,PT Holcim Indonesia Tbk,JKT,N/A,Indonesia
JSMR.JK,Pt Jasa Marga (Persero) Tbk,JKT,N/A,Indonesia
JPRS.JK,PT Jaya Pari Steel Tbk,JKT,N/A,Indonesia
JKON.JK,PT Jaya Konstruksi Manggala Pratama Tbk,JKT,N/A,Indonesia
JPFA.JK,PT Japfa Comfeed Indonesia tbk,JKT,N/A,Indonesia
PSAB.JK,PT J Resources Asia Pasifik Tbk,JKT,N/A,Indonesia
PJAA.JK,PT Pembangunan Jaya Ancol Tbk,JKT,N/A,Indonesia
JSPT.JK,PT Jakarta Setiabudi Internasional Tbk,JKT,N/A,Indonesia
JKSW.JK,PT. Jakarta Kyoei Steel Works Tbk,JKT,N/A,Indonesia
