Ticker,Name,Exchange,Category Name,Country
AIB.IR,AIB.IR,ISE,N/A,Ireland
DQ5.IR,CPL Resources plc,ISE,N/A,Ireland
JEV.IR,JEV.IR,ISE,N/A,Ireland
IRES.IR,Irish Residential Properties REIT plc,ISE,N/A,Ireland
MSTY.IR,Mainstay Medical International plc,ISE,N/A,Ireland
SK3.IR,Smurfit Kappa Group plc,ISE,N/A,Ireland
KRZ.IR,Kerry Group plc,ISE,N/A,Ireland
FAC.IR,Falcon Oil & Gas Ltd.,ISE,N/A,Ireland
BIR.IR,BANK OF IRELAND ORD STK EUR0.05,ISE,N/A,Ireland
ORQ.IR,Ormonde Mining plc,ISE,N/A,Ireland
T7O.IR,Total Produce plc,ISE,N/A,Ireland
MLC.IR,Malin Corporation plc,ISE,N/A,Ireland
APGN.IR,Applegreen Plc,ISE,N/A,Ireland
HSW.IR,Hostelworld Group Plc,ISE,N/A,Ireland
YZA.IR,ARYZTA AG,ISE,N/A,Ireland
AIB1.IR,"Allied Irish Banks, p.l.c.",ISE,N/A,Ireland
RY4C.IR,Ryanair Holdings plc,ISE,N/A,Ireland
ZAZ.IR,zamano plc,ISE,N/A,Ireland
FKV1.IR,Conroy Gold and Natural Resources plc,ISE,N/A,Ireland
DOY.IR,Abbey plc,ISE,N/A,Ireland
DOP.IR,Aminex plc,ISE,N/A,Ireland
PPB.IR,Paddy Power Betfair plc,ISE,N/A,Ireland
DD7E.IR,Bank Of Ireland Group plc,ISE,N/A,Ireland
DD7D.IR,Bank Of Ireland Group plc,ISE,N/A,Ireland
GN1.IR,Green REIT plc,ISE,N/A,Ireland
CRG.IR,CRH plc,ISE,N/A,Ireland
CRO.IR,Venn Life Sciences Holdings plc,ISE,N/A,Ireland
DD8B.IR,CRH plc,ISE,N/A,Ireland
DD8A.IR,CRH plc,ISE,N/A,Ireland
DLE.IR,Datalex plc,ISE,N/A,Ireland
DHG.IR,Dalata Hotel Group plc,ISE,N/A,Ireland
WLG.IR,WIRELESS GROUP PLC ORD GBP0.07,ISE,N/A,Ireland
KJY.IR,Karelian Diamond Resources PLC,ISE,N/A,Ireland
DQ7.IR,Donegal Investment Group plc,ISE,N/A,Ireland
EG7.IR,FBD Holdings plc,ISE,N/A,Ireland
EG5A.IR,"PETROCELTIC INTL EO-,3125",ISE,N/A,Ireland
FQ3.IR,FYFFES ORD EUR0.06,ISE,N/A,Ireland
GAME.IR,GAN plc,ISE,N/A,Ireland
GCC.IR,C&C Group plc,ISE,N/A,Ireland
HBRN.IR,Hibernia REIT plc,ISE,N/A,Ireland
GL9.IR,Glanbia plc,ISE,N/A,Ireland
OVXA.IR,Ovoca Gold plc,ISE,N/A,Ireland
GYQ.IR,First Derivatives plc,ISE,N/A,Ireland
P8ET.IR,PetroNeft Resources plc,ISE,N/A,Ireland
IPDC.IR,Independent News & Media plc,ISE,N/A,Ireland
3MP.IR,3MP.IR,ISE,N/A,Ireland
KRX.IR,Kingspan Group plc,ISE,N/A,Ireland
8GW.IR,Great Western Mining Corporation PLC,ISE,N/A,Ireland
OIZ.IR,Origin Enterprises Plc,ISE,N/A,Ireland
PZQA.IR,Providence Resources Plc,ISE,N/A,Ireland
IL0A.IR,Permanent TSB Group Holdings plc,ISE,N/A,Ireland
IJG.IR,IFG Group plc,ISE,N/A,Ireland
IR5B.IR,Irish Continental Group plc,ISE,N/A,Ireland
MIO.IR,Mincon Group Plc,ISE,N/A,Ireland
TQW.IR,Tullow Oil plc,ISE,N/A,Ireland
