Ticker,Name,Exchange,Category Name,Country
DLEKG.TA,Delek Group Ltd.,TLV,N/A,Israel
ESLT.TA,Elbit Systems Ltd.,TLV,N/A,Israel
EZCH.TA,EZchip Semiconductor Ltd.,TLV,N/A,Israel
EVGN.TA,Evogene Ltd.,TLV,N/A,Israel
ELTR.TA,Electra Ltd,TLV,N/A,Israel
AVNR-L.TA,Avner Oil Exploration - Limited Partnership,TLV,N/A,Israel
FRUT.TA,Frutarom Industries Ltd.,TLV,N/A,Israel
JOEL.TA,J.O.E.L. Jerusalem Oil Exploration Ltd.,TLV,N/A,Israel
JBKT.TA,Jobookit Holdings Ltd.,TLV,N/A,Israel
JBNK.TA,Bank of Jerusalem Ltd.,TLV,N/A,Israel
KMDA.TA,Kamada Ltd.,TLV,N/A,Israel
KTOV.TA,Kitov Pharmaceuticals Holdings Ltd.,TLV,N/A,Israel
KRUR.TA,Kerur Holdings Ltd.,TLV,N/A,Israel
KNFM.TA,Knafaim Holdings Ltd.,TLV,N/A,Israel
KETR.TA,Keter Publishing House Ltd.,TLV,N/A,Israel
TEVA.TA,Teva Pharmaceutical Industries Limited,TLV,N/A,Israel
SCIX.TA,"Scailex Corp., Ltd.",TLV,N/A,Israel
ICL.TA,Israel Chemicals Ltd.,TLV,N/A,Israel
BLRX.TA,BioLine Rx Ltd,TLV,N/A,Israel
UNON.TA,Union Bank of Israel Ltd.,TLV,N/A,Israel
MZTF.TA,Mizrahi Tefahot Bank Ltd.,TLV,N/A,Israel
MZOR.TA,Mazor Robotics Ltd.,TLV,N/A,Israel
NFTA.TA,Naphtha Israel Petroleum Corp. Ltd.,TLV,N/A,Israel
SPNS.TA,Sapiens International Corporation N.V.,TLV,N/A,Israel
NVMI.TA,Nova Measuring Instruments Ltd.,TLV,N/A,Israel
NTO.TA,Neto M.E Holdings Ltd.,TLV,N/A,Israel
NISA.TA,Nissan Medical Industries Ltd.,TLV,N/A,Israel
NFEX-L.TA,Naphtha Exploration LP,TLV,N/A,Israel
ORL.TA,Oil Refineries Ltd.,TLV,N/A,Israel
ORAD.TA,Orad Ltd.,TLV,N/A,Israel
GIVO-L.TA,GIVOT OLAM OIL EXP ILS1,TLV,N/A,Israel
QNCO.TA,Y.Z. Queenco Ltd.,TLV,N/A,Israel
QLTU.TA,Qualitau Ltd.,TLV,N/A,Israel
RMLI.TA,Rami Levi Chain Stores Hashikma Marketing 2006 Ltd,TLV,N/A,Israel
PLX.TA,"Protalix BioTherapeutics, Inc.",TLV,N/A,Israel
MNKD.TA,MannKind Corporation,TLV,N/A,Israel
LPSN.TA,"LivePerson, Inc.",TLV,N/A,Israel
DRCN.TA,U. Dori Construction Ltd.,TLV,N/A,Israel
VISN.TA,Vision Sigma Ltd.,TLV,N/A,Israel
VILR.TA,Villar International Ltd.,TLV,N/A,Israel
VTNA.TA,Vitania Ltd.,TLV,N/A,Israel
WTS.TA,B.H. Whitestone Group Ltd.,TLV,N/A,Israel
WIZP.TA,Wize Pharma Ltd,TLV,N/A,Israel
XENA.TA,Xenia Venture Capital Ltd,TLV,N/A,Israel
XTLB.TA,XTL Biopharmaceuticals Ltd.,TLV,N/A,Israel
KRYT.TA,Kardan Yazamut (2011) Ltd.,TLV,N/A,Israel
YBOX.TA,Ybox Real Estate Ltd.,TLV,N/A,Israel
SEFA.TA,Shefa Yamim Ltd.,TLV,N/A,Israel
SRFT.TA,Zvi Sarfati & Sons Investments & Constructions Ltd.,TLV,N/A,Israel
ZNKL.TA,Zanlakol Ltd,TLV,N/A,Israel
ZRAH-L.TA,ZERAH OIL & GAZ ILS1,TLV,N/A,Israel
ZMH.TA,Zemach Hammerman Ltd.,TLV,N/A,Israel
ZUR.TA,Zur Shamir Holdings Ltd.,TLV,N/A,Israel
ABTR.TA,Abetrans Logistics Ltd,TLV,N/A,Israel
ABIL.TA,Ability Inc.,TLV,N/A,Israel
ALD.TA,A.L.D. Advanced Logistics Developments Ltd.,TLV,N/A,Israel
ADO.TA,A.D.O. Group Ltd.,TLV,N/A,Israel
ADN.TA,A.D.N Global Equity Ltd.,TLV,N/A,Israel
ADGR.TA,Adgar Investments and Development Limited,TLV,N/A,Israel
