Ticker,Name,Exchange,Category Name,Country
AZM.MI,Azimut Holding S.p.A.,MIL,Asset Management,Italy
AST.MI,Astaldi S.p.A.,MIL,General Contractors,Italy
AE.MI,Aedes SIIQ S.p.A.,MIL,Real Estate Development,Italy
A2A.MI,A2A S.p.A.,MIL,Diversified Utilities,Italy
BMPS.MI,Banca Monte dei Paschi di Siena S.p.A.,MIL,N/A,Italy
UBI.MI,Unione di Banche Italiane S.p.A.,MIL,Money Center Banks,Italy
PMI.MI,Banca Popolare di Milano Scarl,MIL,N/A,Italy
BZU.MI,Buzzi Unicem SpA,MIL,General Building Materials,Italy
EOAN.MI,E.ON SE,MIL,Diversified Utilities,Italy
DNN.MI,Danone,MIL,Food - Major Diversified,Italy
DMN.MI,Damiani S.p.A.,MIL,Jewelry Stores,Italy
DAL.MI,Datalogic S.p.A.,MIL,Diversified Electronics,Italy
SPO.MI,BCA POP DI SPOLETO,MIL,N/A,Italy
SIE.MI,Siemens Aktiengesellschaft,MIL,Diversified Machinery,Italy
SAP.MI,SAP SE,MIL,Technical & System Software,Italy
DBK.MI,Deutsche Bank Aktiengesellschaft,MIL,Money Center Banks,Italy
DAI.MI,Daimler AG,MIL,Auto Manufacturers - Major,Italy
CPR.MI,Davide Campari-Milano S.p.A.,MIL,Beverages - Wineries & Distillers,Italy
BPSO.MI,Banca Popolare di Sondrio S.C.p.A.,MIL,Money Center Banks,Italy
BIM.MI,Banca Intermobiliare di Investimenti e Gestioni SpA,MIL,Money Center Banks,Italy
ALV.MI,Allianz SE,MIL,Property & Casualty Insurance,Italy
TKAG-U.TI,THYSSENKRUPP,TLO,N/A,Italy
TAS.MI,TAS Tecnologia Avanzata dei Sistemi S.p.A.,MIL,Business Software & Services,Italy
PEL.MI,Banca Popolare dell'Etruria e del Lazio - SocietÃ Cooperativa,MIL,N/A,Italy
MUV2.MI,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft,MIL,Property & Casualty Insurance,Italy
MEOG-U.TI,CECONOMY,TLO,N/A,Italy
LD.MI,La Doria SpA,MIL,Food - Major Diversified,Italy
ENEL.MI,Enel SpA,MIL,Diversified Utilities,Italy
MN.MI,Arnoldo Mondadori Editore S.p.A.,MIL,Publishing - Newspapers,Italy
EXO.MI,Exor N.V.,MIL,Asset Management,Italy
CED.MI,Caltagirone Editore SpA,MIL,Publishing - Newspapers,Italy
BPE.MI,BPER Banca S.p.A.,MIL,Money Center Banks,Italy
PRT.MI,Esprinet S.p.A.,MIL,Electronics Wholesale,Italy
FILA.MI,F.I.L.A. - Fabbrica Italiana Lapis ed Affini S.p.A.,MIL,Business Equipment,Italy
FDE.MI,Frendy Energy S.p.A.,MIL,Diversified Utilities,Italy
EUK.MI,EuKedos S.p.A.,MIL,Medical Appliances & Equipment,Italy
ERG.MI,ERG S.p.A.,MIL,Major Integrated Oil & Gas,Italy
ENI.MI,Eni S.p.A.,MIL,Major Integrated Oil & Gas,Italy
EGPW.MI,Enel Green Power S.p.A.,MIL,N/A,Italy
VITA.MI,Vita Società Editoriale S.p.A.,MIL,N/A,Italy
TOT.MI,TOTAL S.A.,MIL,Major Integrated Oil & Gas,Italy
FNC.MI,Leonardo - Finmeccanica S.p.a.,MIL,N/A,Italy
VIV.MI,Vivendi SA,MIL,Broadcasting - TV,Italy
MTF.MI,Mondo Tv France Société Anonyme,MIL,Entertainment - Diversified,Italy
JUVE.MI,Juventus Football Club S.p.A.,MIL,"Recreational Goods, Other",Italy
FDA.MI,Fidia S.p.A.,MIL,Diversified Machinery,Italy
ALU.MI,Alcatel-Lucent,MIL,N/A,Italy
G.MI,Assicurazioni Generali S.p.A.,MIL,Property & Casualty Insurance,Italy
LUX.MI,Luxottica Group S.p.A.,MIL,Apparel Stores,Italy
GSP.MI,Gas Plus S.p.A.,MIL,Gas Utilities,Italy
NRST.MI,Neurosoft Software Production S.A.,MIL,Business Software & Services,Italy
HER.MI,Hera S.p.A.,MIL,Diversified Utilities,Italy
CEM.MI,Cementir Holding S.p.A.,MIL,General Building Materials,Italy
ANIM.MI,Anima Holding S.p.A,MIL,Asset Management,Italy
JNPR-U.TI,JUNIPER NETWORKS,TLO,N/A,Italy
KI.MI,Ki Group S.p.A.,MIL,Farm Products,Italy
MSK.MI,Moleskine SpA,MIL,N/A,Italy
MB.MI,Mediobanca Banca di Credito Finanziario S.p.A.,MIL,Money Center Banks,Italy
RCS.MI,RCS MediaGroup S.p.A.,MIL,Publishing - Newspapers,Italy
MT.MI,Maire Tecnimont S.p.A.,MIL,General Contractors,Italy
MARR.MI,MARR S.p.A.,MIL,Food Wholesale,Italy
MONC.MI,Moncler S.p.A.,MIL,Textile - Apparel Clothing,Italy
MOL.MI,Gruppo MutuiOnline S.p.A,MIL,Business Services,Italy
M7IT.MI,MP7 Italia S.p.A.,MIL,N/A,Italy
CNHI.MI,CNH Industrial N.V.,MIL,Farm & Construction Machinery,Italy
NICE.MI,Nice S.p.A.,MIL,Electronic Equipment,Italy
STM.MI,STMicroelectronics N.V.,MIL,Semiconductor - Broad Line,Italy
PHIA.MI,Koninklijke Philips N.V.,MIL,Diversified Machinery,Italy
NET.MI,Net Insurance S.p.A.,MIL,Property & Casualty Insurance,Italy
NESN-U.TI,NESTLE,TLO,N/A,Italy
RACE.MI,Ferrari N.V.,MIL,N/A,Italy
NR.MI,Nova Re SIIQ S.p.A.,MIL,Real Estate Development,Italy
NOK1V.TI,NOKIA,TLO,N/A,Italy
S24.MI,Il Sole 24 ORE S.p.A.,MIL,Publishing - Newspapers,Italy
ORA.MI,Orange S.A.,MIL,N/A,Italy
ORA-U.TI,ORACLE,TLO,N/A,Italy
ON.MI,Bio-on S.p.A.,MIL,Specialty Chemicals,Italy
DANR.MI,Danieli & C. Officine Meccaniche S.p.A.,MIL,Diversified Machinery,Italy
OSR-U.TI,OSRAM LICHT,TLO,N/A,Italy
PRY.MI,Prysmian S.p.A.,MIL,Communication Equipment,Italy
POPR.MI,Poligrafici Printing S.p.A.,MIL,Publishing - Newspapers,Italy
PLT.MI,Parmalat S.p.A.,MIL,Food Wholesale,Italy
PC.MI,PIRELLI & C. SocietÃ per Azioni,MIL,N/A,Italy
QC-U.TI,QUALCOMM,TLO,N/A,Italy
REY.MI,Reply S.p.A.,MIL,Information Technology Services,Italy
TITR.MI,Telecom Italia S.p.A.,MIL,Wireless Communications,Italy
REC.MI,Recordati S.p.A.,MIL,Drug Manufacturers - Major,Italy
LR.MI,Landi Renzo S.p.A.,MIL,Auto Parts,Italy
