Ticker,Name,Exchange,Category Name,Country
GZE1R.RG,JSC Latvijas Gaze,RIS,N/A,Latvia
BRV1R.RG,AS Brivais vilnis,RIS,N/A,Latvia
LJM1R.RG,A/S Latvijas Juras medicinas centrs,RIS,N/A,Latvia
RJR1R.RG,AS Rigas Juvelierizstradajumu Rupnica,RIS,N/A,Latvia
GRZ1R.RG,Joint stock company Grobina,RIS,N/A,Latvia
GRD1R.RG,AS Grindeks,RIS,N/A,Latvia
VEF1R.RG,Joint stock company VEF,RIS,N/A,Latvia
SMA1R.RG,AS Pata Saldus,RIS,N/A,Latvia
VNF1R.RG,Joint Stock Company Ventspils nafta,RIS,N/A,Latvia
KA11R.RG,A/S Kurzemes Atslega 1,RIS,N/A,Latvia
SCM1R.RG,AS Siguldas Ciltslietu Un Maksligas Apseklosanas Stacija,RIS,N/A,Latvia
KCM1R.RG,A/s Kurzemes ciltslietu un maksligas apseklosanas stacija,RIS,N/A,Latvia
BAL1R.RG,Latvijas Balzams AS,RIS,N/A,Latvia
OLF1R.RG,AS Olainfarm,RIS,N/A,Latvia
TMA1R.RG,AS Talsu Mezrupnieciba,RIS,N/A,Latvia
VSS1R.RG,AS Valmieras stikla skiedra,RIS,N/A,Latvia
DPK1R.RG,AS Ditton Pievadkezu Rupnica,RIS,N/A,Latvia
LSC1R.RG,AS Latvijas Kugnieciba,RIS,N/A,Latvia
RKB1R.RG,Rigas Kugu Buvetava AS,RIS,N/A,Latvia
RER1R.RG,AS Rigas Elektromasinbuves rupnica,RIS,N/A,Latvia
BTE1R.RG,Baltic Telekom AS,RIS,N/A,Latvia
RRR1R.RG,AS VEF Radiotehnika RRR,RIS,N/A,Latvia
LOK1R.RG,AS Daugavpils Lokomotîvju Remonta Rûpnîca,RIS,N/A,Latvia
RAR1R.RG,AS Rigas autoelektroaparatu rupnica,RIS,N/A,Latvia
TKB1R.RG,AS Tosmares kugubuvetava,RIS,N/A,Latvia
LTT1R.RG,Latvijas Tilti,RIS,N/A,Latvia
SAF1R.RG,A/S SAF Tehnika,RIS,N/A,Latvia
