Ticker,Name,Exchange,Category Name,Country
LJL1L.VS,Akcine Bendrove Lietuvos juru laivininkyste,LIT,N/A,Lithuania
INL1L.VS,Public Joint - Stock Company INVL Baltic Farmland,LIT,N/A,Lithuania
ZMP1L.VS,AB Zemaitijos pienas,LIT,N/A,Lithuania
PZV1L.VS,"Pieno Zvaigzdes, AB",LIT,N/A,Lithuania
GUB1L.VS,AB Gubernija,LIT,N/A,Lithuania
DKR1L.VS,AB Dvarcioniu Keramika,LIT,N/A,Lithuania
INC1L.VS,AB INVL Technology,LIT,N/A,Lithuania
UTR1L.VS,AB Utenos Trikotazas,LIT,N/A,Lithuania
ESO1L.VS,Energijos Skirstymo Operatorius AB,LIT,N/A,Lithuania
SNG1L.VS,AB Snaige,LIT,N/A,Lithuania
LNR1L.VS,"Lietuvos energijos gamyba, AB",LIT,N/A,Lithuania
VLP1L.VS,AB Vilkyskiu pienine,LIT,N/A,Lithuania
LGD1L.VS,LITGRID AB,LIT,N/A,Lithuania
KNF1L.VS,AB Klaipedos nafta,LIT,N/A,Lithuania
PTR1L.VS,AB Panevezio Statybos Trestas,LIT,N/A,Lithuania
VBL1L.VS,Vilniaus Baldai AB,LIT,N/A,Lithuania
AVG1L.VS,Auga Group AB,LIT,N/A,Lithuania
KNR1L.VS,AB Kauno Energija,LIT,N/A,Lithuania
GRG1L.VS,Grigeo AB,LIT,N/A,Lithuania
IVL1L.VS,"Invalda INVL, AB",LIT,N/A,Lithuania
SAB1L.VS,Siauliu Bankas AB,LIT,N/A,Lithuania
VDG1L.VS,AB Vilniaus degtine,LIT,N/A,Lithuania
LNA1L.VS,AB Linas Agro Group,LIT,N/A,Lithuania
TEO1L.VS,"Telia Lietuva, AB",LIT,N/A,Lithuania
LNS1L.VS,AB Linas,LIT,N/A,Lithuania
AMG1L.VS,AB Amber Grid,LIT,N/A,Lithuania
RSU1L.VS,Rokiskio Suris AB,LIT,N/A,Lithuania
APG1L.VS,APB Apranga,LIT,N/A,Lithuania
CTS1L.VS,City Service SE,LIT,N/A,Lithuania
INR1L.VS,Public Joint - Stock Company INVL Baltic Real Estate,LIT,N/A,Lithuania
K2LT.VS,AB K2 LT,LIT,N/A,Lithuania
