Ticker,Name,Exchange,Category Name,Country
6599.KL,Aeon Co. (M) Bhd,KLS,N/A,Malaysia
5099.KL,AirAsia Berhad,KLS,N/A,Malaysia
7579.KL,AWC Berhad,KLS,N/A,Malaysia
7162.KL,Astino Berhad,KLS,N/A,Malaysia
6432.KL,Apollo Food Holdings Berhad,KLS,N/A,Malaysia
5014.KL,Malaysia Airports Holdings Bhd,KLS,N/A,Malaysia
4162.KL,British American Tobacco Malaysia Bhd,KLS,N/A,Malaysia
6947.KL,DiGi.Com Berhad,KLS,N/A,Malaysia
1023.KL,CIMB Group Holdings Berhad,KLS,N/A,Malaysia
6012.KL,Maxis Berhad,KLS,N/A,Malaysia
1066.KL,RHB Capital Berhad,KLS,N/A,Malaysia
7113.KL,Top Glove Corporation Berhad,KLS,N/A,Malaysia
7052.KL,Padini Holdings Berhad,KLS,N/A,Malaysia
5347.KL,Tenaga Nasional Berhad,KLS,N/A,Malaysia
5101.KL,Evergreen Fibreboard Bhd,KLS,N/A,Malaysia
4707.KL,Nestlé (Malaysia) Berhad,KLS,N/A,Malaysia
1295.KL,Public Bank Berhad,KLS,N/A,Malaysia
1155.KL,Malayan Banking Berhad,KLS,N/A,Malaysia
7164.KL,KNM Group Bhd,KLS,N/A,Malaysia
5218.KL,SapuraKencana Petroleum Berhad,KLS,N/A,Malaysia
2445.KL,Kuala Lumpur Kepong Berhad,KLS,N/A,Malaysia
1619.KL,DRB-HICOM Berhad,KLS,N/A,Malaysia
1171.KL,Malaysia Building Society Bhd,KLS,N/A,Malaysia
5216.KL,Datasonic Group Berhad,KLS,N/A,Malaysia
7277.KL,Dialog Group Berhad,KLS,N/A,Malaysia
5141.KL,Dayang Enterprise Holdings Berhad,KLS,N/A,Malaysia
3026.KL,Dutch Lady Milk Industries Bhd,KLS,N/A,Malaysia
9806.KL,Nationwide Express Courier Services Berhad,KLS,N/A,Malaysia
7773.KL,EP Manufacturing Bhd,KLS,N/A,Malaysia
7206.KL,TH Heavy Engineering Berhad,KLS,N/A,Malaysia
7182.KL,EKA Noodles Berhad,KLS,N/A,Malaysia
5227.KL,IGB Real Estate Investment Trust,KLS,N/A,Malaysia
5176.KL,Sunway Real Estate Investment Trust,KLS,N/A,Malaysia
0820EA.KL,FTSE Bursa Malaysia KLCI ETF,KLS,N/A,Malaysia
0138.KL,MY E.G. SERVICES BHD,KLS,N/A,Malaysia
7107.KL,Oriental Food Industries Holdings Bhd,KLS,N/A,Malaysia
6939.KL,Fiamma Holdings Bhd,KLS,N/A,Malaysia
3689.KL,Fraser & Neave Holdings Bhd,KLS,N/A,Malaysia
3522.KL,Kian Joo Can Factory Bhd,KLS,N/A,Malaysia
0128.KL,FRONTKEN CORPORATION BHD,KLS,N/A,Malaysia
5398.KL,Gamuda Bhd,KLS,N/A,Malaysia
