Ticker,Name,Exchange,Category Name,Country
ASURB.MX,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",MEX,"Air Services, Other",Mexico
WALMEX.MX,"Wal-Mart de México, S.A.B. de C.V.",MEX,"Discount, Variety Stores",Mexico
MTN.MX,ArcelorMittal,MEX,N/A,Mexico
GOOG.MX,Alphabet Inc.,MEX,Internet Information Providers,Mexico
AMXL.MX,"América Móvil, S.A.B. de C.V.",MEX,Wireless Communications,Mexico
AAPL.MX,Apple Inc.,MEX,Electronic Equipment,Mexico
LALAB.MX,"Grupo Lala, S.A.B. de C.V.",MEX,Food - Major Diversified,Mexico
AZTECACPO.MX,TV Azteca SAB de CV,MEX,Broadcasting - TV,Mexico
ALFAA.MX,"Alfa, S. A. B. de C. V.",MEX,Specialty Chemicals,Mexico
ADSK.MX,"Autodesk, Inc.",MEX,Technical & System Software,Mexico
BIMBOA.MX,"Grupo Bimbo, S.A.B. de C.V.",MEX,Food - Major Diversified,Mexico
GRUMAB.MX,"Gruma, S.A.B. de C.V.",MEX,Food - Major Diversified,Mexico
FEMSAUBD.MX,"Fomento Económico Mexicano, S.A.B. de C.V.",MEX,Beverages - Soft Drinks,Mexico
DIS.MX,The Walt Disney Company,MEX,Entertainment - Diversified,Mexico
KOFL.MX,"Coca-Cola FEMSA, S.A.B. de C.V.",MEX,Beverages - Soft Drinks,Mexico
ELEKTRA.MX,"Grupo Elektra, S.A.B. de C.V.",MEX,Department Stores,Mexico
RDSB.MX,Royal Dutch Shell plc,MEX,Major Integrated Oil & Gas,Mexico
GMEXICOB.MX,"Grupo México, S.A.B. de C.V.",MEX,Industrial Metals & Minerals,Mexico
CEMEXCPO.MX,"CEMEX, S.A.B. de C.V.",MEX,General Building Materials,Mexico
RDSA.MX,Royal Dutch Shell plc,MEX,Major Integrated Oil & Gas,Mexico
PINFRA.MX,"Promotora y Operadora de Infraestructura, S. A. B. de C. V.",MEX,General Contractors,Mexico
MEXCHEM.MX,"Mexichem, S.A.B. de C.V.",MEX,Chemicals - Major Diversified,Mexico
MASECAB.MX,"Grupo Industrial Maseca, SAB de CV",MEX,Food - Major Diversified,Mexico
LABB.MX,"Genomma Lab Internacional, S.A.B. de C.V.",MEX,Drugs - Generic,Mexico
ICHB.MX,"Industrias CH, S. A. B. de C. V.",MEX,Steel & Iron,Mexico
ICA.MX,"Empresas ICA, S.A.B. de C.V.",MEX,General Contractors,Mexico
HOMEX.MX,"Desarrolladora Homex, S.A.B. de C.V.",MEX,Residential Construction,Mexico
HERDEZ.MX,"Grupo Herdez, S.A.B. de C.V.",MEX,Food - Major Diversified,Mexico
HD.MX,"The Home Depot, Inc.",MEX,Home Improvement Stores,Mexico
GPH1.MX,"Grupo Palacio de Hierro, S.A.B. de C.V.",MEX,Department Stores,Mexico
GIGANTE.MX,"Grupo Gigante, S. A. B. de C. V.",MEX,"Discount, Variety Stores",Mexico
GBMO.MX,"Corporativo GBM, S.A.B. de C.V.",MEX,Investment Brokerage - National,Mexico
FIBRAMQ12.MX,FIBRA Macquarie México,MEX,REIT - Industrial,Mexico
CMOCTEZ.MX,"Corporación Moctezuma, S.A.B. de C.V.",MEX,General Building Materials,Mexico
CHDRAUIB.MX,"Grupo Comercial Chedraui, S.A.B. DE C.V.",MEX,Grocery Stores,Mexico
BAFARB.MX,"Grupo Bafar, S.A.B. de C.V.",MEX,Farm Products,Mexico
AMD.MX,"Advanced Micro Devices, Inc.",MEX,Semiconductor - Broad Line,Mexico
VALUEGFO.MX,Value Grupo Financiero SAB de CV,MEX,Investment Brokerage - National,Mexico
SIMECB.MX,"Grupo Simec, S.A.B. de C.V.",MEX,Steel & Iron,Mexico
SIEN.MX,Siemens Aktiengesellschaft,MEX,Diversified Machinery,Mexico
RCENTROA.MX,"Grupo Radio Centro, S.A.B. de C.V.",MEX,Broadcasting - Radio,Mexico
OMAB.MX,"Grupo Aeroportuario del Centro Norte, S. A. B. de C. V.",MEX,"Air Services, Other",Mexico
ODP.MX,"Office Depot, Inc.",MEX,"Specialty Retail, Other",Mexico
LIVEPOL1.MX,"El Puerto de Liverpool, SAB de CV",MEX,Department Stores,Mexico
INVEXA.MX,"INVEX Controladora, S.A.B. de C.V.",MEX,Investment Brokerage - National,Mexico
IDEALB-1.MX,"Impulsora del Desarrollo y el Empleo en América Latina, S.A.B. de C.V.",MEX,Heavy Construction,Mexico
HOGARB.MX,"Consorcio Hogar, S.A.B. de C.V.",MEX,N/A,Mexico
GMD.MX,"Grupo Mexicano de Desarrollo, S.A.B.",MEX,Heavy Construction,Mexico
GFNORTEO.MX,"Grupo Financiero Banorte, S.A.B. de C.V.",MEX,Money Center Banks,Mexico
GEOB.MX,Corporacion Geo SAB de CV,MEX,Residential Construction,Mexico
GCARSOA1.MX,"Grupo Carso, S.A.B. de C.V.",MEX,Department Stores,Mexico
FINN13.MX,Fibra Inn,MEX,REIT - Hotel/Motel,Mexico
FINAMEXO.MX,Casa de Bolsa Finamex S.A.B. de C.V.,MEX,Investment Brokerage - National,Mexico
NEMAKA.MX,"Nemak, S. A. B. de C. V.",MEX,Auto Parts,Mexico
XOM.MX,Exxon Mobil Corporation,MEX,Major Integrated Oil & Gas,Mexico
PRU.MX,"Prudential Financial, Inc.",MEX,Life Insurance,Mexico
FSLR.MX,"First Solar, Inc.",MEX,Diversified Utilities,Mexico
KHC.MX,The Kraft Heinz Company,MEX,Food - Major Diversified,Mexico
CVS.MX,CVS Health Corporation,MEX,Health Care Plans,Mexico
BHI.MX,"Baker Hughes, a GE company, LLC",MEX,N/A,Mexico
JPM.MX,JPMorgan Chase & Co.,MEX,Money Center Banks,Mexico
JNJ.MX,Johnson & Johnson,MEX,Drug Manufacturers - Major,Mexico
JCP.MX,"J. C. Penney Company, Inc.",MEX,Department Stores,Mexico
GLENN.MX,Glencore Plc,MEX,Industrial Metals & Minerals,Mexico
STJN.MX,St. James's Place plc,MEX,N/A,Mexico
JCI.MX,Johnson Controls International plc,MEX,N/A,Mexico
JAH.MX,Jarden Corp.,MEX,N/A,Mexico
DECN.MX,JCDecaux SA,MEX,N/A,Mexico
