Ticker,Name,Exchange,Category Name,Country
MT.AS,ArcelorMittal,AMS,Steel & Iron,Netherlands
ASML.AS,ASML Holding N.V.,AMS,Semiconductor Equipment & Materials,Netherlands
AH.AS,AHOLD KON,AMS,N/A,Netherlands
AGN.AS,AEGON N.V.,AMS,N/A,Netherlands
RDSA.AS,Royal Dutch Shell plc,AMS,Major Integrated Oil & Gas,Netherlands
DSM.AS,Koninklijke DSM N.V.,AMS,Specialty Chemicals,Netherlands
VWA.AS,Volkswagen Aktiengesellschaft,AMS,Auto Manufacturers - Major,Netherlands
SIA.AS,Siemens Aktiengesellschaft,AMS,Diversified Machinery,Netherlands
RDSB.AS,Royal Dutch Shell plc,AMS,Major Integrated Oil & Gas,Netherlands
PBD.AS,Probiodrug AG,AMS,N/A,Netherlands
MEURV.AS,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft,AMS,Property & Casualty Insurance,Netherlands
HUNDP.AS,Hunter Douglas N.V.,AMS,N/A,Netherlands
TNTE.AS,TNT EXPRESS,AMS,N/A,Netherlands
UL.AS,Unibail-Rodamco SE,AMS,REIT - Retail,Netherlands
TFG.AS,Tetragon Financial Group Limited,AMS,N/A,Netherlands
INGA.AS,ING Groep N.V.,AMS,Property & Casualty Insurance,Netherlands
PHARM.AS,Pharming Group N.V.,AMS,Biotechnology,Netherlands
GTO.AS,Gemalto N.V.,AMS,N/A,Netherlands
HEIA.AS,Heineken N.V.,AMS,Beverages - Brewers,Netherlands
YATRA.AS,Yatra Capital Limited,AMS,Real Estate Development,Netherlands
ATRS.AS,Atrium European Real Estate Limited,AMS,Real Estate Development,Netherlands
KPN.AS,Koninklijke KPN N.V.,AMS,Wireless Communications,Netherlands
WKL.AS,Wolters Kluwer N.V.,AMS,Publishing - Newspapers,Netherlands
KTC.AS,KTC.AS,AMS,N/A,Netherlands
VPK.AS,Koninklijke Vopak N.V.,AMS,N/A,Netherlands
BAMNB.AS,Koninklijke BAM Groep nv,AMS,N/A,Netherlands
KENDR.AS,Kendrion N.V.,AMS,Diversified Electronics,Netherlands
PHIA.AS,Koninklijke Philips N.V.,AMS,N/A,Netherlands
UNA.AS,Unilever N.V.,AMS,Personal Products,Netherlands
OCI.AS,OCI N.V.,AMS,N/A,Netherlands
USG.AS,USG PEOPLE,AMS,N/A,Netherlands
UNIA.AS,Unilever N.V.,AMS,Personal Products,Netherlands
SBMO.AS,SBM Offshore N.V.,AMS,Oil & Gas Equipment & Services,Netherlands
NSI.AS,NSI N.V.,AMS,REIT - Diversified,Netherlands
IM.AS,ROYAL IMTECH,AMS,N/A,Netherlands
CRBN.AS,Corbion N.V.,AMS,N/A,Netherlands
BOKA.AS,Royal Boskalis Westminster N.V.,AMS,General Contractors,Netherlands
ATC.AS,Altice N.V.,AMS,N/A,Netherlands
ARCAD.AS,ARCADIS NV,AMS,General Contractors,Netherlands
AKZA.AS,Akzo Nobel N.V.,AMS,Specialty Chemicals,Netherlands
WES.AS,Koninklijke Wessanen N.V.,AMS,N/A,Netherlands
TOM2.AS,TomTom N.V.,AMS,Scientific & Technical Instruments,Netherlands
