Ticker,Name,Exchange,Category Name,Country
WBC.NZ,Westpac Banking Corporation,NZE,Money Center Banks,New Zealand
ANZ.NZ,Australia and New Zealand Banking Group Limited,NZE,Money Center Banks,New Zealand
DIL.NZ,Diligent Corporation,NZE,N/A,New Zealand
SDL.NZ,Solution Dynamics Limited,NZE,Business Services,New Zealand
IFT200.NZ,Infratil Limited,NZE,N/A,New Zealand
TME.NZ,Trade Me Group Limited,NZE,Internet Information Providers,New Zealand
SKL.NZ,Skellerup Holdings Limited,NZE,Rubber & Plastics,New Zealand
IFT.NZ,Infratil Limited,NZE,Electric Utilities,New Zealand
TRU.NZ,TruScreen Limited,NZE,Medical Appliances & Equipment,New Zealand
SKO.NZ,Serko Limited,NZE,Business Software & Services,New Zealand
SKC.NZ,SKYCITY Entertainment Group Limited,NZE,Resorts & Casinos,New Zealand
MET.NZ,Metlifecare Limited,NZE,Long-Term Care Facilities,New Zealand
LIC.NZ,Livestock Improvement Corporation Limited,NZE,Farm Products,New Zealand
IKE.NZ,ikeGPS Group Limited,NZE,Technical & System Software,New Zealand
GMT.NZ,Goodman Property Trust,NZE,REIT - Industrial,New Zealand
FRE.NZ,Freightways Limited,NZE,Air Delivery & Freight Services,New Zealand
FPH.NZ,Fisher & Paykel Healthcare Corporation Limited,NZE,Medical Appliances & Equipment,New Zealand
ARV.NZ,Arvida Group Limited,NZE,Long-Term Care Facilities,New Zealand
AIR.NZ,Air New Zealand Limited,NZE,"Air Services, Other",New Zealand
WTL.NZ,Windflow Technology Limited,NZE,Diversified Machinery,New Zealand
WHS.NZ,The Warehouse Group Limited,NZE,Department Stores,New Zealand
VIL.NZ,Veritas Investments Limited,NZE,N/A,New Zealand
VHP.NZ,Vital Healthcare Property Trust,NZE,N/A,New Zealand
SUM.NZ,Summerset Group Holdings Limited,NZE,Hospitals,New Zealand
RYM.NZ,Ryman Healthcare Limited,NZE,Long-Term Care Facilities,New Zealand
JWI.NZ,Just Water International Limited,NZE,Beverages - Soft Drinks,New Zealand
HFL.NZ,Henderson Far East Income Limited,NZE,N/A,New Zealand
JMOZ.NZ,JMOZ.NZ,NZE,N/A,New Zealand
SEK.NZ,Seeka Limited,NZE,Farm Products,New Zealand
KMD.NZ,Kathmandu Holdings Limited,NZE,Textile - Apparel Clothing,New Zealand
TWR.NZ,Tower Limited,NZE,Property & Casualty Insurance,New Zealand
TPW.NZ,Trustpower Limited,NZE,Electric Utilities,New Zealand
TEN.NZ,Tenon Limited,NZE,N/A,New Zealand
SPN.NZ,South Port New Zealand Limited,NZE,Shipping,New Zealand
SPK.NZ,Spark New Zealand Limited,NZE,N/A,New Zealand
SML.NZ,Synlait Milk Limited,NZE,Food Wholesale,New Zealand
SLG.NZ,Sealegs Corporation Limited,NZE,N/A,New Zealand
SGL.NZ,Speirs Group Limited,NZE,N/A,New Zealand
SCT.NZ,Scott Technology Limited,NZE,Diversified Machinery,New Zealand
SAN.NZ,Sanford Limited,NZE,Farm Products,New Zealand
RBD.NZ,Restaurant Brands New Zealand Limited,NZE,Restaurants,New Zealand
RBC.NZ,Rubicon Limited,NZE,"Lumber, Wood Production",New Zealand
RAK.NZ,Rakon Limited,NZE,Diversified Electronics,New Zealand
PPL.NZ,Pumpkin Patch Limited,NZE,N/A,New Zealand
PGW.NZ,PGG Wrightson Limited,NZE,Business Services,New Zealand
PGC.NZ,Pyne Gould Corporation Limited,NZE,Asset Management,New Zealand
PEB.NZ,Pacific Edge Limited,NZE,Medical Laboratories & Research,New Zealand
OIC.NZ,Opus International Consultants Limited,NZE,General Contractors,New Zealand
OHE.NZ,Orion Health Group Limited,NZE,Healthcare Information Services,New Zealand
NZX.NZ,NZX Limited,NZE,Asset Management,New Zealand
NZR.NZ,The New Zealand Refining Company Limited,NZE,Oil & Gas Refining & Marketing,New Zealand
NZF.NZ,NZF Group Limited Ordinary Shar,NZE,N/A,New Zealand
NPX.NZ,Nuplex Industries Limited,NZE,N/A,New Zealand
OGC.NZ,OceanaGold Corporation,NZE,N/A,New Zealand
NZO.NZ,New Zealand Oil & Gas Limited,NZE,Independent Oil & Gas,New Zealand
STR.NZ,Stride Property Limited,NZE,N/A,New Zealand
TNR.NZ,Turners Limited,NZE,N/A,New Zealand
VGL.NZ,Vista Group International Limited,NZE,Technical & System Software,New Zealand
BFW.NZ,Burger Fuel Worldwide Limited,NZE,Restaurants,New Zealand
CWY.NZ,Cleanaway Waste Management Limited,NZE,N/A,New Zealand
WIA020.NZ,Wellington International Airport Limited,NZE,N/A,New Zealand
WDTPA.NZ,Wellington Drive Technologies Limited,NZE,N/A,New Zealand
WYN.NZ,Wynyard Group Limited,NZE,N/A,New Zealand
TWF.NZ,Total World Trust,NZE,N/A,New Zealand
FFW.NZ,Foley Family Wines Limited,NZE,N/A,New Zealand
WDT.NZ,Wellington Drive Technologies Limited,NZE,Diversified Electronics,New Zealand
XRO.NZ,Xero Limited,NZE,Business Software & Services,New Zealand
JMO.NZ,JPMorgan Overseas Ord,NZE,N/A,New Zealand
HNZ.NZ,Heartland Bank Limited,NZE,N/A,New Zealand
CDI.NZ,CDL Investments New Zealand Limited,NZE,Real Estate Development,New Zealand
PCT.NZ,Precinct Properties New Zealand Limited,NZE,N/A,New Zealand
MCK.NZ,Millennium & Copthorne Hotels New Zealand Limited,NZE,Lodging,New Zealand
ZEL030.NZ,Z Energy Limited,NZE,N/A,New Zealand
GOV390.NZ,Government of New Zealand,NZE,N/A,New Zealand
DIV.NZ,New Zealand Dividend Index Trust - NZ Dividend Fund,NZE,N/A,New Zealand
GOV380.NZ,Government of New Zealand,NZE,N/A,New Zealand
NZP010.NZ,New Zealand Post Group Finance Limited,NZE,N/A,New Zealand
