Ticker,Name,Exchange,Category Name,Country
AKSO.OL,Aker Solutions,OSL,Oil & Gas Equipment & Services,Norway
STL.OL,Statoil ASA,OSL,Major Integrated Oil & Gas,Norway
WWASA.OL,Wilh. Wilhelmsen ASA,OSL,N/A,Norway
OTS.OL,Oceanteam ASA,OSL,Oil & Gas Equipment & Services,Norway
ORK.OL,Orkla ASA,OSL,Food - Major Diversified,Norway
IOX.OL,Interoil Exploration and Production ASA,OSL,Independent Oil & Gas,Norway
EKO.OL,Ekornes ASA,OSL,Home Furnishings & Fixtures,Norway
DNO.OL,DNO ASA,OSL,Independent Oil & Gas,Norway
AQUA.OL,Aqualis ASA,OSL,Oil & Gas Equipment & Services,Norway
AKER.OL,Aker ASA,OSL,Asset Management,Norway
AFK.OL,Arendals Fossekompani ASA,OSL,Electric Utilities,Norway
STB.OL,Storebrand ASA,OSL,Life Insurance,Norway
SSHIP.OL,Scanship Holding ASA,OSL,Waste Management,Norway
OPERA.OL,Opera Software ASA,OSL,Technical & System Software,Norway
NOD.OL,Nordic Semiconductor ASA,OSL,Semiconductor Equipment & Materials,Norway
MEDI.OL,Medistim ASA,OSL,Medical Appliances & Equipment,Norway
HNB.OL,Hafslund ASA,OSL,N/A,Norway
AWDR.OL,Awilco Drilling Plc,OSL,Oil & Gas Drilling & Exploration,Norway
ASETEK.OL,Asetek A/S,OSL,Computer Based Systems,Norway
SDRL.OL,SeaDrill Limited,OSL,Oil & Gas Drilling & Exploration,Norway
BWO.OL,BW Offshore Limited,OSL,Oil & Gas Equipment & Services,Norway
SEVDR.OL,Sevan Drilling Limited,OSL,Oil & Gas Drilling & Exploration,Norway
GOGL.OL,Golden Ocean Group Limited,OSL,Shipping,Norway
FRO.OL,Frontline Ltd.,OSL,Shipping,Norway
HLNG.OL,Höegh LNG Holdings Ltd.,OSL,Oil & Gas Pipelines,Norway
DETNOR.OL,Aker BP ASA,OSL,N/A,Norway
DAT.OL,Data Respons ASA,OSL,Information Technology Services,Norway
THIN.OL,Thin Film Electronics ASA,OSL,Data Storage Devices,Norway
NOR.OL,Norwegian Energy Company AS,OSL,Independent Oil & Gas,Norway
BXPL.OL,Badger Explorer ASA,OSL,N/A,Norway
GYL.OL,Gyldendal ASA,OSL,Publishing - Newspapers,Norway
FUNCOM.OL,Funcom N.V.,OSL,Multimedia & Graphics Software,Norway
FLNG.OL,Flex LNG Ltd,OSL,Shipping,Norway
FAR.OL,Farstad Shipping ASA,OSL,N/A,Norway
BAKKA.OL,P/F Bakkafrost,OSL,Food Wholesale,Norway
PGS.OL,Petroleum Geo-Services ASA,OSL,Oil & Gas Equipment & Services,Norway
WWIB.OL,Wilh. Wilhelmsen Holding ASA,OSL,Air Delivery & Freight Services,Norway
MHG.OL,Marine Harvest ASA,OSL,Farm Products,Norway
HYARD.OL,Havyard Group ASA,OSL,Aerospace/Defense - Major Diversified,Norway
HEX.OL,Hexagon Composites ASA,OSL,Diversified Machinery,Norway
WWI.OL,Wilh. Wilhelmsen Holding ASA,OSL,Air Delivery & Freight Services,Norway
JIN.OL,Jinhui Shipping and Transportation Limited,OSL,Shipping,Norway
SSC.OL,The Scottish Salmon Company PLC,OSL,Farm Products,Norway
PLCS.OL,Polarcus Limited,OSL,Oil & Gas Equipment & Services,Norway
SSI.OL,Siem Shipping Inc.,OSL,N/A,Norway
SIOFF.OL,Siem Offshore Inc.,OSL,Oil & Gas Pipelines,Norway
KVAER.OL,Kværner ASA,OSL,Oil & Gas Equipment & Services,Norway
KOG.OL,Kongsberg Gruppen ASA,OSL,Aerospace/Defense - Major Diversified,Norway
KIT.OL,Kitron ASA,OSL,Diversified Electronics,Norway
KID.OL,Kid ASA,OSL,Apparel Stores,Norway
WRL.OL,Wentworth Resources Limited,OSL,Independent Oil & Gas,Norway
SUBC.OL,Subsea 7 S.A.,OSL,Oil & Gas Equipment & Services,Norway
MULTI.OL,Multiconsult ASA,OSL,General Contractors,Norway
WEIFA.OL,Weifa ASA,OSL,Drugs - Generic,Norway
VEI.OL,Veidekke ASA,OSL,General Contractors,Norway
SKI.OL,Skiens Aktiemølle ASA,OSL,Asset Management,Norway
RENO.OL,RenoNorden ASA,OSL,Waste Management,Norway
REC.OL,REC Silicon ASA,OSL,Semiconductor Equipment & Materials,Norway
NAS.OL,Norwegian Air Shuttle ASA,OSL,"Air Services, Other",Norway
ITX.OL,Intex Resources ASA,OSL,Industrial Metals & Minerals,Norway
IMSK.OL,I.M. Skaugen SE,OSL,Shipping,Norway
