Ticker,Name,Exchange,Category Name,Country
EDP.LS,"EDP - Energias de Portugal, S.A.",LIS,N/A,Portugal
SEM.LS,"Semapa - Sociedade de Investimento e GestÃ£o, SGPS, S.A.",LIS,N/A,Portugal
FCP.LS,"Futebol Clube do Porto - Futebol, S.A.D.",LIS,N/A,Portugal
GALP.LS,"Galp Energia, SGPS, S.A.",LIS,N/A,Portugal
EDPR.LS,"EDP Renováveis, S.A.",LIS,N/A,Portugal
NBA.LS,Novabase SGPS SA,LIS,N/A,Portugal
CUR.LS,AGUAS DA CURIA,LIS,N/A,Portugal
ALTR.LS,"Altri, S.G.P.S., S.A.",LIS,N/A,Portugal
ALISA.LS,ISA,LIS,N/A,Portugal
ALNOR.LS,NEXPONOR-SICAFI,LIS,N/A,Portugal
VAF.LS,"Vista Alegre Atlantis, SGPS, S.A.",LIS,N/A,Portugal
COR.LS,"Corticeira Amorim, S.G.P.S., S.A.",LIS,N/A,Portugal
CPA.LS,"COPAM - Companhia Portuguesa de Amidos, S.A.",LIS,N/A,Portugal
ORE.LS,"Sociedade Comercial Orey Antunes, SA",LIS,N/A,Portugal
CPN.LS,Companhia Industrial Produtora De Antibioticos SA,LIS,N/A,Portugal
LIG.LS,Lisgrafica-Impressao e Artes Graficas,LIS,N/A,Portugal
SANT.LS,"Banco Santander, S.A.",LIS,N/A,Portugal
BCP.LS,"Banco Comercial Português, S.A.",LIS,N/A,Portugal
SLBEN.LS,"Sport Lisboa e Benfica - Futebol, SAD",LIS,N/A,Portugal
BPI.LS,"Banco BPI, S.A.",LIS,N/A,Portugal
CDU.LS,"Conduril - Engenharia, S.A.",LIS,N/A,Portugal
CFN.LS,"Cofina, SGPS, S.A.",LIS,N/A,Portugal
CPR.LS,"CIMPOR - Cimentos De Portugal, SGPS, S.A.",LIS,N/A,Portugal
SCP.LS,"Sporting Clube de Portugal - Futebol, SAD",LIS,N/A,Portugal
SCB.LS,Sporting Clube de Braga - Futebol SAD,LIS,N/A,Portugal
CTT.LS,"CTT - Correios De Portugal, S.A.",LIS,N/A,Portugal
RED.LS,"Reditus, Sociedade Gestora de Participações Sociais, S.A.",LIS,N/A,Portugal
HQL.LS,HQL.LS,LIS,N/A,Portugal
TDSA.LS,"Teixeira Duarte, S.A.",LIS,N/A,Portugal
MPIO.LS,Caixa Económica Montepio Geral,LIS,N/A,Portugal
EGL.LS,"Mota-Engil, SGPS, S.A.",LIS,N/A,Portugal
COMAE.LS,"COMPTA - Equipamentos e ServiÃ§os de InformÃ¡tica, S.A.",LIS,N/A,Portugal
ESF.LS,ESF.LS,LIS,N/A,Portugal
ESO.LS,"Estoril Sol, SGPS, S.A.",LIS,N/A,Portugal
ENXP.LS,EURONEXT,LIS,N/A,Portugal
FEN.LS,"Fenalu - GestÃ£o de Investimentos e ParticipaÃ§Ãµes, SA",LIS,N/A,Portugal
LIT.LS,"Litho Formas, S.A.",LIS,N/A,Portugal
IPR.LS,"Impresa - Sociedade Gestora de Participações Sociais, S.A.",LIS,N/A,Portugal
INA.LS,"Inapa - Investimentos, Participações e Gestão, SA",LIS,N/A,Portugal
SVA.LS,"SAG GEST - Soluções Automóvel Globais, SGPS, S.A.",LIS,N/A,Portugal
INAP.LS,"Inapa - Investimentos, Participações e Gestão, SA",LIS,N/A,Portugal
GLINT.LS,"Glintt - Global Intelligent Technologies, S.A.",LIS,N/A,Portugal
GPA.LS,"Imobiliária Construtora Grão Pará, S.A.",LIS,N/A,Portugal
IBS.LS,"Ibersol, S.G.P.S., S.A.",LIS,N/A,Portugal
JMT.LS,"Jerónimo Martins, SGPS, S.A.",LIS,N/A,Portugal
LUZ.LS,"Luz Saúde, S.A.",LIS,N/A,Portugal
MAR.LS,"Martifer SGPS, S.A.",LIS,N/A,Portugal
MCP.LS,"Grupo Media Capital, SGPS, S.A.",LIS,N/A,Portugal
RENE.LS,"REN - Redes Energéticas Nacionais, SGPS, S.A.",LIS,N/A,Portugal
NOS.LS,"NOS, S.G.P.S., S.A.",LIS,N/A,Portugal
PHR.LS,"Pharol, SGPS S.A.",LIS,N/A,Portugal
SCT.LS,"Toyota Caetano Portugal, S.A.",LIS,N/A,Portugal
SUCO.LS,"Sumol+Compal, S.A.",LIS,N/A,Portugal
SNG.LS,"Sonagi, S.G.P.S., S.A.",LIS,N/A,Portugal
RAM.LS,"F. Ramada Investimentos, SGPS, S.A.",LIS,N/A,Portugal
SDCAE.LS,"SDC Investimentos, SGPS, SA",LIS,N/A,Portugal
VAFK.LS,VAFK.LS,LIS,N/A,Portugal
SONC.LS,"SC, SGPS, SA",LIS,N/A,Portugal
SONI.LS,"Sonae Indústria, S.G.P.S., S.A.",LIS,N/A,Portugal
SNC.LS,"Sonaecom, S.G.P.S., S.A.",LIS,N/A,Portugal
TRAAP.LS,TRANSINSULAR,LIS,N/A,Portugal
SON.LS,"Sonae, SGPS, S.A.",LIS,N/A,Portugal
