Ticker,Name,Exchange,Category Name,Country
GA04.QA,State Of Qatar,DOH,N/A,Qatar
GWCS.QA,Gulf Warehousing Company Q.P.S.C.,DOH,N/A,Qatar
VFQS.QA,Vodafone Qatar Q.S.C.,DOH,N/A,Qatar
QOIS.QA,Qatar Oman Investment Company Q.S.C.,DOH,N/A,Qatar
QIIK.QA,Qatar International Islamic Bank (Q.S.C),DOH,N/A,Qatar
QFLS.QA,Qatar Fuel Company Q.S.C.,DOH,N/A,Qatar
MRDS.QA,Mazaya Qatar Real Estate Development Q.S.C.,DOH,N/A,Qatar
MARK.QA,Masraf Al Rayan (Q.P.S.C.),DOH,N/A,Qatar
IQCD.QA,Industries Qatar Q.S.C.,DOH,N/A,Qatar
ERES.QA,Ezdan Holding Group Q.S.C.,DOH,N/A,Qatar
DOHI.QA,Doha Insurance Company Q.S.C.,DOH,N/A,Qatar
BRES.QA,Barwa Real Estate Company,DOH,N/A,Qatar
QGRI.QA,Qatar General Insurance & Reinsurance Company PJSC,DOH,N/A,Qatar
TB33.QA,QA CB TBill 182D 01Dec15,DOH,N/A,Qatar
MERS.QA,Al Meera Consumer Goods Company Q.S.C.,DOH,N/A,Qatar
QNCD.QA,Qatar National Cement Company (Q.S.C.),DOH,N/A,Qatar
TB31.QA,QA CB Tbill 273D 02Feb16,DOH,N/A,Qatar
DBIS.QA,Dlala Brokerage and Investment Holding Company (Q.P.S.C),DOH,N/A,Qatar
QGMD.QA,Qatari German Company for Medical Devices Q.S.C.,DOH,N/A,Qatar
TB37.QA,QA CB TBill 273D 05Apr16,DOH,N/A,Qatar
QATI.QA,Qatar Insurance Company S.A.Q.,DOH,N/A,Qatar
AKHI.QA,Al Khaleej Takaful Group (Q.P.S.C.),DOH,N/A,Qatar
ABQK.QA,Ahli Bank Q.S.C.,DOH,N/A,Qatar
WDAM.QA,Widam Food Company Q.S.C.,DOH,N/A,Qatar
QIGD.QA,Qatari Investors Group Q.S.C.,DOH,N/A,Qatar
AHCS.QA,Aamal Company Q.P.S.C.,DOH,N/A,Qatar
GISS.QA,Gulf International Services Q.S.C.,DOH,N/A,Qatar
MCGS.QA,Medicare Group Q.S.C.,DOH,N/A,Qatar
QIMD.QA,Qatar Industrial Manufacturing Company Q.P.S.C.,DOH,N/A,Qatar
TB25.QA,QA CB TBill 273D 01Dec2015,DOH,N/A,Qatar
QGTS.QA,Qatar Gas Transport Company Limited (Nakilat) Q.S.C.,DOH,N/A,Qatar
DHBK.QA,Doha Bank Q.S.C.,DOH,N/A,Qatar
QISI.QA,Qatar Islamic Insurance Company Q.S.C,DOH,N/A,Qatar
QNNS.QA,Qatar Navigation Q.P.S.C.,DOH,N/A,Qatar
CBQK.QA,The Commercial Bank (P.S.Q.C.),DOH,N/A,Qatar
QCFS.QA,Qatar Cinema and Film Distribution Company (Q.P.S.C),DOH,N/A,Qatar
IHGS.QA,Islamic Holding Group (Q.S.C.),DOH,N/A,Qatar
NLCS.QA,Alijarah Holding (Q.P.S.C),DOH,N/A,Qatar
TB28.QA,QA CB TBill 273D 05Jan2016,DOH,N/A,Qatar
GA03.QA,QA CB Gov Bond 2.75 Jun16,DOH,N/A,Qatar
ORDS.QA,Ooredoo Q.P.S.C.,DOH,N/A,Qatar
QEWS.QA,Qatar Electricity and Water Company Q.S.C.,DOH,N/A,Qatar
UDCD.QA,United Development Company Q.P.S.C.,DOH,N/A,Qatar
QIBK.QA,Qatar Islamic Bank (Q.P.S.C.),DOH,N/A,Qatar
TB34.QA,QA CB Tbill 273D Mar16,DOH,N/A,Qatar
SIIS.QA,Salam International Investment Limited Q.P.S.C.,DOH,N/A,Qatar
QNBK.QA,Qatar National Bank S.A.Q.,DOH,N/A,Qatar
TB36.QA,QA CB TBill 182D 05Jan16,DOH,N/A,Qatar
GA02.QA,State Of Qatar,DOH,N/A,Qatar
MPHC.QA,Mesaieed Petrochemical Holding Company Q.S.C.,DOH,N/A,Qatar
KCBK.QA,Al Khalij Commercial Bank (al khaliji) P.Q.S.C.,DOH,N/A,Qatar
MCCS.QA,Mannai Corporation Q.P.S.C.,DOH,N/A,Qatar
GA01.QA,QA CB Gov Bond 2.75 Mar16,DOH,N/A,Qatar
ZHCD.QA,Zad Holding Company Q.S.C.,DOH,N/A,Qatar
GA13.QA,QA CB Gov Bond 2.75 Sep20,DOH,N/A,Qatar
GA16.QA,State Of Qatar,DOH,N/A,Qatar
GA09.QA,QA CB Gov Bond 2.25 Jun17,DOH,N/A,Qatar
GA05.QA,QA CB Gov Bond 2.75 Sep16,DOH,N/A,Qatar
GA08.QA,State Of Qatar,DOH,N/A,Qatar
GA10.QA,State Of Qatar,DOH,N/A,Qatar
GA12.QA,State Of Qatar,DOH,N/A,Qatar
GA15.QA,QA CB Gov Bond 3.75 Sep25,DOH,N/A,Qatar
GA17.QA,State Of Qatar,DOH,N/A,Qatar
GA18.QA,State Of Qatar,DOH,N/A,Qatar
GA06.QA,State Of Qatar,DOH,N/A,Qatar
GA11.QA,State Of Qatar,DOH,N/A,Qatar
GA19.QA,State Of Qatar,DOH,N/A,Qatar
GA07.QA,QA CB Gov Bond 2.75 Dec16,DOH,N/A,Qatar
GA14.QA,State Of Qatar,DOH,N/A,Qatar
TB49.QA,QA CB Tbill 273D 02Aug16,DOH,N/A,Qatar
TB48.QA,QA CB Tbill 182D 03May16,DOH,N/A,Qatar
TB52.QA,QA CB Tbill 273D 01Sep16,DOH,N/A,Qatar
TB45.QA,QA CB Tbill 182D 05Apr16,DOH,N/A,Qatar
TB51.QA,QA CB Tbill 182D 02Jun16,DOH,N/A,Qatar
TB46.QA,QA CB Tbill 273D 05Jul16,DOH,N/A,Qatar
TB40.QA,QA CB Tbill 273D 03May16,DOH,N/A,Qatar
TB43.QA,QA CB Tbill 273D 02Jun16,DOH,N/A,Qatar
