Ticker,Name,Exchange,Category Name,Country
MOEX.ME,Public Joint-Stock Company Moscow Exchange MICEX-RTS,MCX,N/A,Russia
HYDR.ME,Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro,MCX,N/A,Russia
DIXY.ME,Public Joint Stock Company Dixy Group,MCX,N/A,Russia
IDVP.ME,Public Joint Stock Company INVEST-DEVELOPMENT,MCX,N/A,Russia
DZRDP.ME,Open Joint Stock Company Donskoy Factory of Radiocomponents,MCX,N/A,Russia
VRSBP.ME,Public Joint Stock Company TNS energo Voronezh,MCX,N/A,Russia
RUAL.ME,United Company RUSAL Plc,MCX,N/A,Russia
OMSH.ME,"Public Joint Stock Company ""Omskshina""",MCX,N/A,Russia
JNOS.ME,JSC Slavneft-YANOS,MCX,N/A,Russia
CBOM.ME,Credit Bank of Moscow (public joint-stock company),MCX,N/A,Russia
OFCB.ME,Public Joint-Stock Company Bank Otkritie Financial Corporation,MCX,N/A,Russia
JNOSP.ME,JSC Slavneft-YANOS,MCX,N/A,Russia
NKHP.ME,Public Joint Stock Company Novorossyisk Grain Plant,MCX,N/A,Russia
KUBE.ME,Kuban Power and Electrification Open Joint Stock Company,MCX,N/A,Russia
KROTP.ME,Joint-Stock Company Krasnyj Octyabr,MCX,N/A,Russia
TGKO.ME,Taganrog Harverster Plant Open Joint-Stock Company,MCX,N/A,Russia
KTSBP.ME,Public Joint Stock Company Kostroma Power Sale Company,MCX,N/A,Russia
KTSB.ME,Public Joint Stock Company Kostroma Power Sale Company,MCX,N/A,Russia
KRSB.ME,Public Joint Stock Company Krasnoyarskenergosbyt,MCX,N/A,Russia
KRKO.ME,Public Joint Stock Company The Taganrog Boiler-Making Works Krasny Kotelshchik,MCX,N/A,Russia
KMAZ.ME,KAMAZ Publicly Traded Company,MCX,N/A,Russia
KLSB.ME,Kaluga Power Sale Company Public Joint-Stock Company,MCX,N/A,Russia
KCHEP.ME,Public Joint Stock Company Kamchatskenergo,MCX,N/A,Russia
KCHE.ME,Public Joint Stock Company Kamchatskenergo,MCX,N/A,Russia
KBTK.ME,Public Joint Stock Company Kuzbasskaya Toplivnaya Company,MCX,N/A,Russia
HIMC.ME,Khimprom Public joint stock company,MCX,N/A,Russia
MSNG.ME,Public Joint Stock Company Mosenergo,MCX,N/A,Russia
MRKZ.ME,Public Joint-Stock Company Interregional Distribution Grid Company of the North-West,MCX,N/A,Russia
MOTZ.ME,Public Joint Stock Company Motovilicha Plants,MCX,N/A,Russia
MGNT.ME,Public Joint Stock Company Magnit,MCX,N/A,Russia
NVTK.ME,PAO NOVATEK,MCX,N/A,Russia
