Ticker,Name,Exchange,Category Name,Country
001065.KS,JW Pharmaceutical Corporation,KSC,N/A,South Korea
067290.KQ,JW Shinyak Corporation,KOE,N/A,South Korea
096760.KS,JW Holdings Corporation,KSC,N/A,South Korea
001067.KS,JW Pharmaceutical Corporation,KSC,N/A,South Korea
089590.KS,"Jeju Air Co., Ltd.",KSC,N/A,South Korea
005930.KS,"Samsung Electronics Co., Ltd.",KSC,N/A,South Korea
000660.KS,SK Hynix Inc.,KSC,N/A,South Korea
055550.KS,"Shinhan Financial Group Co., Ltd.",KSC,N/A,South Korea
034220.KS,"LG Display Co., Ltd.",KSC,N/A,South Korea
036460.KS,Korea Gas Corporation,KSC,N/A,South Korea
017670.KS,"SK Telecom Co., Ltd.",KSC,N/A,South Korea
010140.KS,"Samsung Heavy Industries Co., Ltd.",KSC,N/A,South Korea
005935.KS,"Samsung Electronics Co., Ltd.",KSC,N/A,South Korea
004020.KS,Hyundai Steel Company,KSC,N/A,South Korea
003620.KS,Ssangyong Motor Company,KSC,N/A,South Korea
001440.KS,"Taihan Electric Wire Co., Ltd.",KSC,N/A,South Korea
000040.KS,"KR Motors Co., Ltd.",KSC,N/A,South Korea
128820.KS,"Daesung Industrial Co., Ltd.",KSC,N/A,South Korea
126600.KQ,"KOPLA CO.,LTD.",KOE,N/A,South Korea
122870.KQ,YG Entertainment Inc.,KOE,N/A,South Korea
097950.KS,CJ Cheiljedang Corporation,KSC,N/A,South Korea
088790.KS,"Jindo.Co., Ltd.",KSC,N/A,South Korea
088290.KQ,Ewon Comfortech Co. Ltd.,KOE,N/A,South Korea
086280.KS,"Hyundai Glovis Co., Ltd.",KSC,N/A,South Korea
069510.KQ,ESTec Corporation,KOE,N/A,South Korea
066570.KS,LG Electronics Inc.,KSC,N/A,South Korea
057880.KQ,"Topfield Co., Ltd.",KOE,N/A,South Korea
051910.KS,"LG Chem, Ltd.",KSC,N/A,South Korea
042700.KS,"HANMI Semiconductor Co., Ltd.",KSC,N/A,South Korea
042670.KS,"Doosan Infracore Co., Ltd.",KSC,N/A,South Korea
037460.KQ,"Samji Electronics Co., Ltd.",KOE,N/A,South Korea
036540.KQ,"SFA Semicon Co., Ltd.",KOE,N/A,South Korea
032640.KS,LG Uplus Corp.,KSC,N/A,South Korea
032500.KQ,Kmw Inc.,KOE,N/A,South Korea
020560.KS,"Asiana Airlines, Inc.",KSC,N/A,South Korea
015760.KS,Korea Electric Power Corporation,KSC,N/A,South Korea
011160.KS,"Doosan Engineering & Construction Co., Ltd.",KSC,N/A,South Korea
011070.KS,"LG Innotek Co., Ltd.",KSC,N/A,South Korea
011000.KS,GeneOne Life Science Inc.,KSC,N/A,South Korea
009150.KS,"Samsung Electro-Mechanics Co., Ltd.",KSC,N/A,South Korea
008770.KS,"Hotel Shilla Co.,Ltd",KSC,N/A,South Korea
008250.KS,"Eagon Industrial Co., Ltd.",KSC,N/A,South Korea
006400.KS,"Samsung SDI Co., Ltd.",KSC,N/A,South Korea
005940.KS,"NH Investment & Securities Co., Ltd.",KSC,N/A,South Korea
005490.KS,POSCO,KSC,N/A,South Korea
004540.KS,"KleanNara Co., Ltd.",KSC,N/A,South Korea
002790.KS,AmorePacific Group,KSC,N/A,South Korea
000990.KS,"Dongbu HiTek Co., Ltd.",KSC,N/A,South Korea
950130.KQ,"Access Bio, Inc.",KOE,N/A,South Korea
222800.KQ,SIMMTECH,KOE,N/A,South Korea
185750.KS,Chong Kun Dang Pharmaceutical Corp.,KSC,N/A,South Korea
171120.KQ,"Lion Chemtech Co., Ltd.",KOE,N/A,South Korea
161890.KS,"Kolmar Korea Co., Ltd.",KSC,N/A,South Korea
150840.KQ,"IntroMedic Co., Ltd.",KOE,N/A,South Korea
143240.KQ,"SaraminHR Co.,LTD",KOE,N/A,South Korea
141080.KQ,"LegoChem Biosciences, Inc.",KOE,N/A,South Korea
138930.KS,BNK Financial Group Inc.,KSC,N/A,South Korea
138040.KS,Meritz Financial Group Inc.,KSC,N/A,South Korea
133820.KS,"Fine Besteel Co., Ltd.",KSC,N/A,South Korea
129260.KS,"Intergis Co., Ltd.",KSC,N/A,South Korea
128940.KS,"Hanmi Pharm. Co., Ltd.",KSC,N/A,South Korea
123700.KS,"SJM Co., Ltd.",KSC,N/A,South Korea
121890.KQ,"SD System Co., Ltd.",KOE,N/A,South Korea
121800.KQ,"Seven Star Works Co., Ltd.",KOE,N/A,South Korea
121440.KQ,"Golfzonyouwonholdings Co., Ltd.",KOE,N/A,South Korea
120115.KS,"Kolon Industries, Inc.",KSC,N/A,South Korea
119650.KS,"KC Cottrell Co., Ltd.",KSC,N/A,South Korea
105630.KS,"Hansae Co., Ltd.",KSC,N/A,South Korea
104830.KQ,"Wonik Materials Co., Ltd.",KOE,N/A,South Korea
104200.KQ,Bugs Corporation,KOE,N/A,South Korea
103130.KS,"Woongjin Energy Co., Ltd.",KSC,N/A,South Korea
102280.KS,"SBW, Inc.",KSC,N/A,South Korea
102210.KQ,"Haeduk Powerway Co., Ltd.",KOE,N/A,South Korea
101240.KQ,"CQV Co., Ltd.",KOE,N/A,South Korea
099440.KQ,"SMEC Co., Ltd.",KOE,N/A,South Korea
099190.KQ,"i-SENS, Inc.",KOE,N/A,South Korea
098660.KQ,"STO Co., Ltd.",KOE,N/A,South Korea
097780.KQ,"SMAC Co.,Ltd.",KOE,N/A,South Korea
097230.KS,"Hanjin Heavy Industries & Construction Co., Ltd.",KSC,N/A,South Korea
093920.KQ,SEOWONINTECH Co. LTD,KOE,N/A,South Korea
091440.KQ,Telefield Inc.,KOE,N/A,South Korea
090730.KQ,"SIMPAC METALLOY Co., Ltd.",KOE,N/A,South Korea
090460.KQ,"BH Co.,Ltd.",KOE,N/A,South Korea
089010.KQ,"Chemtronics Co., Ltd.",KOE,N/A,South Korea
085660.KQ,"CHA Biotech Co., Ltd.",KOE,N/A,South Korea
085310.KS,"NK Co., Ltd.",KSC,N/A,South Korea
083650.KQ,"BHI Co., Ltd.",KOE,N/A,South Korea
083470.KQ,K.J. Pretech Co. Ltd.,KOE,N/A,South Korea
081660.KS,Fila Korea Ltd.,KSC,N/A,South Korea
081580.KQ,"Sungwoo Electronics Co., Ltd.",KOE,N/A,South Korea
081150.KQ,"Tplex Co., Ltd.",KOE,N/A,South Korea
080420.KQ,"InnoChips Technology Co., Ltd.",KOE,N/A,South Korea
080000.KQ,Snu Precision Co Ltd,KOE,N/A,South Korea
079950.KQ,"INVENIA Co., Ltd.",KOE,N/A,South Korea
078130.KQ,"Kukil Paper Mfg. Co.,Ltd.",KOE,N/A,South Korea
078020.KQ,"EBEST Investment & Securities Co., Ltd.",KOE,N/A,South Korea
069960.KS,"Hyundai Department Store Co., Ltd.",KSC,N/A,South Korea
068930.KQ,"Digital Daesung Co., Ltd.",KOE,N/A,South Korea
068790.KQ,"DMS Co., Ltd.",KOE,N/A,South Korea
068760.KQ,Celltrion Pharm Inc.,KOE,N/A,South Korea
068270.KQ,"Celltrion, Inc.",KOE,N/A,South Korea
068050.KQ,Pan Entertainment Co Ltd,KOE,N/A,South Korea
067000.KQ,JoyCity Corporation,KOE,N/A,South Korea
066575.KS,LG Electronics Inc.,KSC,N/A,South Korea
065940.KQ,"KSCB Co.,Ltd.",KOE,N/A,South Korea
065680.KQ,"UJU Electronics Co., Ltd.",KOE,N/A,South Korea
065510.KQ,Huvitz Co. Ltd.,KOE,N/A,South Korea
060980.KS,Halla Holdings Corp.,KSC,N/A,South Korea
060720.KQ,"KHVATEC Co., Ltd.",KOE,N/A,South Korea
