Ticker,Name,Exchange,Category Name,Country
ATLN.VX,Actelion Ltd,EBS,N/A,Switzerland
ROG.VX,Roche Holding AG,EBS,N/A,Switzerland
FHZN.SW,Flughafen Zürich AG,EBS,N/A,Switzerland
AAPL.SW,Apple Inc.,EBS,N/A,Switzerland
RO.SW,Roche Holding AG,EBS,N/A,Switzerland
AMS.SW,ams AG,EBS,N/A,Switzerland
ABBN.VX,ABB Ltd,EBS,N/A,Switzerland
CSGN.VX,Credit Suisse Group AG,EBS,N/A,Switzerland
VW-V.SW,Volkswagen Aktiengesellschaft,EBS,N/A,Switzerland
DUFN.SW,Dufry AG,EBS,N/A,Switzerland
BCGE.SW,Banque Cantonale de GenÃ¨ve SA,EBS,N/A,Switzerland
VWS.SW,Vestas Wind Systems A/S,EBS,N/A,Switzerland
OXDEX.SW,OXDEX.SW,EBS,N/A,Switzerland
OXDB1.SW,OXDB1.SW,EBS,N/A,Switzerland
OSR.SW,OSRAM Licht AG,EBS,N/A,Switzerland
KU2.SW,KUKA Aktiengesellschaft,EBS,N/A,Switzerland
HEN.SW,Henkel AG & Co. KGaA,EBS,N/A,Switzerland
EVE.SW,Evolva Holding SA,EBS,N/A,Switzerland
ZURN.VX,Zurich Insurance Group AG,EBS,N/A,Switzerland
LONN.VX,Lonza Group Ltd,EBS,N/A,Switzerland
GEBN.VX,Geberit AG,EBS,N/A,Switzerland
UBSG.VX,UBS Group AG,EBS,N/A,Switzerland
GIVN.VX,Givaudan SA,EBS,N/A,Switzerland
USIN.SW,USIN.SW,EBS,N/A,Switzerland
TEMN.SW,Temenos Group AG,EBS,N/A,Switzerland
ROL.SW,Von Roll Holding AG,EBS,N/A,Switzerland
MIKN.SW,Mikron Holding AG,EBS,N/A,Switzerland
BALN.VX,Bâloise Holding AG,EBS,Property & Casualty Insurance,Switzerland
ALLN.SW,Allreal Holding AG,EBS,N/A,Switzerland
YPSN.SW,Ypsomed Holding AG,EBS,N/A,Switzerland
VATN.SW,Valiant Holding AG,EBS,N/A,Switzerland
VAHN.SW,Vaudoise Assurances Holding SA,EBS,N/A,Switzerland
UBXN.SW,u-blox Holding AG,EBS,N/A,Switzerland
SLOG.SW,SLOG.SW,EBS,N/A,Switzerland
STMN.SW,Straumann Holding AG,EBS,N/A,Switzerland
SOON.VX,Sonova Holding AG,EBS,N/A,Switzerland
SMET.SW,Swmtl Holding AG in liquidation,EBS,N/A,Switzerland
SLHN.VX,Swiss Life Holding AG,EBS,N/A,Switzerland
SFZN.SW,Siegfried Holding AG,EBS,N/A,Switzerland
SCHPE.SW,SCHPE.SW,EBS,N/A,Switzerland
SCHP.VX,Schindler Holding AG,EBS,N/A,Switzerland
SANN.SW,Santhera Pharmaceuticals Holding AG,EBS,N/A,Switzerland
BAER.VX,Julius Baer Group Ltd.,EBS,N/A,Switzerland
NIN.SW,"Nintendo Co., Ltd.",EBS,N/A,Switzerland
JEN.SW,Jenoptik AG,EBS,N/A,Switzerland
JFN.SW,Jungfraubahn Holding AG,EBS,N/A,Switzerland
JKS.SW,"JinkoSolar Holding Co., Ltd.",EBS,N/A,Switzerland
BCJ.SW,Banque Cantonale du Jura,EBS,N/A,Switzerland
TOSH.SW,Toshiba Corporation,EBS,N/A,Switzerland
JPM.SW,JPMorgan Chase & Co.,EBS,N/A,Switzerland
GRKP.SW,Graubündner Kantonalbank,EBS,N/A,Switzerland
SGKN.SW,St. Galler Kantonalbank AG,EBS,N/A,Switzerland
BLKB.SW,Basellandschaftliche Kantonalbank,EBS,N/A,Switzerland
OXKBC.SW,OXKBC.SW,EBS,N/A,Switzerland
SDF.SW,K+S Aktiengesellschaft,EBS,N/A,Switzerland
GMCR.SW,GMCR.SW,EBS,N/A,Switzerland
SYNN.VX,Syngenta AG,EBS,N/A,Switzerland
NESN.VX,Nestlé S.A.,EBS,N/A,Switzerland
NOVN.VX,Novartis AG,EBS,N/A,Switzerland
SREN.VX,Swiss Re Ltd,EBS,N/A,Switzerland
GALN.VX,VIFOR PHARMA FINANZ AG,EBS,N/A,Switzerland
CFR.VX,Compagnie Financière Richemont SA,EBS,N/A,Switzerland
STL.SW,Statoil ASA,EBS,N/A,Switzerland
OTI.SW,5ELEMENTS SA,EBS,N/A,Switzerland
RY.SW,Royal Bank of Canada,EBS,N/A,Switzerland
O2D.SW,Telefonica Dt H,EBS,N/A,Switzerland
OXCON.SW,OXCON.SW,EBS,N/A,Switzerland
POST.SW,Österreichische Post AG,EBS,N/A,Switzerland
OXSY1.SW,OXSY1.SW,EBS,N/A,Switzerland
OXDUE.SW,OXDUE.SW,EBS,N/A,Switzerland
