Ticker,Name,Exchange,Category Name,Country
3264.TWO,Ardentec Corporation,TWO,N/A,Taiwan
5489.TWO,"DynaColor, Inc.",TWO,N/A,Taiwan
3211.TWO,Dynapack International Technology Corporation,TWO,N/A,Taiwan
T0502Y.TWO,YUANTA SECURITIES DUO FU EQUITY,TWO,N/A,Taiwan
1589.TW,"Yeong Guan Energy Technology Group Co., Ltd.",TAI,N/A,Taiwan
6210.TWO,"Kintech Electronics Co., Ltd.",TWO,N/A,Taiwan
1580.TWO,Sinmag Equipment Corporation,TWO,N/A,Taiwan
8299.TWO,Phison Electronics Corporation,TWO,N/A,Taiwan
8076.TWO,"Firich Enterprises Co., Ltd.",TWO,N/A,Taiwan
6261.TWO,YoungTek Electronics Corp.,TWO,N/A,Taiwan
6107.TWO,"Sino-American Electronics Co., Ltd.",TWO,N/A,Taiwan
5906.TW,"Tainan Enterprise (Cayman) Co., Limited",TAI,N/A,Taiwan
3452.TWO,"E-Ton Solar Tech Co., Ltd.",TWO,N/A,Taiwan
2354.TW,"Foxconn Technology Co., Ltd.",TAI,Computer Based Systems,Taiwan
8091.TWO,Feedback Technology Corp.,TWO,N/A,Taiwan
6219.TWO,"Full Wang International Development Co., Ltd.",TWO,N/A,Taiwan
5426.TWO,"Cheng Fwa Industrial Co., Ltd.",TWO,N/A,Taiwan
5205.TWO,Fast Technologies Inc.,TWO,N/A,Taiwan
2601.TW,"First Steamship Company, Ltd.",TAI,Shipping,Taiwan
2498.TW,HTC Corporation,TAI,Communication Equipment,Taiwan
8429.TW,Jinli Group Holdings Limited,TAI,N/A,Taiwan
721827.TWO,JIH SUN SECURITIES C/W 26/05/16,TWO,N/A,Taiwan
721663.TWO,JIH SUN SECURITIES C/W 16/05/16,TWO,N/A,Taiwan
6114.TWO,Juic International Corporation,TWO,N/A,Taiwan
5285.TW,"Jih Lin Technology Co., Ltd.",TAI,N/A,Taiwan
5251.TWO,JSW Pacific Corporation,TWO,N/A,Taiwan
4502.TWO,"Jian Sin Industrial Co., Ltd.",TWO,N/A,Taiwan
3653.TW,"Jentech Precision Industrial Co., Ltd.",TAI,Diversified Electronics,Taiwan
3191.TWO,"Hold Jinn Electronics Co., Ltd",TWO,N/A,Taiwan
1594.TWO,"Ju-Kao Engineering Co., Ltd.",TWO,N/A,Taiwan
722527.TWO,JIH SUN SECURITIES C/W 18/07/16,TWO,N/A,Taiwan
72425P.TWO,JIH SUN SECURITIES P/W 03/08/16,TWO,N/A,Taiwan
4763.TW,"Jinan Acetate Chemical Co., Ltd.",TAI,N/A,Taiwan
5701.TWO,Janfusun Fancyworld Corp.,TWO,N/A,Taiwan
3548.TWO,"Jarllytec Co., Ltd.",TWO,N/A,Taiwan
722005.TWO,JIH SUN SECURITIES C/W 11/10/16,TWO,N/A,Taiwan
T2006Y.TWO,JIH SUN SECS INVT JIH SUN HI-TE,TWO,N/A,Taiwan
721803.TWO,JIH SUN SECURITIES C/W 24/05/16,TWO,N/A,Taiwan
T2003Y.TWO,JIH SUN SECS INVT UPSTREAM FD,TWO,N/A,Taiwan
9136.TW,Ju Teng International Holdings Limited,TAI,Computer Based Systems,Taiwan
722025.TWO,JIH SUN SECURITIES C/W 13/06/16,TWO,N/A,Taiwan
722172.TWO,JIH SUN SECURITIES C/W 23/06/16,TWO,N/A,Taiwan
722770.TWO,JIH SUN SECURITIES C/W 17/11/16,TWO,N/A,Taiwan
722528.TWO,JIH SUN SECURITIES C/W 18/07/16,TWO,N/A,Taiwan
4559.TWO,"Joy Industrial Co., Ltd.",TWO,N/A,Taiwan
723175.TWO,JIH SUN SECURITIES C/W 13/09/16,TWO,N/A,Taiwan
3322.TWO,"Joinsoon Electronics Manufacturing CO., LTD.",TWO,N/A,Taiwan
721745.TWO,JIH SUN SECURITIES C/W 22/06/16,TWO,N/A,Taiwan
721828.TWO,JIH SUN SECURITIES C/W 26/05/16,TWO,N/A,Taiwan
8418.TWO,JP Nelson Holdings Pte Ltd.,TWO,N/A,Taiwan
722046.TWO,JIH SUN SECURITIES C/W 13/06/16,TWO,N/A,Taiwan
4193.TWO,"Joben Bio-Medical Co., Ltd.",TWO,N/A,Taiwan
72480P.TWO,JIH SUN SECURITIES P/W 25/07/16,TWO,N/A,Taiwan
1787.TWO,Jintex Corporation Ltd.,TWO,N/A,Taiwan
722604.TWO,JIH SUN SECURITIES C/W 21/09/16,TWO,N/A,Taiwan
6247.TWO,Jazz Hipster Corporation,TWO,N/A,Taiwan
3636.TWO,3636.TWO,TWO,N/A,Taiwan
722690.TWO,JIH SUN SECURITIES C/W 29/07/16,TWO,N/A,Taiwan
5266.TWO,5266.TWO,TWO,N/A,Taiwan
4980.TWO,Jorjin Technologies Inc.,TWO,N/A,Taiwan
6540.TWO,"JHL Biotech, Inc.",TWO,N/A,Taiwan
4417.TWO,"King Chou Marine Technology Co., Ltd",TWO,N/A,Taiwan
3673.TW,"TPK Holding Co., Ltd.",TAI,Diversified Electronics,Taiwan
5264.TW,Casetek Holdings Limited,TAI,N/A,Taiwan
3665.TW,Bizlink Holding Inc.,TAI,N/A,Taiwan
8936.TWO,"Kuo Toong International Co., Ltd.",TWO,N/A,Taiwan
8411.TW,Kingcan Holdings Limited,TAI,N/A,Taiwan
8406.TWO,Ginko International Co. Ltd,TWO,N/A,Taiwan
6554.TWO,Crown Bioscience International,TWO,N/A,Taiwan
6451.TW,ShunSin Technology Holdings Limited,TAI,N/A,Taiwan
6242.TWO,"Li Kang Biomedical Co., Ltd.",TWO,N/A,Taiwan
6238.TWO,Kingpak Technology Inc.,TWO,N/A,Taiwan
5871.TW,Chailease Holding Company Limited,TAI,N/A,Taiwan
4971.TWO,IntelliEPI Inc. (Cayman),TWO,N/A,Taiwan
4745.TWO,"Cowealth Medical Holding Co., Ltd.",TWO,N/A,Taiwan
4157.TWO,Taigen Biopharmaceuticals Holdings Limited,TWO,N/A,Taiwan
4141.TW,Rotam Global AgroSciences Ltd.,TAI,N/A,Taiwan
3664.TWO,"Array Networks, Inc.",TWO,N/A,Taiwan
2732.TWO,"La Kaffa International Co., Ltd.",TWO,N/A,Taiwan
2637.TW,"Wisdom Marine Lines Co., Limited",TAI,N/A,Taiwan
1590.TW,AirTAC International Group,TAI,N/A,Taiwan
1525.TW,Kian Shen Corporation,TAI,Auto Parts,Taiwan
1256.TWO,1256.TWO,TWO,N/A,Taiwan
722277.TWO,KGI SECURITIES(TW) C/W 03/08/16,TWO,N/A,Taiwan
8467.TW,Bonny Worldwide Limited,TAI,N/A,Taiwan
722279.TWO,KGI SECURITIES(TW) C/W 03/08/16,TWO,N/A,Taiwan
6125.TWO,"Kenmec Mechanical Engineering Co., Ltd.",TWO,N/A,Taiwan
722061.TWO,KGI SECURITIES(TW) C/W 14/06/16,TWO,N/A,Taiwan
722431.TWO,KGI SECURITIES(TW) C/W 11/07/16,TWO,N/A,Taiwan
721910.TWO,KGI SECURITIES(TW) C/W 01/06/16,TWO,N/A,Taiwan
5383.TWO,"Kenly Precision Industrial Co., LTD.",TWO,N/A,Taiwan
5905.TWO,"Nan Ren Hu Leisure Amusement Co., Ltd.",TWO,N/A,Taiwan
1565.TWO,St.Shine Optical Company Limited,TWO,N/A,Taiwan
6405.TW,Onano Industrial Corp.,TAI,N/A,Taiwan
5312.TWO,Formosa Optical Technology Co. Ltd.,TWO,N/A,Taiwan
4120.TWO,"Orient Europharma Co., Ltd.",TWO,N/A,Taiwan
3363.TWO,"FOCI Fiber Optic Communications, Inc.",TWO,N/A,Taiwan
3362.TWO,"Ability Opto-Electronics Technology Co.,Ltd.",TWO,N/A,Taiwan
6426.TWO,"Apogee Optocom Co., Ltd.",TWO,N/A,Taiwan
6233.TWO,Prolific Technology Inc.,TWO,N/A,Taiwan
8349.TWO,QST International Corp.,TWO,N/A,Taiwan
6188.TWO,Quanta Storage Inc.,TWO,N/A,Taiwan
4999.TW,Sinher Technology Inc.,TAI,N/A,Taiwan
3042.TW,TXC Corporation,TAI,Diversified Electronics,Taiwan
2904.TW,Prime Oil Chemical Service Corporation,TAI,Oil & Gas Equipment & Services,Taiwan
1307.TW,"San Fang Chemical Industry Co., Ltd.",TAI,Textile Industrial,Taiwan
6271.TW,"Tong Hsing Electronic Industries, Ltd.",TAI,Semiconductor Equipment & Materials,Taiwan
6277.TW,"Aten International CO., Ltd.",TAI,Computer Based Systems,Taiwan
2884.TW,"E.SUN Financial Holding Company, Ltd.",TAI,Money Center Banks,Taiwan
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,TAI,Semiconductor - Broad Line,Taiwan
2888.TW,"Shin Kong Financial Holding Co., Ltd.",TAI,Life Insurance,Taiwan
2317.TW,"Hon Hai Precision Industry Co., Ltd.",TAI,Diversified Electronics,Taiwan
1452.TW,"Hong Yi Fiber Ind. Co., Ltd.",TAI,Textile Industrial,Taiwan
2486.TW,"I-Chiun Precision Industry Co., Ltd.",TAI,Semiconductor Equipment & Materials,Taiwan
2303.TW,United Microelectronics Corporation,TAI,Semiconductor - Broad Line,Taiwan
2062.TW,Sunspring Metal Corporation,TAI,Home Furnishings & Fixtures,Taiwan
1773.TW,Shiny Chemical Industrial Company Limited,TAI,Chemicals - Major Diversified,Taiwan
1513.TW,Chung Hsin Electric & Machinery Mfg. Corp. Ltd.,TAI,Diversified Machinery,Taiwan
1466.TW,Acelon Chemicals & Fiber Corporation,TAI,Textile Industrial,Taiwan
1314.TW,China Petrochemical Development Corporation,TAI,Specialty Chemicals,Taiwan
9935.TW,"Ching Feng Home Fashions Co.,Ltd",TAI,Home Furnishings & Fixtures,Taiwan
9904.TW,Pou Chen Corporation,TAI,Textile - Apparel Footwear & Accessories,Taiwan
8103.TW,Cvilux Corporation,TAI,Diversified Electronics,Taiwan
3617.TW,"CyberPower Systems, Inc.",TAI,Diversified Electronics,Taiwan
2891.TW,"CTBC Financial Holding Co., Ltd.",TAI,Money Center Banks,Taiwan
2886.TW,Mega Financial Holding Company Ltd.,TAI,Money Center Banks,Taiwan
2488.TW,"Hanpin Electron Co., Ltd.",TAI,Electronic Equipment,Taiwan
2475.TW,"Chunghwa Picture Tubes, Ltd.",TAI,Diversified Electronics,Taiwan
2454.TW,MediaTek Inc.,TAI,Semiconductor - Broad Line,Taiwan
2409.TW,AU Optronics Corp.,TAI,Diversified Electronics,Taiwan
2392.TW,"Cheng Uei Precision Industry Co., Ltd.",TAI,Diversified Electronics,Taiwan
2382.TW,Quanta Computer Inc.,TAI,Computer Based Systems,Taiwan
2355.TW,"Chin Poon Industrial Co., Ltd.",TAI,Printed Circuit Boards,Taiwan
2325.TW,"Siliconware Precision Industries Co., Ltd.",TAI,Semiconductor - Broad Line,Taiwan
1503.TW,Shihlin Electric & Engineering Corporation,TAI,Diversified Machinery,Taiwan
1323.TW,"Yonyu Plastics Co., Ltd.",TAI,Rubber & Plastics,Taiwan
