Ticker,Name,Exchange,Category Name,Country
PHOL-R.BK,Phol Dhanya Public Company Limited,SET,N/A,Thailand
PACE.BK,Pace Development Corporation Public Company Limited,SET,N/A,Thailand
TAE.BK,Thai Agro Energy Public Company Limited,SET,N/A,Thailand
WHAPF.BK,WHA Premium Factory and Warehouse Freehold and Leasehold Property Fund,SET,N/A,Thailand
TPCH.BK,TPC Power Holding Public Company Limited,SET,N/A,Thailand
JUBILE.BK,Jubilee Enterprise Public Company Limited,SET,N/A,Thailand
JTS.BK,Jasmine Telecom Systems Public Company Limited,SET,N/A,Thailand
JMT-R.BK,JMT Network Services Public Company Limited,SET,N/A,Thailand
JASIF.BK,Jasmine Broadband Internet Infrastructure Fund,SET,N/A,Thailand
JCT.BK,Jack Chia Industries (Thailand) Public Company Limited,SET,N/A,Thailand
JWD.BK,JWD Infologistics Public Company Limited,SET,N/A,Thailand
JMART.BK,Jay Mart Public Company Limited,SET,N/A,Thailand
NPK-R.BK,New Plus Knitting Public Company Limited,SET,N/A,Thailand
KTC.BK,Krungthai Card Public Company Limited,SET,N/A,Thailand
KTC-R.BK,Krungthai Card Public Company Limited,SET,N/A,Thailand
KTB.BK,Krung Thai Bank Public Company Limited,SET,N/A,Thailand
KGI.BK,KGI Securities (Thailand) Public Company Limited,SET,N/A,Thailand
KC.BK,K.C. Property Public Company Limited,SET,N/A,Thailand
KASET.BK,Thai HA Public Company Limited,SET,N/A,Thailand
KPNPF.BK,KPN Property Fund,SET,N/A,Thailand
KWC-R.BK,Krungdhep Sophon Public Company Limited,SET,N/A,Thailand
POMPUI.BK,KUANG PEI SAN FOOD PRODUCTS,SET,N/A,Thailand
NEP-R.BK,NEP Realty and Industry Public Company Limited,SET,N/A,Thailand
UPA-R.BK,United Power of Asia Public Company Limited,SET,N/A,Thailand
QHPF.BK,Quality Houses Leasehold Property Fund,SET,N/A,Thailand
QLT-R.BK,Qualitech Public Company Limited,SET,N/A,Thailand
QH.BK,Quality Houses Public Company Limited,SET,N/A,Thailand
QTC-R.BK,QTC Energy Public Company Limited,SET,N/A,Thailand
Q-CON-R.BK,Quality Construction Products Public Company Limited,SET,N/A,Thailand
QHOP.BK,Quality Hospitality Leasehold Property Fund,SET,N/A,Thailand
QLT.BK,Qualitech Public Company Limited,SET,N/A,Thailand
QHHR.BK,Quality Houses Hotel and Residence Freehold and Leasehold Property Fund,SET,N/A,Thailand
QH-R.BK,Quality Houses Public Company Limited,SET,N/A,Thailand
QTC.BK,QTC Energy Public Company Limited,SET,N/A,Thailand
Q-CON.BK,Quality Construction Products Public Company Limited,SET,N/A,Thailand
SPRC-R.BK,Star Petroleum Refining Public Company Limited,SET,N/A,Thailand
SVH.BK,Samitivej Public Company Limited,SET,N/A,Thailand
UWC-R.BK,Ua Withya Public Company Limited,SET,N/A,Thailand
UPF-R.BK,Union Pioneer Public Company Limited,SET,N/A,Thailand
UNIQ.BK,Unique Engineering And Construction Public Company Limited,SET,N/A,Thailand
VIBHA.BK,Vibhavadi Medical Center Public Company Limited,SET,N/A,Thailand
VARO.BK,Varopakorn Public Company Limited,SET,N/A,Thailand
VIH.BK,Srivichaivejvivat Public Company Limited,SET,N/A,Thailand
WIN-R.BK,Wyncoast Industrial Park Public Company Limited,SET,N/A,Thailand
TWPC-R.BK,Thai Wah Public Company Limited,SET,N/A,Thailand
WR.BK,WE RETAIL PUBLIC COMPANY LIMITE,SET,N/A,Thailand
WHA.BK,WHA Corporation Public Company Limited,SET,N/A,Thailand
WHABT.BK,WHA Business Complex Freehold and Leasehold Real Estate Investment Trust,SET,N/A,Thailand
TWS.BK,Thai Wah Starch Public Company Limited,SET,N/A,Thailand
WG.BK,White Group Public Company Limited,SET,N/A,Thailand
WORLD-R.BK,WORLD CORPORATION PUBLIC COMPAN,SET,N/A,Thailand
WHART.BK,WHA Premium Growth Freehold And Leasehold Real Estate Investment Trust,SET,N/A,Thailand
WIIK.BK,Wiik & Hoeglund Public Company Limited,SET,N/A,Thailand
SPA-R.BK,Siam Wellness Group Public Company Limited,SET,N/A,Thailand
XO-R.BK,Exotic Food Public Company Limited,SET,N/A,Thailand
XO.BK,Exotic Food Public Company Limited,SET,N/A,Thailand
YUASA.BK,Yuasa Battery (Thailand) Public Company Limited,SET,N/A,Thailand
YCI.BK,YONG THAI PUBLIC COMPANY LIMITE,SET,N/A,Thailand
YUASA-R.BK,Yuasa Battery (Thailand) Public Company Limited,SET,N/A,Thailand
YNP-R.BK,YARNAPUND PUBLIC COMPANY LIMITE,SET,N/A,Thailand
YCI-R.BK,YONG THAI PUBLIC COMPANY LIMITE,SET,N/A,Thailand
YNP.BK,YARNAPUND PUBLIC COMPANY LIMITE,SET,N/A,Thailand
ZMICO-R.BK,Seamico Securities Public Company Limited,SET,N/A,Thailand
ZMICO.BK,Seamico Securities Public Company Limited,SET,N/A,Thailand
AAV.BK,Asia Aviation Public Company Limited,SET,N/A,Thailand
AAV-R.BK,Asia Aviation Public Company Limited,SET,N/A,Thailand
ABPIF.BK,Amata B. Grimm Power Plant Infrastructure Fund,SET,N/A,Thailand
ABICO-R.BK,Abico Holdings Public Company Limited,SET,N/A,Thailand
ABICO.BK,Abico Holdings Public Company Limited,SET,N/A,Thailand
EA-R.BK,Energy Absolute Public Company Limited,SET,N/A,Thailand
