Ticker,Name,Exchange,Category Name,Country
SELEC.IS,Selçuk Ecza Deposu Ticaret ve Sanayi A.S.,IST,N/A,Turkey
PSDTC.IS,Pergamon-Status Dis Ticaret A.S.,IST,N/A,Turkey
GLBMD.IS,Global Menkul Degerler Anonim Sirketi,IST,N/A,Turkey
EREGL.IS,Eregli Demir ve Çelik Fabrikalari T.A.S.,IST,N/A,Turkey
ANSA.IS,Marka Yatirim Holding A.S.,IST,N/A,Turkey
THYAO.IS,Türk Hava Yollari Anonim Ortakligi,IST,N/A,Turkey
TSKB.IS,Turkiye Sinai Kalkinma Bankasi A.S.,IST,N/A,Turkey
PRKAB.IS,Türk Prysmian Kablo ve Sistemleri Anonim Sirketi,IST,N/A,Turkey
KORDS.IS,Kordsa Global Endüstriyel Iplik ve Kord Bezi Sanayi ve Ticaret A.S.,IST,N/A,Turkey
KARTN.IS,Kartonsan Karton Sanayi ve Ticaret Anonim Sirketi,IST,N/A,Turkey
ENKAI.IS,Enka Insaat ve Sanayi A.S.,IST,N/A,Turkey
ASYAB.IS,Asya Katilim Bankasi AS,IST,N/A,Turkey
ADEL.IS,Adel Kalemcilik Ticaret ve Sanayi A.S.,IST,N/A,Turkey
VAKFN.IS,Vakif Finansal Kiralama A.S.,IST,N/A,Turkey
KRTEK.IS,Karsu Tekstil Sanayii ve Ticaret A.S.,IST,N/A,Turkey
MARTI.IS,Marti Otel Isletmeleri A.S.,IST,N/A,Turkey
SANKO.IS,Sanko Pazarlama Ithalat Ihracat Anonim Sirketi,IST,N/A,Turkey
PINSU.IS,Pinar Su Sanayi ve Ticaret A.S.,IST,N/A,Turkey
TCHOL.IS,Salix Yatirim Holding A.S.,IST,N/A,Turkey
ATAGY.IS,Ata Gayrimenkul Yatirim Ortakligi Anonim Sirketi,IST,N/A,Turkey
OYLUM.IS,Oylum Sinai Yatirimlar Anonim Sirketi,IST,N/A,Turkey
ODAS.IS,Odas Elektrik Üretim Sanayi Ticaret A.S.,IST,N/A,Turkey
ISYAT.IS,Is Yatirim Ortakligi A.S.,IST,N/A,Turkey
FROTO.IS,Ford Otomotiv Sanayi A.S.,IST,N/A,Turkey
ETYAT.IS,Euro Trend Yatirim Ortakligi Anonim Sirketi,IST,N/A,Turkey
ALGYO.IS,Alarko Gayrimenkul Yatirim Ortakligi A.S.,IST,N/A,Turkey
AKSGY.IS,Akis Gayrimenkul Yatirim Ortakligi A.S.,IST,N/A,Turkey
METUR.IS,Metemtur Otelcilik ve Turizm Isletmeleri A.S.,IST,N/A,Turkey
OZGYO.IS,Ozderici Gayrimenkul Yatirim Ortakligi A.S.,IST,N/A,Turkey
OLMIP.IS,Olmuksan International Paper Ambalaj Sanayi ve Ticaret A.S.,IST,N/A,Turkey
YKGYO.IS,Yapi Kredi Koray Gayrimenkul Yatirim Ortakligi A.S.,IST,N/A,Turkey
ISGSY.IS,Is Girisim Sermayesi Yatirim Ortakligi AS,IST,N/A,Turkey
TUPRS.IS,Türkiye Petrol Rafinerileri A.S.,IST,N/A,Turkey
YAPRK.IS,Yaprak Süt ve Besi Çiftlikleri Sanayi ve Ticaret A.S.,IST,N/A,Turkey
HURGZ.IS,Hürriyet Gazetecilik ve Matbaacilik A.S.,IST,N/A,Turkey
EGSER.IS,Ege Seramik Sanayi ve Ticaret A.S.,IST,N/A,Turkey
EGPRO.IS,Ege Profil Ticaret ve Sanayi Anonim Sirketi,IST,N/A,Turkey
EDIP.IS,Edip Gayrimenkul Yatirim Sanayi ve Ticaret AS,IST,N/A,Turkey
CIMSA.IS,Çimsa Çimento Sanayi ve Ticaret Anonim Sirketi,IST,N/A,Turkey
BRSAN.IS,Borusan Mannesmann Boru Sanayi ve Ticaret A.S.,IST,N/A,Turkey
AKCNS.IS,Akçansa Çimento Sanayi ve Ticaret A.S.,IST,N/A,Turkey
CEMTS.IS,Çemtas Çelik Makina Sanayi ve Ticaret A.S.,IST,N/A,Turkey
KARSN.IS,Karsan Otomotiv Sanayii ve Ticaret A.S.,IST,N/A,Turkey
TMSN.IS,Tümosan Motor ve Traktör Sanayi A.S.,IST,N/A,Turkey
MIPAZ.IS,Milpa Ticari ve Sinai Ürünler Pazarlama Sanayi ve Ticaret A.S.,IST,N/A,Turkey
PETUN.IS,Pinar Entegre Et ve Un Sanayii A.S.,IST,N/A,Turkey
TTRAK.IS,Türk Traktör ve Ziraat Makineleri A.S.,IST,N/A,Turkey
KILER.IS,Kiler Alisveris Hizmetleri Gida Sanayi ve Ticaret Anonim Sirketi,IST,N/A,Turkey
GSRAY.IS,Galatasaray Sportif Sinai ve Ticari Yatirimlar A.S.,IST,N/A,Turkey
ANELT.IS,Anel Telekomünikasyon Elektronik Sistemleri Sanayi ve Ticaret A.S.,IST,N/A,Turkey
SANEL.IS,San-El Muhendislik Elektrik Taahhut Sanayi ve Ticaret A.S.,IST,N/A,Turkey
SAMAT.IS,Saray Matbaacilik Kagitçilik kirtasiyecilik Ticaret Ve Sanayi A.S.,IST,N/A,Turkey
INTEM.IS,Intema Insaat ve Tesisat Malzemeleri Yatirim ve Pazarlama A.S,IST,N/A,Turkey
ASELS.IS,Aselsan Elektronik Sanayi ve Ticaret Anonim Sirketi,IST,N/A,Turkey
ECILC.IS,"EIS Eczacibasi Ilaç, Sinai ve Finansal Yatirimlar Sanayi ve Ticaret A.S.",IST,N/A,Turkey
FMIZP.IS,Federal - Mogul Izmit Piston Ve Pim Uretim Tesisleri A.S.,IST,N/A,Turkey
ERBOS.IS,Erbosan Erciyas Boru Sanayii ve Ticaret A.S.,IST,N/A,Turkey
ATPET.IS,Atlantik Petrol Ürünleri Ticaret ve Sanayi A.S.,IST,N/A,Turkey
TMPOL.IS,TE-MAPOL Polimer Plastik ve Insaat Sanayi Ticaret A.S.,IST,N/A,Turkey
GOLTS.IS,Göltas Göller Bölgesi Cimento Sanayi Ticaret A.S.,IST,N/A,Turkey
IPEKE.IS,Ipek Dogal Enerji Kaynaklari Arastirma ve Üretim A.S.,IST,N/A,Turkey
BRISA.IS,Brisa Bridgestone Sabanci Lastik Sanayi ve Ticaret AS,IST,N/A,Turkey
VANGD.IS,Vanet Gida Sanayi Iç Ve Dis Ticaret Anonim Sirketi,IST,N/A,Turkey
ESEMS.IS,Esem Spor Giyim Sanayi Ve Ticaret A.S.,IST,N/A,Turkey
SISE.IS,Türkiye Sise Ve Cam Fabrikalari A.S.,IST,N/A,Turkey
BURVA.IS,Burçelik Vana Sanayi Ve Ticaret Anonim Sirketi,IST,N/A,Turkey
KERVT.IS,Kerevitas Gida Sanayi ve Ticaret A.S.,IST,N/A,Turkey
AKSUE.IS,Aksu Enerji Ve Ticaret Anonim Sirketi,IST,N/A,Turkey
