Ticker,Name,Exchange,Category Name,Country
QED.L,Quintain Estates and Development plc,LSE,N/A,United Kingdom
ADN.L,Aberdeen Asset Management PLC,LSE,N/A,United Kingdom
AV.L,Aviva plc,LSE,Property & Casualty Insurance,United Kingdom
AHT.L,Ashtead Group plc,LSE,Rental & Leasing Services,United Kingdom
AZN.L,AstraZeneca PLC,LSE,Drug Manufacturers - Major,United Kingdom
AGL.L,ANGLE Plc,LSE,Medical Laboratories & Research,United Kingdom
PETS.L,Pets at Home Group Plc,LSE,"Specialty Retail, Other",United Kingdom
LAS.L,London & Associated Properties plc,LSE,Property Management,United Kingdom
BPTY.L,bwin.party digital entertainment plc,LSE,N/A,United Kingdom
AXS.L,Accsys Technologies Plc,LSE,"Lumber, Wood Production",United Kingdom
AMA.L,AMA.L,LSE,N/A,United Kingdom
ALO.L,Alecto Minerals plc,LSE,N/A,United Kingdom
AAL.L,Anglo American plc,LSE,Industrial Metals & Minerals,United Kingdom
SMA.L,Sovereign Mines Of Africa PLC,LSE,Gold,United Kingdom
RMP.L,Red Emperor Resources NL,LSE,Independent Oil & Gas,United Kingdom
MGAM.L,Morgan Advanced Materials plc,LSE,N/A,United Kingdom
KBC.L,KBC Advanced Technologies plc,LSE,N/A,United Kingdom
FSJ.L,James Fisher and Sons plc,LSE,Business Services,United Kingdom
CAMB.L,Cambria Automobiles plc,LSE,Auto Dealerships,United Kingdom
BBA.L,BBA Aviation plc,LSE,"Air Services, Other",United Kingdom
BATS.L,British American Tobacco p.l.c.,LSE,"Tobacco Products, Other",United Kingdom
BABS.L,BlueCrest AllBlue Fund Limited,LSE,N/A,United Kingdom
AVV.L,AVEVA Group plc,LSE,Information Technology Services,United Kingdom
AVR.L,Avarae Global Coins Plc,LSE,N/A,United Kingdom
ASH.L,Ashley House PLC,LSE,General Contractors,United Kingdom
AML.L,Amlin plc,LSE,N/A,United Kingdom
AHCG.L,Action Hotels plc,LSE,Lodging,United Kingdom
SLED.L,The Lebanese Company for the Development and Reconstruction of Beirut Central District S.A.L.,LSE,N/A,United Kingdom
ABF.L,Associated British Foods plc,LSE,Food - Major Diversified,United Kingdom
ABC.L,Abcam Plc,LSE,Biotechnology,United Kingdom
BARC.L,Barclays PLC,LSE,Money Center Banks,United Kingdom
LLOY.L,Lloyds Banking Group plc,LSE,Money Center Banks,United Kingdom
RBS.L,The Royal Bank of Scotland Group plc,LSE,Money Center Banks,United Kingdom
LRE.L,Lancashire Holdings Limited,LSE,Accident & Health Insurance,United Kingdom
BRBY.L,Burberry Group plc,LSE,Jewelry Stores,United Kingdom
BP.L,BP p.l.c.,LSE,Major Integrated Oil & Gas,United Kingdom
BOE.L,The Boeing Company,LSE,Aerospace/Defense - Major Diversified,United Kingdom
BLND.L,The British Land Company PLC,LSE,REIT - Retail,United Kingdom
BA.L,BAE Systems plc,LSE,Aerospace/Defense - Major Diversified,United Kingdom
BKG.L,The Berkeley Group Holdings plc,LSE,Residential Construction,United Kingdom
MAB.L,Mitchells & Butlers plc,LSE,Restaurants,United Kingdom
GKP.L,Gulf Keystone Petroleum Limited,LSE,Oil & Gas Drilling & Exploration,United Kingdom
BVS.L,Bovis Homes Group PLC,LSE,Residential Construction,United Kingdom
BVIC.L,Britvic Plc,LSE,Beverages - Soft Drinks,United Kingdom
BOK.L,Booker Group PLC,LSE,Food Wholesale,United Kingdom
BG.L,BG Group plc,LSE,N/A,United Kingdom
BAB.L,Babcock International Group plc,LSE,General Contractors,United Kingdom
