Ticker,Name,Exchange,Category Name,Country
BVCC.CR,"BOLSA DE VALORES DE CARACAS, C.",CCS,N/A,Venezuela
BBP-O.CR,BANESCO PRF.,CCS,N/A,Venezuela
CC152P.CR,CARABOBO15-2,CCS,N/A,Venezuela
MPA.CR,"MANUFACTURAS DE PAPEL, S.A.C.A.",CCS,N/A,Venezuela
ABC-B.CR,"BANCO DEL CARIBE, C.A. BANCO UN",CCS,N/A,Venezuela
EN154.CR,ENVASE15-4,CCS,N/A,Venezuela
TPG.CR,"TELARES DE PALO GRANDE, C.A.",CCS,N/A,Venezuela
VNS-A.CR,VENASETA 'A,CCS,N/A,Venezuela
F413P.CR,FVI.14-I-3 P,CCS,N/A,Venezuela
DOM-O.CR,DOMINGUEZ,CCS,N/A,Venezuela
MVZ-A.CR,MERCANTIL SERVICIOS FINANCIEROS,CCS,N/A,Venezuela
EN153.CR,ENVASE15-3,CCS,N/A,Venezuela
SV-B.CR,"INVERSIONES SELVA, C.A. CLASE '",CCS,N/A,Venezuela
TY137.CR,TOYOTA 3-I7,CCS,N/A,Venezuela
TDV-D.CR,C.A. NACIONAL TELEFONOS DE VENE,CCS,N/A,Venezuela
BPV.CR,"BANCO PROVINCIAL, S.A. BANCO UN",CCS,N/A,Venezuela
CPLPB.CR,"CARGOPORT LOGISTIC, C.A. CLASE",CCS,N/A,Venezuela
VNS-B.CR,VENASETA 'B,CCS,N/A,Venezuela
FNC-O.CR,FNC. (S.ESP),CCS,N/A,Venezuela
VCM-2.CR,CEMEX. II,CCS,N/A,Venezuela
D94417.CR,DP04947-0011,CCS,N/A,Venezuela
ENV.CR,ENVASES VENEZOLANOS S.A.,CCS,N/A,Venezuela
FNC.CR,"FABRICA NACIONAL DE CEMENTOS, C",CCS,N/A,Venezuela
RST.CR,C.A. RON SANTA TERESA,CCS,N/A,Venezuela
PGR.CR,"PROAGRO, C.A.",CCS,N/A,Venezuela
SPTBO.CR,SUELOPETROL,CCS,N/A,Venezuela
GZL.CR,"GRUPO ZULIANO, C.A. S.A.C.A",CCS,N/A,Venezuela
GZL-O.CR,GPO. ZULIANO,CCS,N/A,Venezuela
ABCPC.CR,B.CARIBE P-C,CCS,N/A,Venezuela
ABC-A.CR,"BANCO DEL CARIBE, C.A. BANCO UN",CCS,N/A,Venezuela
FVIMY.CR,FVI ADRS,CCS,N/A,Venezuela
SVSR1.CR,SIVENSA ADR,CCS,N/A,Venezuela
BBC.CR,BANESCO. B.U,CCS,N/A,Venezuela
BFC.CR,B.FOND.COMUN,CCS,N/A,Venezuela
BNC.CR,"BANCO NACIONAL DE CREDITO, C.A.",CCS,N/A,Venezuela
BOU.CR,BANCO OCCIDENTAL DE DECUENTO BA,CCS,N/A,Venezuela
BVC-O.CR,B.V.DE CCS.,CCS,N/A,Venezuela
BVL-O.CR,B.VZLA.S.ESP,CCS,N/A,Venezuela
BVL.CR,"BANCO DE VENEZUELA, S.A. BANCO",CCS,N/A,Venezuela
CCR.CR,CERAMICA CARABOBO S.A.C.A,CCS,N/A,Venezuela
CC152.CR,CARABOBO-152,CCS,N/A,Venezuela
IVC.CR,C.A. INMUEBLES Y VALORES CARACA,CCS,N/A,Venezuela
VCM-1.CR,CEMEX .I,CCS,N/A,Venezuela
CGQ.CR,CGQ.CR,CCS,N/A,Venezuela
CIE.CR,CORPORACION INDUSTRAIL DE ENERG,CCS,N/A,Venezuela
CPL-A.CR,"CARGOPORT LOGISTIC, C.A. CLASE",CCS,N/A,Venezuela
CPLPC.CR,"CARGOPORT LOGISTIC, C.A. CLASE",CCS,N/A,Venezuela
CPLPD.CR,"CARGOPORT LOGISTIC, C.A. CLASE",CCS,N/A,Venezuela
CRM-A.CR,"CORIMON, C.A.",CCS,N/A,Venezuela
ICP-B.CR,"INVERSIONES CRECEPYMES, C.A. CL",CCS,N/A,Venezuela
DG1216.CR,DIGITEL12-16,CCS,N/A,Venezuela
DG1215.CR,DIGITEL12-15,CCS,N/A,Venezuela
DOM.CR,"DOMINGUEZ CIA, S.A",CCS,N/A,Venezuela
D51319.CR,DP05187-0014,CCS,N/A,Venezuela
EFE.CR,"PRODUCTOS EFE, S.A.",CCS,N/A,Venezuela
OCE.CR,ORIENTE ENTIDAD DE INVERSION CO,CCS,N/A,Venezuela
FNV.CR,C.A. FABRICA NACIONAL DE VIDRIO,CCS,N/A,Venezuela
FVI-A.CR,FONDO DE VALORES INMOBILIARIOS,CCS,N/A,Venezuela
FVI-B.CR,FONDO DE VALORES INMOBILIARIOS,CCS,N/A,Venezuela
FVA-O.CR,FVINM.'A'(E),CCS,N/A,Venezuela
IBV-O.CR,INM.B.DE V.O,CCS,N/A,Venezuela
IBV.CR,"INMUEBLES B. DE V. 1985, C.A.",CCS,N/A,Venezuela
ITLC.CR,ITALCAMBIO,CCS,N/A,Venezuela
MVZ-B.CR,MERCANTIL SERVICIOS FINANCIEROS,CCS,N/A,Venezuela
M1523P.CR,MZ-15-II-3 P,CCS,N/A,Venezuela
MZ5I1P.CR,MZ-15-I-1,CCS,N/A,Venezuela
M1524P.CR,MZ-15-II-4 P,CCS,N/A,Venezuela
M1525P.CR,MZ-15-II-5 P,CCS,N/A,Venezuela
NU135.CR,NETUNO 13-5,CCS,N/A,Venezuela
NU143.CR,NETUNO 14-3,CCS,N/A,Venezuela
OEI.CR,SINERGIA ENTIDAD DE INVERSION C,CCS,N/A,Venezuela
PTN.CR,"PROTINAL, C.A.",CCS,N/A,Venezuela
SVS.CR,SIDERURGICA VENEZOLANA 'SIVENSA,CCS,N/A,Venezuela
SPT-B.CR,SUELOPETROL,CCS,N/A,Venezuela
SPT-O.CR,SUELOPETROL,CCS,N/A,Venezuela
SV-A.CR,"INVERSIONES SELVA, C.A. CLASE '",CCS,N/A,Venezuela
TDX-O.CR,CANTV 'A'OPT,CCS,N/A,Venezuela
TDV-O.CR,CANTV 'D'OPT,CCS,N/A,Venezuela
TES2.CR,TES2.CR,CCS,N/A,Venezuela
EN157.CR,ENVASE15-7,CCS,N/A,Venezuela
EN159.CR,ENVASE15-9,CCS,N/A,Venezuela
EN156.CR,ENVASE15-6,CCS,N/A,Venezuela
INV.CR,INVERSIONES DIVERSAS INVERDICA,CCS,N/A,Venezuela
EN158.CR,ENVASE15-8,CCS,N/A,Venezuela
VNP-B.CR,VENEPAL.B,CCS,N/A,Venezuela
EN151.CR,ENVASE15-1,CCS,N/A,Venezuela
EN1510.CR,ENVASE15-10,CCS,N/A,Venezuela
EN155.CR,ENVASE15-5,CCS,N/A,Venezuela
IN122.CR,INELECT 12-2,CCS,N/A,Venezuela
EN152.CR,ENVASE15-2,CCS,N/A,Venezuela
TES10.CR,TES10.CR,CCS,N/A,Venezuela
